term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,7.0,0.16822884121399997,7.0,0.174814814815
Senate,6.0,0.142609178643,4.0,0.0814814814815
Congress,5.0,0.116225786295,3.0,0.05481481481480001
Supreme Court,5.0,0.115114906617,5.0,0.134814814815
White House,5.0,0.110879677845,3.0,0.0637037037037
Washington Post,4.0,0.08880094424769999,3.0,0.08
CNN,4.0,0.0847045754357,3.0,0.077037037037
Facebook,3.0,0.0713045893217,3.0,0.0637037037037
GOP,3.0,0.0673470804693,2.0,0.0385185185185
House,3.0,0.06581962091230001,2.0,0.029629629629599998
Fox News,3.0,0.0604040824828,4.0,0.100740740741
Ford,3.0,0.059779212664,3.0,0.05481481481480001
NBC,3.0,0.059293202805,3.0,0.077037037037
FBI,3.0,0.05832118308690001,2.0,0.04296296296299999
CBS,3.0,0.057974033187499996,3.0,0.0651851851852
Associated Press,3.0,0.057210303409000005,5.0,0.10962962962999999
AP,2.0,0.0505450253419,4.0,0.09925925925930001
Senate Judiciary Committee,2.0,0.04936471568419999,2.0,0.0503703703704
Reuters,2.0,0.0490869957648,4.0,0.100740740741
Netflix,2.0,0.0356870096508,3.0,0.0562962962963
Trump,2.0,0.034367840033300005,1.0,0.020740740740700002
ABC,2.0,0.0332569603555,2.0,0.044444444444399996
Times,2.0,0.0329098104562,2.0,0.0281481481481
NBC News,2.0,0.031937790738,2.0,0.037037037037
Time,2.0,0.029368881483,2.0,0.0355555555556
Google,2.0,0.0287440116642,1.0,0.0237037037037
Amazon,1.0,0.025411372630699997,1.0,0.0162962962963
Republican,1.0,0.0239533430535,1.0,0.014814814814799999
Democratic Party,1.0,0.0233284732347,1.0,0.008888888888889999
Los Angeles Times,1.0,0.0229813233354,1.0,0.0251851851852
Trump administration,1.0,0.021801013677699998,1.0,0.0162962962963
Judiciary Committee,1.0,0.021801013677699998,1.0,0.0192592592593
HBO,1.0,0.0210372838992,1.0,0.0237037037037
NFL,1.0,0.019926404221299997,1.0,0.0177777777778
MSNBC,1.0,0.0197875442616,1.0,0.026666666666700003
Wall Street Journal,1.0,0.019509824342200003,1.0,0.0177777777778
Republican Party,1.0,0.0191626744428,1.0,0.007407407407409999
Vanity Fair,1.0,0.019093244462999998,1.0,0.0162962962963
CBS News,1.0,0.0186766645838,1.0,0.020740740740700002
Bloomberg,1.0,0.018537804624000002,1.0,0.007407407407409999
Justice Department,1.0,0.018051794765,1.0,0.022222222222199998
Vox,1.0,0.0172880649865,1.0,0.0192592592593
YouTube,1.0,0.0165243352079,1.0,0.0177777777778
Harvard,1.0,0.015760605429400002,1.0,0.0192592592593
NPR,1.0,0.0156217454697,1.0,0.014814814814799999
Post,1.0,0.0150663056308,1.0,0.008888888888889999
Politico,1.0,0.0148580156912,1.0,0.0162962962963
Disney,1.0,0.014510865791799998,1.0,0.0059259259259300005
Capitol Hill,1.0,0.014441435812,1.0,0.0251851851852
United Nations,1.0,0.0143720058321,1.0,0.011851851851899999
Temple University,1.0,0.0143025758523,10.0,0.26962962963000003
BBC,1.0,0.0141637158925,1.0,0.007407407407409999
USA TODAY,1.0,0.0136777060335,1.0,0.0162962962963
Yale,1.0,0.012775116295200001,1.0,0.0251851851852
Democratic,1.0,0.0124279663959,1.0,0.004444444444439999
ABC News,1.0,0.012358536416,1.0,0.022222222222199998
New York Post,1.0,0.0110393667986,1.0,0.013333333333299998
USA Gymnastics,1.0,0.0110393667986,1.0,0.014814814814799999
House of Representatives,1.0,0.0109005068389,0.0,0.0
New Yorker,1.0,0.0109005068389,1.0,0.014814814814799999
State,1.0,0.0103450669999,1.0,0.0059259259259300005
CNBC,1.0,0.0103450669999,0.0,0.0
Time magazine,1.0,0.010136777060299999,1.0,0.004444444444439999
PBS,1.0,0.010136777060299999,1.0,0.008888888888889999
Microsoft,1.0,0.00992848712074,1.0,0.004444444444439999
CIA,1.0,0.00985905714087,1.0,0.011851851851899999
U.S. Supreme Court,1.0,0.00985905714087,1.0,0.0162962962963
CBS Interactive Inc,1.0,0.00985905714087,1.0,0.008888888888889999
Facebook post,1.0,0.009720197181139999,1.0,0.007407407407409999
POLITICO,1.0,0.009720197181139999,0.0,0.0
State Department,1.0,0.009511907241549999,1.0,0.013333333333299998
Apple,1.0,0.009511907241549999,0.0,0.0
U.S. Senate,1.0,0.00937304728182,1.0,0.007407407407409999
solidarity,1.0,0.00930361730195,1.0,0.0059259259259300005
USA Today,1.0,0.00867874748316,1.0,0.0177777777778
EEOC,1.0,0.00867874748316,1.0,0.007407407407409999
Navy,1.0,0.0084010275637,1.0,0.0103703703704
Hollywood,1.0,0.0084010275637,1.0,0.0162962962963
BuzzFeed News,1.0,0.0084010275637,1.0,0.011851851851899999
U.N.,1.0,0.00833159758384,1.0,0.011851851851899999
Academy of Motion Picture Arts and Sciences,1.0,0.00833159758384,2.0,0.0385185185185
NRA,1.0,0.00819273762411,1.0,0.0059259259259300005
Alabama Senate,1.0,0.00798444768451,1.0,0.004444444444439999
house,1.0,0.00791501770464,1.0,0.007407407407409999
Republican National Committee,1.0,0.00791501770464,1.0,0.008888888888889999
Catholic,1.0,0.00777615774491,1.0,0.008888888888889999
Stanford,1.0,0.00756786780532,1.0,0.0059259259259300005
ESPN,1.0,0.00756786780532,1.0,0.0059259259259300005
F.B.I.,1.0,0.007498437825449999,1.0,0.0059259259259300005
