term,a1_bin,a1_perc,a2_bin,a2_perc
mogul harvey weinstein,2.0,0.01,0.0,0.0
producer harvey weinstein,1.0,0.006999999999999999,0.0,0.0
disgraced mogul harvey,1.0,0.006999999999999999,0.0,0.0
activist tarana burke,1.0,0.006,0.0,0.0
tarana burke founder,1.0,0.004,1.0,0.001
actress alyssa milano,1.0,0.004,0.0,0.0
workplace harassment assault,1.0,0.003,0.0,0.0
supreme nominee brett,1.0,0.003,7.0,0.045
reluctance demonstrates incredibly,1.0,0.003,1.0,0.002
nominee brett kavanaugh,1.0,0.003,7.0,0.045
media harassment assault,1.0,0.003,0.0,0.0
incredibly harassment abuse,1.0,0.003,1.0,0.002
harassment abuse assault,1.0,0.003,1.0,0.002
founding empowerment empathy,1.0,0.003,0.0,0.0
demonstrates incredibly harassment,1.0,0.003,1.0,0.002
california labor federation,1.0,0.003,0.0,0.0
zeta-jones michael douglas,1.0,0.002,0.0,0.0
woody allen poster,1.0,0.002,0.0,0.0
wnba breana stewart,1.0,0.002,0.0,0.0
weinstein kevin spacey,1.0,0.002,0.0,0.0
weinstein harassment assault,1.0,0.002,0.0,0.0
weinstein donald trump,1.0,0.002,0.0,0.0
victims harassment assault,1.0,0.002,0.0,0.0
pulaski california labor,1.0,0.002,0.0,0.0
oscars kobe bryant's,1.0,0.002,0.0,0.0
organizers confront abuse,1.0,0.002,0.0,0.0
on-the-record allegation misconduct,1.0,0.002,0.0,0.0
olympics organizers confront,1.0,0.002,0.0,0.0
kobe bryant's memories,1.0,0.002,0.0,0.0
keri claussen insane,1.0,0.002,0.0,0.0
judd on-the-record allegation,1.0,0.002,0.0,0.0
ivanka trump's supporter,1.0,0.002,0.0,0.0
harvey weinstein sexually,1.0,0.002,0.0,0.0
harvey weinstein scandal,1.0,0.002,0.0,0.0
harvey weinstein kevin,1.0,0.002,0.0,0.0
harvey weinstein donald,1.0,0.002,0.0,0.0
harvey weinstein assault,1.0,0.002,0.0,0.0
harvey weinstein abuse,1.0,0.002,0.0,0.0
harassment assault media,1.0,0.002,0.0,0.0
harassment assault hashtag,1.0,0.002,0.0,0.0
evolved media harassment,1.0,0.002,0.0,0.0
creator tarana burke,1.0,0.002,0.0,0.0
catherine zeta-jones michael,1.0,0.002,0.0,0.0
bryant's memories allegations,1.0,0.002,0.0,0.0
argento disgraced mogul,1.0,0.002,0.0,0.0
allegations harvey weinstein,1.0,0.002,0.0,0.0
allegations assault harassment,1.0,0.002,0.0,0.0
allegation misconduct weinstein,1.0,0.002,0.0,0.0
accusers accountable conjunction,1.0,0.002,0.0,0.0
accusations harvey weinstein,1.0,0.002,0.0,0.0
élections novembre prochain,1.0,0.001,0.0,0.0
zinovieff's putney fodder,1.0,0.001,0.0,0.0
zinke harassment park,1.0,0.001,0.0,0.0
zeta-jones douglas supporter,1.0,0.001,0.0,0.0
youtube duke university,1.0,0.001,0.0,0.0
youth organizer tarana,1.0,0.001,0.0,0.0
youth illustrates positives,1.0,0.001,0.0,0.0
yorker unleash fundamentally,1.0,0.001,0.0,0.0
yorker starred rewatching,1.0,0.001,0.0,0.0
yorker molly ringwald,1.0,0.001,0.0,0.0
yorker mogul harvey,1.0,0.001,0.0,0.0
yorker jodi kantor,1.0,0.001,0.0,0.0
yorker forcibly performing,1.0,0.001,0.0,0.0
yorker catalyst emerge,1.0,0.001,0.0,0.0
yorker authored eight-page,1.0,0.001,0.0,0.0
york's legacy birthplace,1.0,0.001,0.0,0.0
york's eric schneiderman,1.0,0.001,0.0,0.0
yesterday's abused assaulted,1.0,0.001,0.0,0.0
year's virginia delegates,1.0,0.001,0.0,0.0
year's oscars diversity,1.0,0.001,0.0,0.0
year's marches focusing,1.0,0.001,0.0,0.0
year's education sports,1.0,0.001,0.0,0.0
year's counted actors,1.0,0.001,0.0,0.0
year's berlin tackle,1.0,0.001,0.0,0.0
year's berlin berlin,1.0,0.001,0.0,0.0
yahr janelle monae,1.0,0.001,0.0,0.0
xueqin journalist southern,1.0,0.001,0.0,0.0
wrongdoing protects equitable,1.0,0.001,0.0,0.0
wrongdoing outcomes laura,1.0,0.001,0.0,0.0
writer christian braad,1.0,0.001,0.0,0.0
worship appalling breach,1.0,0.001,0.0,0.0
worldwide searched google,1.0,0.001,0.0,0.0
worldwide incomprehensible prevalence,1.0,0.001,0.0,0.0
worlds silicon campaign,1.0,0.001,0.0,0.0
workplace trump's impropriety,1.0,0.001,0.0,0.0
workplace mistreatment misconduct,1.0,0.001,0.0,0.0
workplace mistreatment groped,1.0,0.001,0.0,0.0
workplace misconduct suspension,1.0,0.001,0.0,0.0
workplace meyer harassment,1.0,0.001,0.0,0.0
workplace gaps under-representation,1.0,0.001,0.0,0.0
workplace evangelical violating,1.0,0.001,0.0,0.0
workplace equality assault,1.0,0.001,0.0,0.0
workplace embrace women's,1.0,0.001,0.0,0.0
workplace abuse producer,1.0,0.001,0.0,0.0
workplace abuse london,1.0,0.001,0.0,0.0
workings lip gender,1.0,0.001,0.0,0.0
wondrous oscar wao,1.0,0.001,0.0,0.0
women's washington midst,1.0,0.001,0.0,0.0
women's typically rooted,1.0,0.001,0.0,0.0
women's time's carlson,1.0,0.001,0.0,0.0
women's threatens economic,1.0,0.001,0.0,0.0
women's thomson reuters,1.0,0.001,0.0,0.0
women's supporters donning,1.0,0.001,0.0,0.0
women's studies sacramento,1.0,0.001,0.0,0.0
women's seoul korea,1.0,0.001,0.0,0.0
women's sag awards,1.0,0.001,0.0,0.0
women's reverberated park,1.0,0.001,0.0,0.0
women's representation heroism,1.0,0.001,0.0,0.0
women's nationwide vox,1.0,0.001,0.0,0.0
women's misgivings abandon,1.0,0.001,0.0,0.0
women's media campaigns,1.0,0.001,0.0,0.0
women's gender equity,1.0,0.001,0.0,0.0
women's feminism hominem,1.0,0.001,0.0,0.0
women's empowerment time's,1.0,0.001,0.0,0.0
women's elevated global,1.0,0.001,0.0,0.0
women's election trump,1.0,0.001,0.0,0.0
women's democratic electoral,1.0,0.001,0.0,0.0
women's convention founder,1.0,0.001,0.0,0.0
women's complexity distinguish,1.0,0.001,0.0,0.0
women's compassion memories,1.0,0.001,0.0,0.0
women's cohort nontraditional,1.0,0.001,0.0,0.0
women's careers risen,1.0,0.001,0.0,0.0
women's capture momentum,1.0,0.001,0.0,0.0
women's brand empowering,1.0,0.001,0.0,0.0
women's accusations misconduct,1.0,0.001,0.0,0.0
womanhood intent dismantling,1.0,0.001,0.0,0.0
wolitzer featured paralysis,1.0,0.001,0.0,0.0
wolff boost sport,1.0,0.001,0.0,0.0
witnessing far-left undergone,1.0,0.001,0.0,0.0
witherspoon jennifer lawrence,1.0,0.001,0.0,0.0
witch misconduct scandals,1.0,0.001,0.0,0.0
witch activists transgressors,1.0,0.001,0.0,0.0
winners night's ceremony,1.0,0.001,0.0,0.0
winners glistening statuettes,1.0,0.001,0.0,0.0
winners ceremony ever-growing,1.0,0.001,0.0,0.0
winner warns insiders,1.0,0.001,0.0,0.0
winner supporter liberated,1.0,0.001,0.0,0.0
winfrey broadcast republican,1.0,0.001,0.0,0.0
willow creek's episode,1.0,0.001,0.0,0.0
willingness allegations misconduct,1.0,0.001,0.0,0.0
williams susie wolff,1.0,0.001,0.0,0.0
williams activist creator,1.0,0.001,0.0,0.0
wielding embodied staunch,1.0,0.001,0.0,0.0
wider watershed gripped,1.0,0.001,0.0,0.0
wider abuse india,1.0,0.001,0.0,0.0
wide-ranging rocked capitol,1.0,0.001,0.0,0.0
wholesale foundations echelons,1.0,0.001,0.0,0.0
wholeheartedly feminist witnessing,1.0,0.001,0.0,0.0
whiteness nationalists confederate,1.0,0.001,0.0,0.0
whistleblower protections repeatedly,1.0,0.001,0.0,0.0
well-thought-out investigate ford's,1.0,0.001,0.0,0.0
welcomed spearheaded campaign,1.0,0.001,0.0,0.0
weinsteinian toxic masculinity,1.0,0.001,0.0,0.0
weinstein's victims coupled,1.0,0.001,0.0,0.0
weinstein's slams asia,1.0,0.001,0.0,0.0
weinstein's imploded blaze,1.0,0.001,0.0,0.0
weinstein's grace galvanized,1.0,0.001,0.0,0.0
weinstein's bankruptcy allegations,1.0,0.001,0.0,0.0
weinstein yorker forcibly,1.0,0.001,0.0,0.0
weinstein wider watershed,1.0,0.001,0.0,0.0
weinstein thurman assault,1.0,0.001,0.0,0.0
weinstein spokeswoman holly,1.0,0.001,0.0,0.0
weinstein sparked campaign,1.0,0.001,0.0,0.0
weinstein sexually harassed,1.0,0.001,0.0,0.0
weinstein sexually assaulted,1.0,0.001,0.0,0.0
weinstein scandal ayari,1.0,0.001,0.0,0.0
weinstein revelations cannes,1.0,0.001,0.0,0.0
weinstein prompted uproar,1.0,0.001,0.0,0.0
weinstein oscar heavyweight,1.0,0.001,0.0,0.0
weinstein onslaught harassment,1.0,0.001,0.0,0.0
weinstein nerve hashtag,1.0,0.001,0.0,0.0
weinstein misconduct rape,1.0,0.001,0.0,0.0
