term,a1_bin,a1_perc,a2_bin,a2_perc
harassment,2.0,0.14300000000000002,1.0,0.027999999999999997
assault,2.0,0.098,2.0,0.114
weinstein,1.0,0.08199999999999999,1.0,0.004
allegations,1.0,0.08199999999999999,3.0,0.191
abuse,1.0,0.066,1.0,0.02
misconduct,1.0,0.064,1.0,0.053
trump,1.0,0.055999999999999994,2.0,0.109
harvey,1.0,0.054000000000000006,1.0,0.002
campaign,1.0,0.051,1.0,0.018000000000000002
media,1.0,0.05,1.0,0.017
accusations,1.0,0.05,2.0,0.10099999999999999
hashtag,1.0,0.047,1.0,0.003
time's,1.0,0.037000000000000005,1.0,0.006
metoo,1.0,0.036000000000000004,1.0,0.011000000000000001
women's,1.0,0.033,1.0,0.016
workplace,1.0,0.03,1.0,0.006
tarana,1.0,0.03,0.0,0.0
burke,1.0,0.03,0.0,0.0
democrats,1.0,0.025,1.0,0.08900000000000001
victims,1.0,0.024,1.0,0.013999999999999999
survivors,1.0,0.024,1.0,0.011000000000000001
activist,1.0,0.022000000000000002,1.0,0.009000000000000001
tweeted,1.0,0.021,1.0,0.01
supporters,1.0,0.02,1.0,0.005
reckoning,1.0,0.02,1.0,0.005
america,1.0,0.019,1.0,0.013999999999999999
actress,1.0,0.019,1.0,0.003
industries,1.0,0.018000000000000002,1.0,0.002
milano,1.0,0.017,1.0,0.006
argento,1.0,0.017,0.0,0.0
violence,1.0,0.016,0.0,0.0
sexually,1.0,0.016,1.0,0.034
robbins,1.0,0.016,0.0,0.0
kavanaugh,1.0,0.016,10.0,0.9
gender,1.0,0.016,1.0,0.006
scandal,1.0,0.015,1.0,0.008
china,1.0,0.015,0.0,0.0
celebrities,1.0,0.015,0.0,0.0
backlash,1.0,0.015,1.0,0.005
year's,1.0,0.013999999999999999,0.0,0.0
twitter,1.0,0.013999999999999999,1.0,0.01
producer,1.0,0.013999999999999999,0.0,0.0
founder,1.0,0.013999999999999999,0.0,0.0
cbs,1.0,0.013999999999999999,1.0,0.003
asia,1.0,0.013999999999999999,0.0,0.0
washington,1.0,0.013000000000000001,1.0,0.043
rape,1.0,0.013000000000000001,1.0,0.017
global,1.0,0.013000000000000001,0.0,0.0
alyssa,1.0,0.013000000000000001,1.0,0.003
united,1.0,0.012,1.0,0.006999999999999999
republican,1.0,0.012,0.0,0.0
oscars,1.0,0.012,0.0,0.0
highlights,1.0,0.012,0.0,0.0
feminist,1.0,0.012,1.0,0.002
elections,1.0,0.012,1.0,0.02
carpet,1.0,0.012,0.0,0.0
apologized,1.0,0.012,0.0,0.0
accountable,1.0,0.012,1.0,0.002
momentum,1.0,0.011000000000000001,1.0,0.004
education,1.0,0.011000000000000001,0.0,0.0
cosby,1.0,0.011000000000000001,1.0,0.006
american,1.0,0.011000000000000001,1.0,0.012
university,1.0,0.01,1.0,0.017
sparked,1.0,0.01,0.0,0.0
revelations,1.0,0.01,1.0,0.004
reporting,1.0,0.01,1.0,0.002
online,1.0,0.01,1.0,0.003
moonves,1.0,0.01,1.0,0.004
mogul,1.0,0.01,0.0,0.0
globes,1.0,0.01,0.0,0.0
facebook,1.0,0.01,0.0,0.0
conversations,1.0,0.01,1.0,0.003
congress,1.0,0.01,1.0,0.009000000000000001
bennett,1.0,0.01,0.0,0.0
advocate,1.0,0.01,0.0,0.0
midst,1.0,0.009000000000000001,1.0,0.002
headlines,1.0,0.009000000000000001,0.0,0.0
dating,1.0,0.009000000000000001,1.0,0.002
california,1.0,0.009000000000000001,1.0,0.013999999999999999
tony,1.0,0.008,0.0,0.0
senate,1.0,0.008,2.0,0.158
resignations,1.0,0.008,0.0,0.0
prompted,1.0,0.008,1.0,0.002
lawmakers,1.0,0.008,1.0,0.008
journalists,1.0,0.008,1.0,0.002
garcia,1.0,0.008,0.0,0.0
empowerment,1.0,0.008,0.0,0.0
awards,1.0,0.008,0.0,0.0
viral,1.0,0.006999999999999999,1.0,0.003
targeted,1.0,0.006999999999999999,1.0,0.003
supreme,1.0,0.006999999999999999,2.0,0.136
rally,1.0,0.006999999999999999,1.0,0.006999999999999999
predators,1.0,0.006999999999999999,0.0,0.0
post's,1.0,0.006999999999999999,1.0,0.002
porter,1.0,0.006999999999999999,0.0,0.0
photo,1.0,0.006999999999999999,0.0,0.0
nomination,1.0,0.006999999999999999,1.0,0.077
moments,1.0,0.006999999999999999,1.0,0.008
michael,1.0,0.006999999999999999,1.0,0.004
galvanized,1.0,0.006999999999999999,0.0,0.0
equality,1.0,0.006999999999999999,0.0,0.0
endorsement,1.0,0.006999999999999999,1.0,0.003
echoed,1.0,0.006999999999999999,0.0,0.0
dozens,1.0,0.006999999999999999,0.0,0.0
deserve,1.0,0.006999999999999999,0.0,0.0
clinton,1.0,0.006999999999999999,0.0,0.0
ceo,1.0,0.006999999999999999,0.0,0.0
campus,1.0,0.006999999999999999,0.0,0.0
bourdain,1.0,0.006999999999999999,0.0,0.0
yorker,1.0,0.006,1.0,0.004
vox,1.0,0.006,1.0,0.004
solidarity,1.0,0.006,1.0,0.001
protests,1.0,0.006,0.0,0.0
presidency,1.0,0.006,0.0,0.0
nominee,1.0,0.006,1.0,0.08800000000000001
mcgowan,1.0,0.006,0.0,0.0
marches,1.0,0.006,0.0,0.0
lewinsky,1.0,0.006,0.0,0.0
lessons,1.0,0.006,0.0,0.0
investigative,1.0,0.006,0.0,0.0
grappled,1.0,0.006,1.0,0.002
getty,1.0,0.006,1.0,0.002
fueled,1.0,0.006,0.0,0.0
franken,1.0,0.006,0.0,0.0
franco,1.0,0.006,0.0,0.0
ford,1.0,0.006,3.0,0.187
farrow,1.0,0.006,1.0,0.004
empathy,1.0,0.006,0.0,0.0
donald,1.0,0.006,1.0,0.026000000000000002
disgraced,1.0,0.006,1.0,0.002
criticized,1.0,0.006,0.0,0.0
crisis,1.0,0.006,1.0,0.004
criminal,1.0,0.006,1.0,0.009000000000000001
corporate,1.0,0.006,0.0,0.0
consent,1.0,0.006,1.0,0.005
ceremony,1.0,0.006,0.0,0.0
capitol,1.0,0.006,1.0,0.01
button,1.0,0.006,0.0,0.0
angeles,1.0,0.006,0.0,0.0
winner,1.0,0.005,0.0,0.0
weighed,1.0,0.005,0.0,0.0
warren,1.0,0.005,1.0,0.001
vocal,1.0,0.005,1.0,0.001
violating,1.0,0.005,0.0,0.0
vegas,1.0,0.005,0.0,0.0
tv,1.0,0.005,1.0,0.004
spotlight,1.0,0.005,1.0,0.004
slams,1.0,0.005,0.0,0.0
schneiderman,1.0,0.005,1.0,0.001
reuters,1.0,0.005,1.0,0.006
reacted,1.0,0.005,0.0,0.0
prominence,1.0,0.005,0.0,0.0
professor,1.0,0.005,1.0,0.025
politically,1.0,0.005,0.0,0.0
nassar,1.0,0.005,0.0,0.0
monica,1.0,0.005,0.0,0.0
men's,1.0,0.005,1.0,0.003
male-dominated,1.0,0.005,0.0,0.0
los,1.0,0.005,0.0,0.0
liberated,1.0,0.005,0.0,0.0
leader,1.0,0.005,1.0,0.009000000000000001
launch,1.0,0.005,1.0,0.003
las,1.0,0.005,0.0,0.0
judge,1.0,0.005,2.0,0.131
james,1.0,0.005,0.0,0.0
investors,1.0,0.005,0.0,0.0
inspire,1.0,0.005,0.0,0.0
inappropriate,1.0,0.005,1.0,0.003
impunity,1.0,0.005,0.0,0.0
hiring,1.0,0.005,1.0,0.004
grammys,1.0,0.005,0.0,0.0
french,1.0,0.005,0.0,0.0
filmmaker,1.0,0.005,0.0,0.0
false,1.0,0.005,1.0,0.003
empowered,1.0,0.005,0.0,0.0
emotional,1.0,0.005,0.0,0.0
duke,1.0,0.005,0.0,0.0
diversity,1.0,0.005,0.0,0.0
denounce,1.0,0.005,0.0,0.0
daniels,1.0,0.005,0.0,0.0
cristina,1.0,0.005,0.0,0.0
creator,1.0,0.005,0.0,0.0
complaints,1.0,0.005,0.0,0.0
chinese,1.0,0.005,0.0,0.0
calling,1.0,0.005,1.0,0.006
bryant's,1.0,0.005,0.0,0.0
broader,1.0,0.005,0.0,0.0
allen,1.0,0.005,1.0,0.002
acknowledged,1.0,0.005,0.0,0.0
york's,1.0,0.004,0.0,0.0
witch,1.0,0.004,0.0,0.0
victory,1.0,0.004,1.0,0.002
threatens,1.0,0.004,1.0,0.002
supermodel,1.0,0.004,0.0,0.0
suicide,1.0,0.004,0.0,0.0
students,1.0,0.004,1.0,0.008
spurs,1.0,0.004,0.0,0.0
sport,1.0,0.004,0.0,0.0
speaks,1.0,0.004,1.0,0.004
seminar,1.0,0.004,0.0,0.0
scrutiny,1.0,0.004,1.0,0.002
sarah,1.0,0.004,1.0,0.002
ruth,1.0,0.004,1.0,0.005
rocked,1.0,0.004,0.0,0.0
reminder,1.0,0.004,0.0,0.0
racism,1.0,0.004,0.0,0.0
pushing,1.0,0.004,0.0,0.0
privilege,1.0,0.004,1.0,0.006
prioritize,1.0,0.004,0.0,0.0
premiere,1.0,0.004,1.0,0.002
praised,1.0,0.004,0.0,0.0
poster,1.0,0.004,0.0,0.0
penn,1.0,0.004,0.0,0.0
parkland,1.0,0.004,0.0,0.0
owed,1.0,0.004,0.0,0.0
oprah,1.0,0.004,0.0,0.0
opinion,1.0,0.004,1.0,0.006999999999999999
ongoing,1.0,0.004,0.0,0.0
molested,1.0,0.004,0.0,0.0
minnesota,1.0,0.004,1.0,0.002
michelle,1.0,0.004,0.0,0.0
memories,1.0,0.004,1.0,0.003
mckayla,1.0,0.004,0.0,0.0
mcdonald's,1.0,0.004,0.0,0.0
mccool,1.0,0.004,0.0,0.0
maroney,1.0,0.004,0.0,0.0
lohan,1.0,0.004,0.0,0.0
lauer,1.0,0.004,1.0,0.002
labor,1.0,0.004,1.0,0.002
kobe,1.0,0.004,0.0,0.0
kicked,1.0,0.004,0.0,0.0
jury,1.0,0.004,0.0,0.0
john,1.0,0.004,1.0,0.006999999999999999
joe,1.0,0.004,1.0,0.005
jimmy,1.0,0.004,1.0,0.002
ivanka,1.0,0.004,0.0,0.0
inequality,1.0,0.004,0.0,0.0
india,1.0,0.004,0.0,0.0
incredibly,1.0,0.004,1.0,0.002
inclusion,1.0,0.004,0.0,0.0
immigrants,1.0,0.004,0.0,0.0
hotlines,1.0,0.004,0.0,0.0
high-profile,1.0,0.004,1.0,0.002
guru,1.0,0.004,0.0,0.0
generational,1.0,0.004,0.0,0.0
gaining,1.0,0.004,0.0,0.0
france,1.0,0.004,0.0,0.0
focused,1.0,0.004,1.0,0.005
flood,1.0,0.004,0.0,0.0
fearless,1.0,0.004,0.0,0.0
evolve,1.0,0.004,0.0,0.0
evangelical,1.0,0.004,1.0,0.002
endured,1.0,0.004,0.0,0.0
encourages,1.0,0.004,0.0,0.0
embrace,1.0,0.004,0.0,0.0
dynamics,1.0,0.004,0.0,0.0
demonstrates,1.0,0.004,0.0,0.0
crime,1.0,0.004,1.0,0.006
convention,1.0,0.004,1.0,0.002
conservatives,1.0,0.004,0.0,0.0
condemnation,1.0,0.004,0.0,0.0
college,1.0,0.004,1.0,0.011000000000000001
co-founder,1.0,0.004,0.0,0.0
climate,1.0,0.004,0.0,0.0
client,1.0,0.004,1.0,0.002
claussen,1.0,0.004,0.0,0.0
christian,1.0,0.004,0.0,0.0
catherine,1.0,0.004,0.0,0.0
casey,1.0,0.004,0.0,0.0
careers,1.0,0.004,0.0,0.0
capture,1.0,0.004,0.0,0.0
cannes,1.0,0.004,0.0,0.0
broadcaster,1.0,0.004,0.0,0.0
british,1.0,0.004,0.0,0.0
brett,1.0,0.004,3.0,0.184
behaviour,1.0,0.004,0.0,0.0
banner,1.0,0.004,0.0,0.0
arbitration,1.0,0.004,0.0,0.0
anthony,1.0,0.004,1.0,0.005
anita,1.0,0.004,1.0,0.012
ads,1.0,0.004,1.0,0.002
academy,1.0,0.004,0.0,0.0
woody,1.0,0.003,1.0,0.001
winfrey,1.0,0.003,0.0,0.0
wins,1.0,0.003,1.0,0.001
vulnerable,1.0,0.003,1.0,0.001
victoria's,1.0,0.003,0.0,0.0
verdict,1.0,0.003,1.0,0.001
vanity,1.0,0.003,0.0,0.0
vaginas,1.0,0.003,0.0,0.0
updating,1.0,0.003,0.0,0.0
unleash,1.0,0.003,0.0,0.0
triggered,1.0,0.003,0.0,0.0
trending,1.0,0.003,0.0,0.0
touts,1.0,0.003,0.0,0.0
topics,1.0,0.003,0.0,0.0
tim,1.0,0.003,1.0,0.001
ties,1.0,0.003,1.0,0.001
thurman,1.0,0.003,0.0,0.0
thread,1.0,0.003,1.0,0.001
tens,1.0,0.003,0.0,0.0
teenager,1.0,0.003,0.0,0.0
talks,1.0,0.003,1.0,0.001
tales,1.0,0.003,0.0,0.0
sweeping,1.0,0.003,0.0,0.0
surrounding,1.0,0.003,1.0,0.005
suggesting,1.0,0.003,1.0,0.002
studies,1.0,0.003,0.0,0.0
streep,1.0,0.003,0.0,0.0
starred,1.0,0.003,0.0,0.0
spacey,1.0,0.003,1.0,0.001
sorvino,1.0,0.003,0.0,0.0
skeptics,1.0,0.003,1.0,0.003
singer,1.0,0.003,0.0,0.0
simmons,1.0,0.003,1.0,0.001
shifts,1.0,0.003,0.0,0.0
shed,1.0,0.003,1.0,0.001
self-help,1.0,0.003,0.0,0.0
sean,1.0,0.003,1.0,0.001
scores,1.0,0.003,0.0,0.0
russian,1.0,0.003,1.0,0.001
russia's,1.0,0.003,0.0,0.0
royal,1.0,0.003,0.0,0.0
rolling,1.0,0.003,0.0,0.0
ringwald,1.0,0.003,0.0,0.0
reverberations,1.0,0.003,0.0,0.0
repeatedly,1.0,0.003,1.0,0.003
reluctance,1.0,0.003,1.0,0.003
rejects,1.0,0.003,0.0,0.0
recognition,1.0,0.003,0.0,0.0
pulitzer,1.0,0.003,0.0,0.0
pulaski,1.0,0.003,0.0,0.0
