term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,5.0,0.16822884121399997,10.0,0.348894348894
Senate,5.0,0.142609178643,4.0,0.10810810810799999
Congress,4.0,0.116225786295,2.0,0.0614250614251
Supreme Court,4.0,0.115114906617,3.0,0.0909090909091
White House,4.0,0.110879677845,2.0,0.0663390663391
Washington Post,3.0,0.08880094424769999,4.0,0.12285012285000001
CNN,3.0,0.0847045754357,3.0,0.07125307125310001
Facebook,3.0,0.0713045893217,2.0,0.0540540540541
GOP,2.0,0.0673470804693,2.0,0.0540540540541
House,2.0,0.06581962091230001,2.0,0.0515970515971
Fox News,2.0,0.0604040824828,2.0,0.06879606879610001
Ford,2.0,0.059779212664,2.0,0.049140049139999996
NBC,2.0,0.059293202805,5.0,0.14987714987700002
FBI,2.0,0.05832118308690001,2.0,0.041769041768999995
CBS,2.0,0.057974033187499996,4.0,0.132678132678
Associated Press,2.0,0.057210303409000005,1.0,0.024570024569999998
AP,2.0,0.0505450253419,2.0,0.036855036855
Senate Judiciary Committee,2.0,0.04936471568419999,2.0,0.041769041768999995
Reuters,2.0,0.0490869957648,1.0,0.027027027026999998
Netflix,2.0,0.0356870096508,6.0,0.191646191646
Trump,1.0,0.034367840033300005,1.0,0.022113022113
ABC,1.0,0.0332569603555,3.0,0.07371007371010001
Times,1.0,0.0329098104562,2.0,0.0565110565111
NBC News,1.0,0.031937790738,1.0,0.029484029484
Time,1.0,0.029368881483,3.0,0.07125307125310001
Google,1.0,0.0287440116642,1.0,0.031941031941
Amazon,1.0,0.025411372630699997,2.0,0.0638820638821
Republican,1.0,0.0239533430535,1.0,0.014742014742
Democratic Party,1.0,0.0233284732347,1.0,0.00982800982801
Los Angeles Times,1.0,0.0229813233354,1.0,0.034398034397999995
Trump administration,1.0,0.021801013677699998,1.0,0.00982800982801
Judiciary Committee,1.0,0.021801013677699998,1.0,0.00737100737101
HBO,1.0,0.0210372838992,3.0,0.0761670761671
NFL,1.0,0.019926404221299997,2.0,0.039312039312
MSNBC,1.0,0.0197875442616,1.0,0.029484029484
Wall Street Journal,1.0,0.019509824342200003,1.0,0.012285012284999999
Republican Party,1.0,0.0191626744428,1.0,0.00982800982801
Vanity Fair,1.0,0.019093244462999998,1.0,0.034398034397999995
CBS News,1.0,0.0186766645838,1.0,0.022113022113
Bloomberg,1.0,0.018537804624000002,1.0,0.014742014742
Justice Department,1.0,0.018051794765,1.0,0.019656019656
Vox,1.0,0.0172880649865,2.0,0.0638820638821
YouTube,1.0,0.0165243352079,1.0,0.024570024569999998
Harvard,1.0,0.015760605429400002,1.0,0.019656019656
NPR,1.0,0.0156217454697,2.0,0.039312039312
Post,1.0,0.0150663056308,1.0,0.019656019656
Politico,1.0,0.0148580156912,1.0,0.014742014742
Disney,1.0,0.014510865791799998,2.0,0.041769041768999995
Capitol Hill,1.0,0.014441435812,1.0,0.00982800982801
United Nations,1.0,0.0143720058321,1.0,0.004914004914
Temple University,1.0,0.0143025758523,0.0,0.0
BBC,1.0,0.0141637158925,1.0,0.012285012284999999
USA TODAY,1.0,0.0136777060335,1.0,0.024570024569999998
Yale,1.0,0.012775116295200001,1.0,0.017199017198999998
Democratic,1.0,0.0124279663959,1.0,0.014742014742
ABC News,1.0,0.012358536416,1.0,0.022113022113
New York Post,1.0,0.0110393667986,1.0,0.027027027026999998
USA Gymnastics,1.0,0.0110393667986,1.0,0.022113022113
House of Representatives,1.0,0.0109005068389,0.0,0.0
New Yorker,1.0,0.0109005068389,1.0,0.014742014742
State,1.0,0.0103450669999,0.0,0.0
CNBC,1.0,0.0103450669999,1.0,0.004914004914
Time magazine,1.0,0.010136777060299999,1.0,0.022113022113
PBS,1.0,0.010136777060299999,2.0,0.044226044226
Microsoft,1.0,0.00992848712074,0.0,0.0
CIA,1.0,0.00985905714087,1.0,0.004914004914
U.S. Supreme Court,1.0,0.00985905714087,0.0,0.0
CBS Interactive Inc,1.0,0.00985905714087,0.0,0.0
Facebook post,1.0,0.009720197181139999,0.0,0.0
POLITICO,1.0,0.009720197181139999,0.0,0.0
State Department,1.0,0.009511907241549999,1.0,0.00982800982801
