term,a1_bin,a1_perc,a2_bin,a2_perc
harassment,4.0,0.14300000000000002,3.0,0.095
assault,3.0,0.098,2.0,0.06
weinstein,3.0,0.08199999999999999,3.0,0.11
allegations,3.0,0.08199999999999999,3.0,0.109
abuse,2.0,0.066,2.0,0.05
misconduct,2.0,0.064,3.0,0.099
trump,2.0,0.055999999999999994,1.0,0.012
harvey,2.0,0.054000000000000006,2.0,0.068
campaign,2.0,0.051,1.0,0.013999999999999999
media,2.0,0.05,1.0,0.03
accusations,2.0,0.05,2.0,0.061
hashtag,2.0,0.047,1.0,0.023
time's,1.0,0.037000000000000005,1.0,0.016
metoo,1.0,0.036000000000000004,1.0,0.015
women's,1.0,0.033,1.0,0.012
workplace,1.0,0.03,1.0,0.013999999999999999
tarana,1.0,0.03,1.0,0.016
burke,1.0,0.03,1.0,0.02
democrats,1.0,0.025,0.0,0.0
victims,1.0,0.024,1.0,0.037000000000000005
survivors,1.0,0.024,1.0,0.026000000000000002
activist,1.0,0.022000000000000002,1.0,0.015
tweeted,1.0,0.021,0.0,0.0
supporters,1.0,0.02,1.0,0.008
reckoning,1.0,0.02,1.0,0.013000000000000001
america,1.0,0.019,1.0,0.002
actress,1.0,0.019,1.0,0.013000000000000001
industries,1.0,0.018000000000000002,1.0,0.006999999999999999
milano,1.0,0.017,1.0,0.013999999999999999
argento,1.0,0.017,1.0,0.002
violence,1.0,0.016,1.0,0.006
sexually,1.0,0.016,1.0,0.01
robbins,1.0,0.016,0.0,0.0
kavanaugh,1.0,0.016,1.0,0.013000000000000001
gender,1.0,0.016,1.0,0.005
scandal,1.0,0.015,1.0,0.016
china,1.0,0.015,0.0,0.0
celebrities,1.0,0.015,1.0,0.016
backlash,1.0,0.015,1.0,0.015
year's,1.0,0.013999999999999999,1.0,0.001
twitter,1.0,0.013999999999999999,1.0,0.013000000000000001
producer,1.0,0.013999999999999999,1.0,0.018000000000000002
founder,1.0,0.013999999999999999,0.0,0.0
cbs,1.0,0.013999999999999999,1.0,0.008
asia,1.0,0.013999999999999999,0.0,0.0
washington,1.0,0.013000000000000001,1.0,0.005
rape,1.0,0.013000000000000001,1.0,0.016
