term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,3.0,0.16822884121399997,5.0,0.305439330544
Senate,3.0,0.142609178643,4.0,0.225941422594
Congress,2.0,0.116225786295,4.0,0.217573221757
Supreme Court,2.0,0.115114906617,4.0,0.196652719665
White House,2.0,0.110879677845,4.0,0.234309623431
Washington Post,2.0,0.08880094424769999,3.0,0.188284518828
CNN,2.0,0.0847045754357,3.0,0.175732217573
Facebook,2.0,0.0713045893217,2.0,0.11715481171499999
GOP,2.0,0.0673470804693,2.0,0.0836820083682
House,2.0,0.06581962091230001,2.0,0.12133891213400001
Fox News,1.0,0.0604040824828,10.0,0.6359832635980001
Ford,1.0,0.059779212664,1.0,0.0460251046025
NBC,1.0,0.059293202805,3.0,0.15062761506300001
FBI,1.0,0.05832118308690001,2.0,0.0669456066946
CBS,1.0,0.057974033187499996,2.0,0.09623430962339999
Associated Press,1.0,0.057210303409000005,1.0,0.0209205020921
AP,1.0,0.0505450253419,1.0,0.06276150627619999
Senate Judiciary Committee,1.0,0.04936471568419999,1.0,0.06276150627619999
Reuters,1.0,0.0490869957648,1.0,0.029288702928900002
Netflix,1.0,0.0356870096508,1.0,0.0376569037657
Trump,1.0,0.034367840033300005,1.0,0.0585774058577
ABC,1.0,0.0332569603555,2.0,0.0836820083682
Times,1.0,0.0329098104562,1.0,0.0585774058577
NBC News,1.0,0.031937790738,1.0,0.05439330543930001
Time,1.0,0.029368881483,1.0,0.0167364016736
Google,1.0,0.0287440116642,1.0,0.0209205020921
Amazon,1.0,0.025411372630699997,1.0,0.06276150627619999
Republican,1.0,0.0239533430535,1.0,0.0334728033473
Democratic Party,1.0,0.0233284732347,1.0,0.0251046025105
Los Angeles Times,1.0,0.0229813233354,1.0,0.0251046025105
Trump administration,1.0,0.021801013677699998,1.0,0.0334728033473
Judiciary Committee,1.0,0.021801013677699998,1.0,0.0251046025105
HBO,1.0,0.0210372838992,1.0,0.0376569037657
NFL,1.0,0.019926404221299997,1.0,0.0334728033473
MSNBC,1.0,0.0197875442616,1.0,0.050209205020900004
Wall Street Journal,1.0,0.019509824342200003,1.0,0.050209205020900004
Republican Party,1.0,0.0191626744428,1.0,0.0418410041841
Vanity Fair,1.0,0.019093244462999998,1.0,0.0251046025105
CBS News,1.0,0.0186766645838,1.0,0.050209205020900004
Bloomberg,1.0,0.018537804624000002,1.0,0.0125523012552
Justice Department,1.0,0.018051794765,1.0,0.0460251046025
Vox,1.0,0.0172880649865,1.0,0.06276150627619999
YouTube,1.0,0.0165243352079,1.0,0.0125523012552
Harvard,1.0,0.015760605429400002,1.0,0.0125523012552
NPR,1.0,0.0156217454697,1.0,0.0460251046025
Post,1.0,0.0150663056308,1.0,0.0209205020921
Politico,1.0,0.0148580156912,1.0,0.0209205020921
Disney,1.0,0.014510865791799998,1.0,0.0209205020921
Capitol Hill,1.0,0.014441435812,1.0,0.0376569037657
United Nations,1.0,0.0143720058321,0.0,0.0
Temple University,1.0,0.0143025758523,1.0,0.0167364016736
BBC,1.0,0.0141637158925,1.0,0.00836820083682
USA TODAY,1.0,0.0136777060335,1.0,0.0334728033473
Yale,1.0,0.012775116295200001,1.0,0.0125523012552
Democratic,1.0,0.0124279663959,0.0,0.0
ABC News,1.0,0.012358536416,1.0,0.0209205020921
New York Post,1.0,0.0110393667986,0.0,0.0
USA Gymnastics,1.0,0.0110393667986,1.0,0.0167364016736
House of Representatives,1.0,0.0109005068389,0.0,0.0
New Yorker,1.0,0.0109005068389,1.0,0.0125523012552
