term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,3.0,0.16822884121399997,5.0,0.24531835206
Senate,3.0,0.142609178643,10.0,0.582397003745
Congress,2.0,0.116225786295,7.0,0.37640449438199997
Supreme Court,2.0,0.115114906617,4.0,0.21535580524300002
White House,2.0,0.110879677845,6.0,0.331460674157
Washington Post,2.0,0.08880094424769999,5.0,0.26404494382
CNN,2.0,0.0847045754357,4.0,0.185393258427
Facebook,2.0,0.0713045893217,2.0,0.0861423220974
GOP,2.0,0.0673470804693,6.0,0.32397003745299996
House,2.0,0.06581962091230001,4.0,0.230337078652
Fox News,2.0,0.0604040824828,3.0,0.16479400749099998
Ford,2.0,0.059779212664,2.0,0.06741573033710001
NBC,2.0,0.059293202805,2.0,0.11235955056199999
FBI,2.0,0.05832118308690001,3.0,0.13295880149800002
CBS,1.0,0.057974033187499996,1.0,0.05056179775280001
Associated Press,1.0,0.057210303409000005,1.0,0.0355805243446
AP,1.0,0.0505450253419,2.0,0.0861423220974
Senate Judiciary Committee,1.0,0.04936471568419999,2.0,0.0973782771536
Reuters,1.0,0.0490869957648,1.0,0.0486891385768
Netflix,1.0,0.0356870096508,1.0,0.029962546816500003
Trump,1.0,0.034367840033300005,3.0,0.12734082397
ABC,1.0,0.0332569603555,1.0,0.0393258426966
Times,1.0,0.0329098104562,2.0,0.061797752808999996
NBC News,1.0,0.031937790738,2.0,0.059925093633000005
Time,1.0,0.029368881483,1.0,0.033707865168499995
Google,1.0,0.0287440116642,1.0,0.0374531835206
Amazon,1.0,0.025411372630699997,1.0,0.0430711610487
Republican,1.0,0.0239533430535,2.0,0.101123595506
Democratic Party,1.0,0.0233284732347,2.0,0.0973782771536
Los Angeles Times,1.0,0.0229813233354,1.0,0.0205992509363
Trump administration,1.0,0.021801013677699998,1.0,0.041198501872699994
Judiciary Committee,1.0,0.021801013677699998,1.0,0.029962546816500003
HBO,1.0,0.0210372838992,1.0,0.005617977528089999
NFL,1.0,0.019926404221299997,1.0,0.05056179775280001
MSNBC,1.0,0.0197875442616,2.0,0.059925093633000005
Wall Street Journal,1.0,0.019509824342200003,1.0,0.0486891385768
Republican Party,1.0,0.0191626744428,3.0,0.13483146067399998
Vanity Fair,1.0,0.019093244462999998,1.0,0.0262172284644
CBS News,1.0,0.0186766645838,1.0,0.0243445692884
Bloomberg,1.0,0.018537804624000002,1.0,0.0280898876404
Justice Department,1.0,0.018051794765,2.0,0.0692883895131
Vox,1.0,0.0172880649865,1.0,0.0374531835206
YouTube,1.0,0.0165243352079,1.0,0.00749063670412
Harvard,1.0,0.015760605429400002,1.0,0.0243445692884
NPR,1.0,0.0156217454697,1.0,0.033707865168499995
Post,1.0,0.0150663056308,1.0,0.05056179775280001
Politico,1.0,0.0148580156912,2.0,0.061797752808999996
Disney,1.0,0.014510865791799998,1.0,0.0262172284644
Capitol Hill,1.0,0.014441435812,1.0,0.0543071161049
United Nations,1.0,0.0143720058321,1.0,0.029962546816500003
Temple University,1.0,0.0143025758523,0.0,0.0
BBC,1.0,0.0141637158925,1.0,0.022471910112400004
USA TODAY,1.0,0.0136777060335,1.0,0.0262172284644
Yale,1.0,0.012775116295200001,1.0,0.0149812734082
Democratic,1.0,0.0124279663959,1.0,0.046816479400699995
ABC News,1.0,0.012358536416,1.0,0.0280898876404
New York Post,1.0,0.0110393667986,1.0,0.00749063670412
USA Gymnastics,1.0,0.0110393667986,1.0,0.0187265917603
House of Representatives,1.0,0.0109005068389,1.0,0.0318352059925
New Yorker,1.0,0.0109005068389,1.0,0.0168539325843
State,1.0,0.0103450669999,1.0,0.029962546816500003
CNBC,1.0,0.0103450669999,1.0,0.0187265917603
Time magazine,1.0,0.010136777060299999,1.0,0.0318352059925
PBS,1.0,0.010136777060299999,1.0,0.0355805243446
Microsoft,1.0,0.00992848712074,0.0,0.0
CIA,1.0,0.00985905714087,1.0,0.0187265917603
U.S. Supreme Court,1.0,0.00985905714087,1.0,0.0168539325843
CBS Interactive Inc,1.0,0.00985905714087,0.0,0.0
Facebook post,1.0,0.009720197181139999,1.0,0.0131086142322
POLITICO,1.0,0.009720197181139999,1.0,0.0168539325843
State Department,1.0,0.009511907241549999,1.0,0.029962546816500003
Apple,1.0,0.009511907241549999,1.0,0.0168539325843
U.S. Senate,1.0,0.00937304728182,2.0,0.08239700374530001
solidarity,1.0,0.00930361730195,1.0,0.0187265917603
USA Today,1.0,0.00867874748316,1.0,0.0243445692884
EEOC,1.0,0.00867874748316,1.0,0.0187265917603
Navy,1.0,0.0084010275637,1.0,0.0131086142322
Hollywood,1.0,0.0084010275637,0.0,0.0
BuzzFeed News,1.0,0.0084010275637,1.0,0.00936329588015
U.N.,1.0,0.00833159758384,1.0,0.0318352059925
Academy of Motion Picture Arts and Sciences,1.0,0.00833159758384,0.0,0.0
NRA,1.0,0.00819273762411,1.0,0.0168539325843
Alabama Senate,1.0,0.00798444768451,4.0,0.204119850187
house,1.0,0.00791501770464,0.0,0.0
Republican National Committee,1.0,0.00791501770464,2.0,0.0786516853933
Catholic,1.0,0.00777615774491,1.0,0.005617977528089999
Stanford,1.0,0.00756786780532,1.0,0.0187265917603
ESPN,1.0,0.00756786780532,1.0,0.0243445692884
F.B.I.,1.0,0.007498437825449999,1.0,0.0131086142322
NBA,1.0,0.00742900784559,0.0,0.0
Pentagon,1.0,0.00729014788586,1.0,0.0262172284644
Twitter,1.0,0.00729014788586,1.0,0.0149812734082
Walmart,1.0,0.00722071790599,0.0,0.0
Weinstein Company,1.0,0.00722071790599,0.0,0.0
McDonald,1.0,0.00722071790599,1.0,0.005617977528089999
Yale University,1.0,0.00715128792613,1.0,0.005617977528089999
Michigan State University,1.0,0.00715128792613,1.0,0.00749063670412
UN,1.0,0.00708185794626,1.0,0.00936329588015
Boston Globe,1.0,0.0070124279664,1.0,0.0187265917603
Equal Employment Opportunity Commission,1.0,0.0070124279664,1.0,0.0131086142322
Treasury,1.0,0.00687356800667,1.0,0.0187265917603
WSJ,1.0,0.0067347080469300005,1.0,0.00749063670412
European Union,1.0,0.00666527806707,0.0,0.0
Medicare,1.0,0.00666527806707,1.0,0.0243445692884
Rutgers University,1.0,0.00666527806707,1.0,0.0149812734082
EPA,1.0,0.0065958480871999995,1.0,0.0131086142322
DNC,1.0,0.00645698812747,1.0,0.022471910112400004
NYT,1.0,0.00645698812747,1.0,0.00936329588015
Catholic Church,1.0,0.006318128167739999,1.0,0.005617977528089999
Weinstein Co.,1.0,0.006318128167739999,1.0,0.0205992509363
Amazon Studios,1.0,0.006318128167739999,1.0,0.022471910112400004
Miramax,1.0,0.00610983822815,1.0,0.005617977528089999
Breitbart News,1.0,0.00604040824828,1.0,0.005617977528089999
Democratic National Committee,1.0,0.00597097826842,1.0,0.0187265917603
Trump White House,1.0,0.00597097826842,1.0,0.0243445692884
Palo Alto University,1.0,0.005901548288549999,0.0,0.0
Fox,1.0,0.00583211830869,1.0,0.011235955056200002
Showtime,1.0,0.0056932583489599994,0.0,0.0
Playboy,1.0,0.00555439838922,1.0,0.00936329588015
RNC,1.0,0.00555439838922,1.0,0.04494382022469999
Pew Research Center,1.0,0.00555439838922,1.0,0.0205992509363
supreme court,1.0,0.005415538429489999,1.0,0.00936329588015
Huffington Post,1.0,0.00527667846976,1.0,0.00749063670412
Democrats,1.0,0.005207248489899999,1.0,0.029962546816500003
Starbucks,1.0,0.0049989585503,0.0,0.0
Warner Bros.,1.0,0.00492952857044,0.0,0.0
state,1.0,0.004860098590569999,1.0,0.0205992509363
Stanford University,1.0,0.004860098590569999,1.0,0.00749063670412
New York Daily News,1.0,0.004860098590569999,1.0,0.0131086142322
LA Times,1.0,0.004860098590569999,1.0,0.00936329588015
Goldman Sachs,1.0,0.00479066861071,0.0,0.0
ACLU,1.0,0.00479066861071,1.0,0.00936329588015
WaPo,1.0,0.00472123863084,1.0,0.00749063670412
Department of Justice,1.0,0.004651808650979999,1.0,0.0168539325843
House Intelligence Committee,1.0,0.004651808650979999,1.0,0.0262172284644
Nike,1.0,0.004651808650979999,0.0,0.0
Newsweek,1.0,0.004651808650979999,1.0,0.0205992509363
Sony,1.0,0.00458237867111,0.0,0.0
Columbia University,1.0,0.00458237867111,1.0,0.011235955056200002
Gallup,1.0,0.00458237867111,1.0,0.011235955056200002
Defense,1.0,0.004512948691239999,1.0,0.0149812734082
National Women’s Law Center,1.0,0.00444351871138,0.0,0.0
ISIS,1.0,0.00437408873151,1.0,0.0205992509363
EU,1.0,0.00437408873151,0.0,0.0
DOJ,1.0,0.00437408873151,1.0,0.0243445692884
MTV,1.0,0.00437408873151,0.0,0.0
National Rifle Association,1.0,0.0043046587516499995,1.0,0.0149812734082
