term,a1_bin,a1_perc,a2_bin,a2_perc
harassment,3.0,0.14300000000000002,1.0,0.057999999999999996
assault,2.0,0.098,2.0,0.075
weinstein,2.0,0.08199999999999999,1.0,0.042
allegations,2.0,0.08199999999999999,3.0,0.159
abuse,2.0,0.066,1.0,0.034
misconduct,1.0,0.064,2.0,0.092
trump,1.0,0.055999999999999994,3.0,0.16899999999999998
harvey,1.0,0.054000000000000006,1.0,0.028999999999999998
campaign,1.0,0.051,1.0,0.055
media,1.0,0.05,1.0,0.033
accusations,1.0,0.05,2.0,0.08199999999999999
hashtag,1.0,0.047,1.0,0.015
time's,1.0,0.037000000000000005,1.0,0.005
metoo,1.0,0.036000000000000004,1.0,0.01
women's,1.0,0.033,1.0,0.018000000000000002
workplace,1.0,0.03,1.0,0.01
tarana,1.0,0.03,1.0,0.006999999999999999
burke,1.0,0.03,1.0,0.006999999999999999
democrats,1.0,0.025,2.0,0.10300000000000001
victims,1.0,0.024,1.0,0.019
survivors,1.0,0.024,1.0,0.011000000000000001
activist,1.0,0.022000000000000002,1.0,0.009000000000000001
tweeted,1.0,0.021,0.0,0.0
supporters,1.0,0.02,1.0,0.017
reckoning,1.0,0.02,1.0,0.018000000000000002
america,1.0,0.019,1.0,0.006
actress,1.0,0.019,1.0,0.004
industries,1.0,0.018000000000000002,1.0,0.002
milano,1.0,0.017,1.0,0.004
argento,1.0,0.017,1.0,0.002
violence,1.0,0.016,1.0,0.006
sexually,1.0,0.016,1.0,0.019
robbins,1.0,0.016,0.0,0.0
kavanaugh,1.0,0.016,1.0,0.017
gender,1.0,0.016,1.0,0.006
scandal,1.0,0.015,1.0,0.02
china,1.0,0.015,0.0,0.0
celebrities,1.0,0.015,0.0,0.0
backlash,1.0,0.015,1.0,0.005
year's,1.0,0.013999999999999999,1.0,0.006
twitter,1.0,0.013999999999999999,1.0,0.006
producer,1.0,0.013999999999999999,1.0,0.002
founder,1.0,0.013999999999999999,1.0,0.002
cbs,1.0,0.013999999999999999,0.0,0.0
asia,1.0,0.013999999999999999,1.0,0.002
washington,1.0,0.013000000000000001,1.0,0.039
rape,1.0,0.013000000000000001,1.0,0.005
global,1.0,0.013000000000000001,0.0,0.0
alyssa,1.0,0.013000000000000001,1.0,0.004
united,1.0,0.012,1.0,0.009000000000000001
republican,1.0,0.012,3.0,0.153
oscars,1.0,0.012,0.0,0.0
highlights,1.0,0.012,0.0,0.0
feminist,1.0,0.012,1.0,0.006999999999999999
elections,1.0,0.012,0.0,0.0
carpet,1.0,0.012,0.0,0.0
apologized,1.0,0.012,0.0,0.0
accountable,1.0,0.012,0.0,0.0
momentum,1.0,0.011000000000000001,1.0,0.006999999999999999
education,1.0,0.011000000000000001,0.0,0.0
cosby,1.0,0.011000000000000001,1.0,0.006999999999999999
american,1.0,0.011000000000000001,1.0,0.02
university,1.0,0.01,1.0,0.004
sparked,1.0,0.01,0.0,0.0
revelations,1.0,0.01,1.0,0.003
reporting,1.0,0.01,1.0,0.017
online,1.0,0.01,0.0,0.0
moonves,1.0,0.01,0.0,0.0
mogul,1.0,0.01,1.0,0.003
globes,1.0,0.01,0.0,0.0
facebook,1.0,0.01,0.0,0.0
conversations,1.0,0.01,1.0,0.002
congress,1.0,0.01,1.0,0.011000000000000001
bennett,1.0,0.01,1.0,0.002
advocate,1.0,0.01,0.0,0.0
midst,1.0,0.009000000000000001,0.0,0.0
headlines,1.0,0.009000000000000001,0.0,0.0
dating,1.0,0.009000000000000001,0.0,0.0
california,1.0,0.009000000000000001,1.0,0.003
tony,1.0,0.008,0.0,0.0
senate,1.0,0.008,3.0,0.171
senate,1.0,0.008,1.0,0.001
resignations,1.0,0.008,0.0,0.0
prompted,1.0,0.008,1.0,0.003
lawmakers,1.0,0.008,1.0,0.012
journalists,1.0,0.008,1.0,0.002
garcia,1.0,0.008,0.0,0.0
empowerment,1.0,0.008,0.0,0.0
awards,1.0,0.008,1.0,0.002
viral,1.0,0.006999999999999999,1.0,0.003
targeted,1.0,0.006999999999999999,1.0,0.003
supreme,1.0,0.006999999999999999,1.0,0.01
rally,1.0,0.006999999999999999,1.0,0.013999999999999999
predators,1.0,0.006999999999999999,1.0,0.012
post's,1.0,0.006999999999999999,1.0,0.003
porter,1.0,0.006999999999999999,1.0,0.013999999999999999
photo,1.0,0.006999999999999999,1.0,0.006999999999999999
nomination,1.0,0.006999999999999999,1.0,0.006
moments,1.0,0.006999999999999999,1.0,0.004
michael,1.0,0.006999999999999999,1.0,0.002
galvanized,1.0,0.006999999999999999,1.0,0.004
equality,1.0,0.006999999999999999,0.0,0.0
endorsement,1.0,0.006999999999999999,1.0,0.026000000000000002
echoed,1.0,0.006999999999999999,0.0,0.0
dozens,1.0,0.006999999999999999,1.0,0.004
deserve,1.0,0.006999999999999999,1.0,0.005
clinton,1.0,0.006999999999999999,1.0,0.02
ceo,1.0,0.006999999999999999,0.0,0.0
campus,1.0,0.006999999999999999,0.0,0.0
bourdain,1.0,0.006999999999999999,0.0,0.0
yorker,1.0,0.006,1.0,0.008
vox,1.0,0.006,1.0,0.004
solidarity,1.0,0.006,1.0,0.005
protests,1.0,0.006,1.0,0.002
presidency,1.0,0.006,0.0,0.0
nominee,1.0,0.006,1.0,0.013999999999999999
mcgowan,1.0,0.006,0.0,0.0
marches,1.0,0.006,0.0,0.0
lewinsky,1.0,0.006,0.0,0.0
lessons,1.0,0.006,0.0,0.0
