term,a1_bin,a1_perc,a2_bin,a2_perc
harassment,2.0,0.14300000000000002,4.0,0.3
assault,1.0,0.098,1.0,0.015
weinstein,1.0,0.08199999999999999,1.0,0.044000000000000004
allegations,1.0,0.08199999999999999,2.0,0.158
abuse,1.0,0.066,1.0,0.019
misconduct,1.0,0.064,1.0,0.049
trump,1.0,0.055999999999999994,2.0,0.122
harvey,1.0,0.054000000000000006,1.0,0.028999999999999998
campaign,1.0,0.051,1.0,0.02
media,1.0,0.05,1.0,0.044000000000000004
accusations,1.0,0.05,1.0,0.036000000000000004
hashtag,1.0,0.047,1.0,0.002
time's,1.0,0.037000000000000005,0.0,0.0
metoo,1.0,0.036000000000000004,0.0,0.0
women's,1.0,0.033,1.0,0.002
workplace,1.0,0.03,1.0,0.011000000000000001
tarana,1.0,0.03,0.0,0.0
burke,1.0,0.03,0.0,0.0
democrats,1.0,0.025,0.0,0.0
victims,1.0,0.024,1.0,0.008
survivors,1.0,0.024,0.0,0.0
activist,1.0,0.022000000000000002,0.0,0.0
tweeted,1.0,0.021,1.0,0.006
supporters,1.0,0.02,1.0,0.006
reckoning,1.0,0.02,1.0,0.005
america,1.0,0.019,1.0,0.01
actress,1.0,0.019,0.0,0.0
industries,1.0,0.018000000000000002,1.0,0.002
milano,1.0,0.017,0.0,0.0
argento,1.0,0.017,0.0,0.0
violence,1.0,0.016,0.0,0.0
sexually,1.0,0.016,1.0,0.027999999999999997
robbins,1.0,0.016,0.0,0.0
kavanaugh,1.0,0.016,1.0,0.006999999999999999
gender,1.0,0.016,1.0,0.002
scandal,1.0,0.015,1.0,0.046
china,1.0,0.015,1.0,0.005
celebrities,1.0,0.015,0.0,0.0
backlash,1.0,0.015,0.0,0.0
year's,1.0,0.013999999999999999,1.0,0.001
twitter,1.0,0.013999999999999999,1.0,0.006
producer,1.0,0.013999999999999999,1.0,0.013999999999999999
founder,1.0,0.013999999999999999,1.0,0.023
cbs,1.0,0.013999999999999999,1.0,0.005
asia,1.0,0.013999999999999999,0.0,0.0
washington,1.0,0.013000000000000001,1.0,0.005
rape,1.0,0.013000000000000001,1.0,0.001
global,1.0,0.013000000000000001,1.0,0.002
alyssa,1.0,0.013000000000000001,0.0,0.0
united,1.0,0.012,1.0,0.003
republican,1.0,0.012,1.0,0.011000000000000001
oscars,1.0,0.012,0.0,0.0
highlights,1.0,0.012,0.0,0.0
feminist,1.0,0.012,0.0,0.0
elections,1.0,0.012,0.0,0.0
carpet,1.0,0.012,0.0,0.0
apologized,1.0,0.012,0.0,0.0
accountable,1.0,0.012,0.0,0.0
momentum,1.0,0.011000000000000001,0.0,0.0
education,1.0,0.011000000000000001,0.0,0.0
cosby,1.0,0.011000000000000001,1.0,0.027999999999999997
american,1.0,0.011000000000000001,1.0,0.011000000000000001
university,1.0,0.01,0.0,0.0
sparked,1.0,0.01,1.0,0.001
revelations,1.0,0.01,1.0,0.006999999999999999
reporting,1.0,0.01,0.0,0.0
online,1.0,0.01,0.0,0.0
moonves,1.0,0.01,1.0,0.003
mogul,1.0,0.01,1.0,0.005
globes,1.0,0.01,0.0,0.0
facebook,1.0,0.01,0.0,0.0
conversations,1.0,0.01,1.0,0.002
congress,1.0,0.01,0.0,0.0
bennett,1.0,0.01,0.0,0.0
advocate,1.0,0.01,0.0,0.0
midst,1.0,0.009000000000000001,0.0,0.0
headlines,1.0,0.009000000000000001,1.0,0.002
dating,1.0,0.009000000000000001,0.0,0.0
california,1.0,0.009000000000000001,0.0,0.0
tony,1.0,0.008,0.0,0.0
senate,1.0,0.008,1.0,0.005
resignations,1.0,0.008,0.0,0.0
prompted,1.0,0.008,1.0,0.005
lawmakers,1.0,0.008,0.0,0.0
journalists,1.0,0.008,0.0,0.0
garcia,1.0,0.008,0.0,0.0
empowerment,1.0,0.008,0.0,0.0
awards,1.0,0.008,0.0,0.0
viral,1.0,0.006999999999999999,0.0,0.0
targeted,1.0,0.006999999999999999,1.0,0.003
supreme,1.0,0.006999999999999999,1.0,0.001
rally,1.0,0.006999999999999999,1.0,0.002
predators,1.0,0.006999999999999999,1.0,0.01
post's,1.0,0.006999999999999999,1.0,0.001
porter,1.0,0.006999999999999999,1.0,0.006
photo,1.0,0.006999999999999999,1.0,0.003
nomination,1.0,0.006999999999999999,0.0,0.0
moments,1.0,0.006999999999999999,0.0,0.0
michael,1.0,0.006999999999999999,1.0,0.012
galvanized,1.0,0.006999999999999999,0.0,0.0
equality,1.0,0.006999999999999999,0.0,0.0
endorsement,1.0,0.006999999999999999,0.0,0.0
echoed,1.0,0.006999999999999999,0.0,0.0
dozens,1.0,0.006999999999999999,1.0,0.005
deserve,1.0,0.006999999999999999,1.0,0.002
clinton,1.0,0.006999999999999999,1.0,0.017
ceo,1.0,0.006999999999999999,1.0,0.081
campus,1.0,0.006999999999999999,0.0,0.0
bourdain,1.0,0.006999999999999999,0.0,0.0
yorker,1.0,0.006,0.0,0.0
vox,1.0,0.006,0.0,0.0
solidarity,1.0,0.006,0.0,0.0
protests,1.0,0.006,0.0,0.0
presidency,1.0,0.006,0.0,0.0
nominee,1.0,0.006,1.0,0.002
mcgowan,1.0,0.006,0.0,0.0
marches,1.0,0.006,0.0,0.0
lewinsky,1.0,0.006,0.0,0.0
lessons,1.0,0.006,0.0,0.0
investigative,1.0,0.006,0.0,0.0
grappled,1.0,0.006,0.0,0.0
getty,1.0,0.006,0.0,0.0
fueled,1.0,0.006,0.0,0.0
franken,1.0,0.006,1.0,0.005
franco,1.0,0.006,0.0,0.0
ford,1.0,0.006,0.0,0.0
farrow,1.0,0.006,0.0,0.0
empathy,1.0,0.006,0.0,0.0
donald,1.0,0.006,1.0,0.021
disgraced,1.0,0.006,0.0,0.0
criticized,1.0,0.006,1.0,0.002
crisis,1.0,0.006,1.0,0.002
criminal,1.0,0.006,1.0,0.003
corporate,1.0,0.006,0.0,0.0
consent,1.0,0.006,0.0,0.0
ceremony,1.0,0.006,0.0,0.0
capitol,1.0,0.006,1.0,0.002
button,1.0,0.006,0.0,0.0
angeles,1.0,0.006,0.0,0.0
winner,1.0,0.005,1.0,0.003
weighed,1.0,0.005,1.0,0.001
warren,1.0,0.005,1.0,0.001
vocal,1.0,0.005,0.0,0.0
violating,1.0,0.005,0.0,0.0
vegas,1.0,0.005,0.0,0.0
tv,1.0,0.005,1.0,0.017
spotlight,1.0,0.005,1.0,0.002
slams,1.0,0.005,0.0,0.0
schneiderman,1.0,0.005,0.0,0.0
reuters,1.0,0.005,1.0,0.001
reacted,1.0,0.005,0.0,0.0
prominence,1.0,0.005,0.0,0.0
professor,1.0,0.005,0.0,0.0
politically,1.0,0.005,0.0,0.0
nassar,1.0,0.005,0.0,0.0
monica,1.0,0.005,0.0,0.0
men's,1.0,0.005,0.0,0.0
male-dominated,1.0,0.005,0.0,0.0
los,1.0,0.005,0.0,0.0
liberated,1.0,0.005,0.0,0.0
leader,1.0,0.005,1.0,0.004
launch,1.0,0.005,1.0,0.009000000000000001
las,1.0,0.005,0.0,0.0
judge,1.0,0.005,1.0,0.003
james,1.0,0.005,1.0,0.005
investors,1.0,0.005,0.0,0.0
inspire,1.0,0.005,0.0,0.0
inappropriate,1.0,0.005,1.0,0.008
impunity,1.0,0.005,0.0,0.0
hiring,1.0,0.005,1.0,0.004
grammys,1.0,0.005,0.0,0.0
french,1.0,0.005,0.0,0.0
filmmaker,1.0,0.005,0.0,0.0
false,1.0,0.005,1.0,0.003
empowered,1.0,0.005,0.0,0.0
emotional,1.0,0.005,0.0,0.0
duke,1.0,0.005,0.0,0.0
diversity,1.0,0.005,0.0,0.0
denounce,1.0,0.005,0.0,0.0
daniels,1.0,0.005,0.0,0.0
cristina,1.0,0.005,0.0,0.0
creator,1.0,0.005,0.0,0.0
complaints,1.0,0.005,1.0,0.015
chinese,1.0,0.005,0.0,0.0
calling,1.0,0.005,1.0,0.002
bryant's,1.0,0.005,0.0,0.0
broader,1.0,0.005,1.0,0.002
allen,1.0,0.005,0.0,0.0
acknowledged,1.0,0.005,0.0,0.0
