term,a1_bin,a1_perc,a2_bin,a2_perc
harvey weinstein,2.0,0.042,1.0,0.003
harassment assault,1.0,0.035,0.0,0.0
tarana burke,1.0,0.016,0.0,0.0
assault harassment,1.0,0.012,0.0,0.0
donald trump,1.0,0.011000000000000001,1.0,0.027000000000000003
mogul harvey,1.0,0.01,0.0,0.0
harassment abuse,1.0,0.01,0.0,0.0
producer harvey,1.0,0.009000000000000001,0.0,0.0
misconduct allegations,1.0,0.009000000000000001,1.0,0.017
alyssa milano,1.0,0.009000000000000001,0.0,0.0
harvey weinstein's,1.0,0.008,0.0,0.0
brett kavanaugh,1.0,0.008,0.0,0.0
workplace harassment,1.0,0.006999999999999999,0.0,0.0
victims harassment,1.0,0.006999999999999999,0.0,0.0
tony robbins,1.0,0.006999999999999999,0.0,0.0
assault allegations,1.0,0.006999999999999999,0.0,0.0
asia argento,1.0,0.006999999999999999,0.0,0.0
media campaign,1.0,0.006,0.0,0.0
los angeles,1.0,0.006,0.0,0.0
gender equality,1.0,0.006,0.0,0.0
activist tarana,1.0,0.006,0.0,0.0
sexually harassed,1.0,0.005,0.0,0.0
media harassment,1.0,0.005,0.0,0.0
matt damon,1.0,0.005,0.0,0.0
las vegas,1.0,0.005,0.0,0.0
allegations misconduct,1.0,0.005,1.0,0.017
actress alyssa,1.0,0.005,0.0,0.0
accusations misconduct,1.0,0.005,1.0,0.002
abuse harassment,1.0,0.005,0.0,0.0
susan collins,1.0,0.004,1.0,0.001
midterm elections,1.0,0.004,0.0,0.0
mckayla maroney,1.0,0.004,0.0,0.0
cristina garcia,1.0,0.004,0.0,0.0
catherine deneuve,1.0,0.004,0.0,0.0
campaign harassment,1.0,0.004,0.0,0.0
woody allen,1.0,0.003,0.0,0.0
weinstein's alleged,1.0,0.003,0.0,0.0
weinstein scandal,1.0,0.003,0.0,0.0
washington post's,1.0,0.003,1.0,0.002
viral media,1.0,0.003,0.0,0.0
supermodel karlie,1.0,0.003,0.0,0.0
suggesting admiration,1.0,0.003,0.0,0.0
sexually assaulted,1.0,0.003,1.0,0.006
