term,a1_bin,a1_perc,a2_bin,a2_perc
harassment,2.0,0.14300000000000002,1.0,0.021
assault,1.0,0.098,1.0,0.03
weinstein,1.0,0.08199999999999999,1.0,0.004
allegations,1.0,0.08199999999999999,2.0,0.175
abuse,1.0,0.066,1.0,0.006999999999999999
misconduct,1.0,0.064,1.0,0.057999999999999996
trump,1.0,0.055999999999999994,2.0,0.17600000000000002
harvey,1.0,0.054000000000000006,1.0,0.004
campaign,1.0,0.051,1.0,0.09
media,1.0,0.05,1.0,0.02
accusations,1.0,0.05,1.0,0.07200000000000001
hashtag,1.0,0.047,0.0,0.0
time's,1.0,0.037000000000000005,0.0,0.0
metoo,1.0,0.036000000000000004,0.0,0.0
women's,1.0,0.033,1.0,0.004
workplace,1.0,0.03,0.0,0.0
tarana,1.0,0.03,0.0,0.0
burke,1.0,0.03,0.0,0.0
democrats,1.0,0.025,0.0,0.0
victims,1.0,0.024,1.0,0.006
survivors,1.0,0.024,0.0,0.0
activist,1.0,0.022000000000000002,1.0,0.003
tweeted,1.0,0.021,1.0,0.016
supporters,1.0,0.02,1.0,0.027000000000000003
reckoning,1.0,0.02,1.0,0.001
america,1.0,0.019,1.0,0.011000000000000001
actress,1.0,0.019,0.0,0.0
industries,1.0,0.018000000000000002,0.0,0.0
milano,1.0,0.017,0.0,0.0
argento,1.0,0.017,0.0,0.0
violence,1.0,0.016,1.0,0.002
sexually,1.0,0.016,1.0,0.016
robbins,1.0,0.016,0.0,0.0
kavanaugh,1.0,0.016,0.0,0.0
gender,1.0,0.016,0.0,0.0
scandal,1.0,0.015,1.0,0.003
china,1.0,0.015,0.0,0.0
celebrities,1.0,0.015,0.0,0.0
backlash,1.0,0.015,1.0,0.002
year's,1.0,0.013999999999999999,0.0,0.0
twitter,1.0,0.013999999999999999,1.0,0.006999999999999999
producer,1.0,0.013999999999999999,1.0,0.004
founder,1.0,0.013999999999999999,0.0,0.0
cbs,1.0,0.013999999999999999,1.0,0.003
asia,1.0,0.013999999999999999,1.0,0.002
washington,1.0,0.013000000000000001,1.0,0.057
rape,1.0,0.013000000000000001,1.0,0.001
