term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,10.0,0.16822884121399997,10.0,0.17931116577999998
Senate,8.0,0.142609178643,10.0,0.18149353225900003
Congress,7.0,0.116225786295,10.0,0.166018569955
Supreme Court,7.0,0.115114906617,5.0,0.086461391953
White House,7.0,0.110879677845,7.0,0.116855805095
Washington Post,5.0,0.08880094424769999,7.0,0.110030949925
CNN,5.0,0.0847045754357,6.0,0.0995952702166
Facebook,4.0,0.0713045893217,4.0,0.06340766605819999
GOP,4.0,0.0673470804693,5.0,0.08535036901830001
House,4.0,0.06581962091230001,7.0,0.116062217284
Fox News,4.0,0.0604040824828,6.0,0.0916990715023
Ford,4.0,0.059779212664,2.0,0.0328942147449
NBC,4.0,0.059293202805,5.0,0.0787635901913
FBI,4.0,0.05832118308690001,3.0,0.053606856598699994
CBS,4.0,0.057974033187499996,4.0,0.060590429331
Associated Press,4.0,0.057210303409000005,4.0,0.061264978969900005
AP,3.0,0.0505450253419,3.0,0.053448139036600006
Senate Judiciary Committee,3.0,0.04936471568419999,3.0,0.0367431156257
Reuters,3.0,0.0490869957648,4.0,0.056622490278500005
Netflix,2.0,0.0356870096508,2.0,0.0338465201175
Trump,2.0,0.034367840033300005,2.0,0.0333306880406
ABC,2.0,0.0332569603555,2.0,0.0324577414491
Times,2.0,0.0329098104562,3.0,0.0457503372748
NBC News,2.0,0.031937790738,3.0,0.0442028410444
Time,2.0,0.029368881483,2.0,0.019165145623400003
Google,2.0,0.0287440116642,2.0,0.0299976192366
Amazon,2.0,0.025411372630699997,2.0,0.0288469169114
Republican,2.0,0.0239533430535,2.0,0.029838901674500002
Democratic Party,2.0,0.0233284732347,2.0,0.024204428219999997
Los Angeles Times,2.0,0.0229813233354,2.0,0.0311880009523
Trump administration,2.0,0.021801013677699998,2.0,0.0208713594159
Judiciary Committee,2.0,0.021801013677699998,2.0,0.021783985398
HBO,2.0,0.0210372838992,2.0,0.020633283072799997
NFL,2.0,0.019926404221299997,2.0,0.0213078327117
MSNBC,2.0,0.0197875442616,2.0,0.0278549321482
Wall Street Journal,2.0,0.019509824342200003,2.0,0.027815252757700002
Republican Party,2.0,0.0191626744428,2.0,0.0232521228474
Vanity Fair,2.0,0.019093244462999998,1.0,0.015395603523500001
CBS News,2.0,0.0186766645838,2.0,0.0247599396873
Bloomberg,2.0,0.018537804624000002,2.0,0.029045313864000003
Justice Department,1.0,0.018051794765,2.0,0.024561542734699997
Vox,1.0,0.0172880649865,1.0,0.013967145464600001
YouTube,1.0,0.0165243352079,1.0,0.0125386874058
Harvard,1.0,0.015760605429400002,1.0,0.0140465042457
NPR,1.0,0.0156217454697,2.0,0.020752321244299998
Post,1.0,0.0150663056308,2.0,0.024006031267400002
Politico,1.0,0.0148580156912,2.0,0.0213475121022
Disney,1.0,0.014510865791799998,1.0,0.0174192524403
Capitol Hill,1.0,0.014441435812,2.0,0.0232521228474
United Nations,1.0,0.0143720058321,1.0,0.01285612253
Temple University,1.0,0.0143025758523,0.0,0.0
BBC,1.0,0.0141637158925,1.0,0.013689389731
USA TODAY,1.0,0.0136777060335,1.0,0.014681374494100001
Yale,1.0,0.012775116295200001,1.0,0.009761130069040001
Democratic,1.0,0.0124279663959,2.0,0.0190461074518
ABC News,1.0,0.012358536416,1.0,0.0169034203635
New York Post,1.0,0.0110393667986,1.0,0.00991984763114
USA Gymnastics,1.0,0.0110393667986,1.0,0.00424569478613
House of Representatives,1.0,0.0109005068389,2.0,0.019998412824400003
New Yorker,1.0,0.0109005068389,1.0,0.00829299261963
State,1.0,0.0103450669999,1.0,0.0131735576542
CNBC,1.0,0.0103450669999,1.0,0.0140861836362
Time magazine,1.0,0.010136777060299999,1.0,0.00674549638918
PBS,1.0,0.010136777060299999,1.0,0.0163479088961
Microsoft,1.0,0.00992848712074,1.0,0.009761130069040001
CIA,1.0,0.00985905714087,1.0,0.00995952702166
U.S. Supreme Court,1.0,0.00985905714087,1.0,0.009443694944850001
CBS Interactive Inc,1.0,0.00985905714087,1.0,0.011030870565799999
Facebook post,1.0,0.009720197181139999,1.0,0.013094198873100002
POLITICO,1.0,0.009720197181139999,1.0,0.016387588286600002
State Department,1.0,0.009511907241549999,1.0,0.011070549956399998
Apple,1.0,0.009511907241549999,1.0,0.009364336163799999
U.S. Senate,1.0,0.00937304728182,1.0,0.0163479088961
solidarity,1.0,0.00930361730195,1.0,0.00559479406396
