term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,6.0,0.414110429448,9.0,0.5965517241380001
sex crimes,6.0,0.371165644172,9.0,0.58275862069
politics and government,6.0,0.367331288344,10.0,0.705172413793
news and news media,5.0,0.322085889571,2.0,0.0862068965517
television,5.0,0.310582822086,1.0,0.0689655172414
women,5.0,0.298312883436,7.0,0.45862068965499997
media,4.0,0.24003067484700003,1.0,0.0637931034483
united states politics and government,3.0,0.19631901840500002,6.0,0.420689655172
sexual harassment,3.0,0.19018404908,4.0,0.22413793103399998
suits and litigation,3.0,0.162576687117,1.0,0.041379310344800004
ethics,3.0,0.152607361963,4.0,0.27413793103399997
biographical information,2.0,0.131901840491,2.0,0.0931034482759
books and literature,2.0,0.106595092025,1.0,0.0258620689655
"suspensions, dismissals and resignations",2.0,0.104294478528,2.0,0.0844827586207
labor,2.0,0.0935582822086,1.0,0.048275862068999996
elections,2.0,0.07822085889569999,4.0,0.255172413793
discrimination,2.0,0.07822085889569999,1.0,0.0431034482759
motion pictures,2.0,0.07668711656439998,1.0,0.051724137931
finances,2.0,0.0759202453988,1.0,0.0655172413793
computers and the internet,1.0,0.0513803680982,1.0,0.0310344827586
appointments and executive changes,1.0,0.042177914110400005,1.0,0.0120689655172
presidents and presidency (us),1.0,0.03834355828219999,1.0,0.051724137931
law and legislation,1.0,0.033742331288299995,1.0,0.0655172413793
contests and prizes,1.0,0.0268404907975,0.0,0.0
medicine and health,1.0,0.021472392638,1.0,0.0258620689655
sex,1.0,0.021472392638,1.0,0.0172413793103
blacks,1.0,0.020705521472400002,1.0,0.0155172413793
decisions and verdicts,1.0,0.018404907975500002,1.0,0.020689655172400002
"mergers, acquisitions and divestitures",1.0,0.018404907975500002,1.0,0.0051724137931000004
education and schools,1.0,0.0176380368098,1.0,0.018965517241400002
presidential elections (us),1.0,0.0176380368098,1.0,0.018965517241400002
advertising and marketing,1.0,0.016871165644200003,1.0,0.00862068965517
reviews,1.0,0.016871165644200003,1.0,0.0120689655172
"armament, defense and military forces",1.0,0.015337423312899999,1.0,0.0258620689655
international relations,1.0,0.014570552147200001,1.0,0.013793103448299999
apparel,1.0,0.0122699386503,0.0,0.0
homosexuality,1.0,0.010736196319,1.0,0.00862068965517
united states international relations,1.0,0.010736196319,1.0,0.0120689655172
"arbitration, conciliation and mediation",1.0,0.010736196319,0.0,0.0
radio,1.0,0.009969325153370002,1.0,0.0068965517241400005
newspapers,1.0,0.009969325153370002,0.0,0.0
privacy,1.0,0.00920245398773,0.0,0.0
ratings and rating systems,1.0,0.00920245398773,0.0,0.0
terrorism,1.0,0.00920245398773,1.0,0.010344827586200001
prostitution,1.0,0.008435582822089999,1.0,0.0068965517241400005
united states armament and defense,1.0,0.008435582822089999,1.0,0.013793103448299999
children and youth,1.0,0.0076687116564399995,1.0,0.0068965517241400005
documentary films and programs,1.0,0.0076687116564399995,0.0,0.0
advertising,1.0,0.0069018404908,0.0,0.0
deaths (obituaries),1.0,0.0069018404908,0.0,0.0
legal profession,1.0,0.0069018404908,0.0,0.0
taxation,1.0,0.00613496932515,1.0,0.010344827586200001
drug abuse and traffic,1.0,0.00536809815951,0.0,0.0
election issues,1.0,0.00536809815951,1.0,0.0224137931034
theater,1.0,0.00536809815951,0.0,0.0
academy awards (oscars),1.0,0.00536809815951,0.0,0.0
colleges and universities,1.0,0.00460122699387,1.0,0.00862068965517
public opinion,1.0,0.00460122699387,1.0,0.0155172413793
editorials,1.0,0.00460122699387,1.0,0.0155172413793
frauds and swindling,1.0,0.00460122699387,0.0,0.0
presidential election of 2004,1.0,0.00460122699387,0.0,0.0
wages and salaries,1.0,0.00460122699387,0.0,0.0
child abuse and neglect,1.0,0.00460122699387,1.0,0.0120689655172
primaries,1.0,0.0038343558282199998,1.0,0.0155172413793
marriages,1.0,0.0038343558282199998,0.0,0.0
stocks and bonds,1.0,0.0038343558282199998,0.0,0.0
futures and options trading,1.0,0.0038343558282199998,0.0,0.0
governors (us),0.0,0.0,1.0,0.0155172413793
impeachment,0.0,0.0,1.0,0.0120689655172
legislatures and parliaments,0.0,0.0,1.0,0.0120689655172
demonstrations and riots,0.0,0.0,1.0,0.0120689655172
sentences (criminal),0.0,0.0,1.0,0.0068965517241400005
courts,0.0,0.0,1.0,0.0068965517241400005
abortion,0.0,0.0,1.0,0.0051724137931000004
presidential election of 2008,0.0,0.0,1.0,0.0051724137931000004
united states economy,0.0,0.0,1.0,0.0051724137931000004
