term,a1_bin,a1_perc,a2_bin,a2_perc
Fox News,10.0,0.734662576687,1.0,0.0190839694656
New York Times,5.0,0.314417177914,4.0,0.236641221374
White House,4.0,0.278374233129,1.0,0.057251908396899996
CNN,3.0,0.19861963190200002,1.0,0.0610687022901
NBC,3.0,0.19095092024500002,2.0,0.0916030534351
Washington Post,3.0,0.15490797545999999,2.0,0.09541984732820001
Senate,2.0,0.141104294479,1.0,0.0458015267176
Congress,2.0,0.132668711656,1.0,0.0496183206107
Fox,2.0,0.128067484663,1.0,0.0038167938931300003
Supreme Court,2.0,0.102760736196,1.0,0.034351145038200005
NBC News,2.0,0.102760736196,1.0,0.0114503816794
CBS,2.0,0.09815950920250001,1.0,0.057251908396899996
FBI,2.0,0.08282208588960001,1.0,0.0229007633588
MSNBC,2.0,0.0812883435583,0.0,0.0
GOP,2.0,0.0789877300613,1.0,0.0114503816794
Trump,2.0,0.07822085889569999,1.0,0.0076335877862600005
Facebook,2.0,0.0759202453988,1.0,0.0534351145038
House,2.0,0.0751533742331,1.0,0.0076335877862600005
Times,1.0,0.07208588957060001,1.0,0.0458015267176
ABC,1.0,0.062116564417199996,1.0,0.030534351145000003
Fox News Channel,1.0,0.05981595092019999,0.0,0.0
AP,1.0,0.058282208589000004,1.0,0.0114503816794
Fox News host,1.0,0.0567484662577,0.0,0.0
Trump White House,1.0,0.0536809815951,0.0,0.0
CBS News,1.0,0.0513803680982,1.0,0.0038167938931300003
Wall Street Journal,1.0,0.0513803680982,1.0,0.0076335877862600005
NPR,1.0,0.046012269938699994,1.0,0.0076335877862600005
Republican Party,1.0,0.046012269938699994,1.0,0.0076335877862600005
Associated Press,1.0,0.045245398772999997,1.0,0.034351145038200005
Justice Department,1.0,0.0429447852761,1.0,0.0114503816794
Vanity Fair,1.0,0.0429447852761,1.0,0.0190839694656
Republican,1.0,0.0406441717791,1.0,0.0076335877862600005
Reuters,1.0,0.0375766871166,1.0,0.034351145038200005
Disney,1.0,0.036042944785300006,1.0,0.015267175572500001
Post,1.0,0.034509202454,1.0,0.0038167938931300003
Amazon,1.0,0.0329754601227,1.0,0.0419847328244
Miss America Organization,1.0,0.0329754601227,0.0,0.0
Bloomberg,1.0,0.029907975460099996,1.0,0.015267175572500001
HBO,1.0,0.029141104294500002,2.0,0.0839694656489
Trump administration,1.0,0.0283742331288,1.0,0.0190839694656
Senate Judiciary Committee,1.0,0.0283742331288,1.0,0.0114503816794
ABC News,1.0,0.0276073619632,1.0,0.0076335877862600005
Vox,1.0,0.0260736196319,1.0,0.0648854961832
New York Post,1.0,0.0245398773006,1.0,0.0190839694656
Netflix,1.0,0.023773006135,3.0,0.152671755725
Google,1.0,0.0230061349693,1.0,0.030534351145000003
Democratic Party,1.0,0.022239263803699998,0.0,0.0
Politico,1.0,0.021472392638,0.0,0.0
CNBC,1.0,0.020705521472400002,0.0,0.0
PBS,1.0,0.020705521472400002,1.0,0.0190839694656
Showtime,1.0,0.020705521472400002,1.0,0.015267175572500001
State Department,1.0,0.0199386503067,1.0,0.0038167938931300003
Ford,1.0,0.0199386503067,1.0,0.0114503816794
Los Angeles Times,1.0,0.0199386503067,1.0,0.0381679389313
Amazon Studios,1.0,0.0199386503067,1.0,0.0076335877862600005
