term,a1_bin,a1_perc,a2_bin,a2_perc
Roger Ailes,10.0,0.976226993865,1.0,0.0755555555556
Fox,4.0,0.321319018405,1.0,0.020740740740700002
Donald Trump,4.0,0.314417177914,2.0,0.154074074074
Harvey Weinstein,4.0,0.298312883436,5.0,0.44740740740699997
Gretchen Carlson,3.0,0.281441717791,1.0,0.0192592592593
Bill O'Reilly,2.0,0.162576687117,1.0,0.0251851851852
Trump,2.0,0.141871165644,1.0,0.0755555555556
Hillary Clinton,2.0,0.135736196319,1.0,0.0281481481481
Rupert Murdoch,2.0,0.131901840491,0.0,0.0
Roy Moore,2.0,0.115797546012,1.0,0.044444444444399996
Sean Hannity,2.0,0.115030674847,0.0,0.0
Matt Lauer,2.0,0.106595092025,2.0,0.10962962962999999
Bill Shine,2.0,0.102760736196,0.0,0.0
Megyn Kelly,1.0,0.08895705521469999,1.0,0.0059259259259300005
Bill Cosby,1.0,0.0858895705521,10.0,0.917037037037
Bill O’Reilly,1.0,0.0843558282209,1.0,0.0325925925926
Bill Clinton,1.0,0.0789877300613,1.0,0.0592592592593
Steve Bannon,1.0,0.07745398773010001,1.0,0.0103703703704
Charlie Rose,1.0,0.07745398773010001,1.0,0.0844444444444
Mark Halperin,1.0,0.07745398773010001,1.0,0.0162962962963
Al Franken,1.0,0.06978527607360001,1.0,0.0696296296296
Michael Wolff,1.0,0.0682515337423,0.0,0.0
Barack Obama,1.0,0.05904907975459999,1.0,0.013333333333299998
Obama,1.0,0.057515337423300006,1.0,0.014814814814799999
Jared Kushner,1.0,0.0529141104294,1.0,0.0059259259259300005
Kevin Spacey,1.0,0.050613496932499995,2.0,0.115555555556
Sarah Huckabee Sanders,1.0,0.047546012269900004,1.0,0.007407407407409999
Anita Hill,1.0,0.045245398772999997,1.0,0.0459259259259
Kelly,1.0,0.04371165644169999,1.0,0.004444444444439999
Lis Wiehl,1.0,0.0429447852761,0.0,0.0
Rob Porter,1.0,0.042177914110400005,1.0,0.0059259259259300005
Clarence Thomas,1.0,0.042177914110400005,1.0,0.0459259259259
Tucker Carlson,1.0,0.0406441717791,1.0,0.004444444444439999
Robert Mueller,1.0,0.0375766871166,1.0,0.022222222222199998
Eric Bolling,1.0,0.0375766871166,0.0,0.0
Kellyanne Conway,1.0,0.0368098159509,1.0,0.014814814814799999
Brett Kavanaugh,1.0,0.0368098159509,2.0,0.100740740741
Laura Ingraham,1.0,0.036042944785300006,1.0,0.0059259259259300005
Mitch McConnell,1.0,0.034509202454,1.0,0.020740740740700002
Paul Manafort,1.0,0.034509202454,1.0,0.0059259259259300005
Gabriel Sherman,1.0,0.034509202454,0.0,0.0
Breitbart,1.0,0.033742331288299995,0.0,0.0
George W. Bush,1.0,0.0329754601227,1.0,0.014814814814799999
Ronan Farrow,1.0,0.0329754601227,1.0,0.029629629629599998
Donald Trump Jr.,1.0,0.029907975460099996,1.0,0.004444444444439999
Sam Haskell,1.0,0.029907975460099996,0.0,0.0
John Kelly,1.0,0.029141104294500002,1.0,0.007407407407409999
Kirsten Gillibrand,1.0,0.029141104294500002,1.0,0.0103703703704
Richard Nixon,1.0,0.0283742331288,0.0,0.0
Leon Wieseltier,1.0,0.0283742331288,1.0,0.013333333333299998
Michael Cohen,1.0,0.0283742331288,1.0,0.0177777777778
Ivanka Trump,1.0,0.0276073619632,1.0,0.007407407407409999
Sean Spicer,1.0,0.0260736196319,1.0,0.0029629629629600003
James Toback,1.0,0.0260736196319,1.0,0.029629629629599998
Melania Trump,1.0,0.0253067484663,0.0,0.0
Glenn Beck,1.0,0.0245398773006,0.0,0.0
John Conyers,1.0,0.023773006135,1.0,0.011851851851899999
Christine Blasey Ford,1.0,0.023773006135,1.0,0.07259259259260001
Ronald Reagan,1.0,0.0230061349693,1.0,0.007407407407409999
George H.W. Bush,1.0,0.0230061349693,1.0,0.008888888888889999
Louis C.K.,1.0,0.0230061349693,1.0,0.0562962962963
Vladimir Putin,1.0,0.022239263803699998,1.0,0.0059259259259300005
Mike Pence,1.0,0.022239263803699998,1.0,0.0059259259259300005
Jeff Sessions,1.0,0.022239263803699998,1.0,0.013333333333299998
Lachlan,1.0,0.022239263803699998,0.0,0.0
Lachlan Murdoch,1.0,0.022239263803699998,0.0,0.0
Nancy Pelosi,1.0,0.021472392638,1.0,0.0162962962963
James Murdoch,1.0,0.021472392638,0.0,0.0
Jack Abernethy,1.0,0.021472392638,0.0,0.0
Doug Jones,1.0,0.021472392638,0.0,0.0
Suzanne Scott,1.0,0.021472392638,0.0,0.0
Michael Oreskes,1.0,0.021472392638,0.0,0.0
Nancy Erika Smith,1.0,0.021472392638,0.0,0.0
John McCain,1.0,0.020705521472400002,1.0,0.0029629629629600003
Paul Ryan,1.0,0.020705521472400002,1.0,0.004444444444439999
Sarah Sanders,1.0,0.020705521472400002,0.0,0.0
Andrea Tantaros,1.0,0.020705521472400002,0.0,0.0
John Boehner,1.0,0.020705521472400002,0.0,0.0
James Comey,1.0,0.0199386503067,1.0,0.0162962962963
Joe Biden,1.0,0.0199386503067,1.0,0.007407407407409999
Monica Lewinsky,1.0,0.0199386503067,1.0,0.011851851851899999
Anthony Scaramucci,1.0,0.0199386503067,0.0,0.0
Rose McGowan,1.0,0.0199386503067,1.0,0.0355555555556
Lindsey Graham,1.0,0.019171779141099996,1.0,0.0162962962963
Rachel Maddow,1.0,0.019171779141099996,0.0,0.0
Hope Hicks,1.0,0.018404907975500002,0.0,0.0
Susan Fowler,1.0,0.018404907975500002,1.0,0.007407407407409999
Jodi Kantor,1.0,0.018404907975500002,1.0,0.014814814814799999
Savannah Guthrie,1.0,0.018404907975500002,0.0,0.0
Mark Fabiani,1.0,0.018404907975500002,0.0,0.0
Ashley Judd,1.0,0.0176380368098,1.0,0.037037037037
Alyssa Milano,1.0,0.0176380368098,1.0,0.0340740740741
Stephen K. Bannon,1.0,0.016871165644200003,0.0,0.0
Gloria Allred,1.0,0.016871165644200003,1.0,0.0888888888889
James,1.0,0.016871165644200003,0.0,0.0
Kim Jong Un,1.0,0.016871165644200003,1.0,0.0162962962963
Hicks,1.0,0.016871165644200003,0.0,0.0
Bernie Sanders,1.0,0.0161042944785,1.0,0.004444444444439999
Ivanka,1.0,0.0161042944785,0.0,0.0
Reagan,1.0,0.0161042944785,0.0,0.0
Megan Twohey,1.0,0.0161042944785,1.0,0.011851851851899999
Ted Cruz,1.0,0.015337423312899999,1.0,0.0059259259259300005
John Bolton,1.0,0.015337423312899999,1.0,0.008888888888889999
Glenn Thrush,1.0,0.015337423312899999,0.0,0.0
Clintons,1.0,0.015337423312899999,1.0,0.007407407407409999
Tom Brokaw,1.0,0.015337423312899999,1.0,0.007407407407409999
Jim Jordan,1.0,0.015337423312899999,1.0,0.004444444444439999
Brian Stelter,1.0,0.015337423312899999,0.0,0.0
Debra Katz,1.0,0.015337423312899999,0.0,0.0
Andy Lack,1.0,0.015337423312899999,0.0,0.0
Jeff Flake,1.0,0.014570552147200001,1.0,0.026666666666700003
Clinton,1.0,0.014570552147200001,1.0,0.0029629629629600003
Putin,1.0,0.014570552147200001,0.0,0.0
Elizabeth Warren,1.0,0.0138036809816,1.0,0.004444444444439999
Michael Flynn,1.0,0.0138036809816,1.0,0.004444444444439999
Greta Van Susteren,1.0,0.0138036809816,0.0,0.0
Rod Rosenstein,1.0,0.0138036809816,1.0,0.0103703703704
Juliet Huddy,1.0,0.0138036809816,0.0,0.0
Erik Wemple,1.0,0.0138036809816,0.0,0.0
Brett Ratner,1.0,0.0138036809816,1.0,0.0237037037037
Roy Price,1.0,0.0138036809816,0.0,0.0
Gary Cohn,1.0,0.013036809816,0.0,0.0
Bush,1.0,0.013036809816,1.0,0.0059259259259300005
Mitt Romney,1.0,0.013036809816,0.0,0.0
Anthony Weiner,1.0,0.013036809816,0.0,0.0
Bret Baier,1.0,0.013036809816,0.0,0.0
Weinstein,1.0,0.013036809816,1.0,0.011851851851899999
Kate Shindle,1.0,0.013036809816,0.0,0.0
Irena Briganti,1.0,0.013036809816,0.0,0.0
Leigh Corfman,1.0,0.013036809816,0.0,0.0
Woody Allen,1.0,0.0122699386503,1.0,0.029629629629599998
Murdoch,1.0,0.0122699386503,0.0,0.0
