term,a1_bin,a1_perc,a2_bin,a2_perc
Fox News,9.0,0.734662576687,2.0,0.14439655172399998
New York Times,4.0,0.314417177914,3.0,0.172413793103
White House,4.0,0.278374233129,4.0,0.322198275862
CNN,3.0,0.19861963190200002,3.0,0.17025862069000003
NBC,3.0,0.19095092024500002,1.0,0.052801724137900005
Washington Post,2.0,0.15490797545999999,3.0,0.239224137931
Senate,2.0,0.141104294479,8.0,0.640086206897
Congress,2.0,0.132668711656,3.0,0.24892241379299998
Fox,2.0,0.128067484663,1.0,0.00754310344828
Supreme Court,2.0,0.102760736196,10.0,0.832974137931
NBC News,2.0,0.102760736196,1.0,0.04849137931030001
CBS,2.0,0.09815950920250001,1.0,0.0635775862069
FBI,1.0,0.08282208588960001,5.0,0.375
MSNBC,1.0,0.0812883435583,1.0,0.0247844827586
GOP,1.0,0.0789877300613,3.0,0.243534482759
Trump,1.0,0.07822085889569999,1.0,0.0549568965517
Facebook,1.0,0.0759202453988,1.0,0.0581896551724
House,1.0,0.0751533742331,2.0,0.09267241379310001
Times,1.0,0.07208588957060001,1.0,0.03125
ABC,1.0,0.062116564417199996,1.0,0.0290948275862
Fox News Channel,1.0,0.05981595092019999,1.0,0.014008620689700001
AP,1.0,0.058282208589000004,1.0,0.0614224137931
Fox News host,1.0,0.0567484662577,0.0,0.0
Trump White House,1.0,0.0536809815951,1.0,0.010775862069
CBS News,1.0,0.0513803680982,1.0,0.0258620689655
Wall Street Journal,1.0,0.0513803680982,1.0,0.04525862068969999
NPR,1.0,0.046012269938699994,1.0,0.0247844827586
Republican Party,1.0,0.046012269938699994,1.0,0.0625
Associated Press,1.0,0.045245398772999997,1.0,0.0538793103448
Justice Department,1.0,0.0429447852761,1.0,0.038793103448300004
Vanity Fair,1.0,0.0429447852761,1.0,0.006465517241380001
Republican,1.0,0.0406441717791,2.0,0.10452586206900001
Reuters,1.0,0.0375766871166,1.0,0.0700431034483
Disney,1.0,0.036042944785300006,1.0,0.004310344827590001
Post,1.0,0.034509202454,1.0,0.0355603448276
Amazon,1.0,0.0329754601227,1.0,0.015086206896600002
Miss America Organization,1.0,0.0329754601227,0.0,0.0
Bloomberg,1.0,0.029907975460099996,1.0,0.0269396551724
HBO,1.0,0.029141104294500002,1.0,0.0183189655172
Trump administration,1.0,0.0283742331288,1.0,0.030172413793099997
Senate Judiciary Committee,1.0,0.0283742331288,7.0,0.553879310345
ABC News,1.0,0.0276073619632,1.0,0.0247844827586
Vox,1.0,0.0260736196319,1.0,0.03125
New York Post,1.0,0.0245398773006,1.0,0.00862068965517
Netflix,1.0,0.023773006135,1.0,0.014008620689700001
Google,1.0,0.0230061349693,1.0,0.03125
Democratic Party,1.0,0.022239263803699998,1.0,0.0323275862069
Politico,1.0,0.021472392638,1.0,0.0355603448276
CNBC,1.0,0.020705521472400002,1.0,0.005387931034479999
PBS,1.0,0.020705521472400002,1.0,0.00969827586207
Showtime,1.0,0.020705521472400002,0.0,0.0
State Department,1.0,0.0199386503067,1.0,0.0193965517241
Ford,1.0,0.0199386503067,9.0,0.725215517241
Los Angeles Times,1.0,0.0199386503067,1.0,0.010775862069
Amazon Studios,1.0,0.0199386503067,0.0,0.0
Huffington Post,1.0,0.019171779141099996,0.0,0.0
Murdochs,1.0,0.019171779141099996,0.0,0.0
