term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,6.0,0.414110429448,7.0,0.50936329588
sex crimes,5.0,0.371165644172,8.0,0.544943820225
politics and government,5.0,0.367331288344,10.0,0.7528089887639999
news and news media,5.0,0.322085889571,2.0,0.0936329588015
television,5.0,0.310582822086,1.0,0.058052434456900004
women,4.0,0.298312883436,7.0,0.48314606741599997
media,4.0,0.24003067484700003,1.0,0.0730337078652
united states politics and government,3.0,0.19631901840500002,7.0,0.46067415730300004
sexual harassment,3.0,0.19018404908,2.0,0.131086142322
suits and litigation,3.0,0.162576687117,1.0,0.0243445692884
ethics,3.0,0.152607361963,3.0,0.177902621723
biographical information,2.0,0.131901840491,1.0,0.065543071161
books and literature,2.0,0.106595092025,1.0,0.0149812734082
"suspensions, dismissals and resignations",2.0,0.104294478528,1.0,0.0561797752809
labor,2.0,0.0935582822086,1.0,0.0187265917603
elections,2.0,0.07822085889569999,5.0,0.346441947566
discrimination,2.0,0.07822085889569999,1.0,0.0524344569288
motion pictures,2.0,0.07668711656439998,1.0,0.0280898876404
finances,2.0,0.0759202453988,1.0,0.0355805243446
computers and the internet,1.0,0.0513803680982,1.0,0.022471910112400004
appointments and executive changes,1.0,0.042177914110400005,1.0,0.0187265917603
presidents and presidency (us),1.0,0.03834355828219999,1.0,0.063670411985
law and legislation,1.0,0.033742331288299995,1.0,0.0393258426966
contests and prizes,1.0,0.0268404907975,0.0,0.0
medicine and health,1.0,0.021472392638,1.0,0.033707865168499995
sex,1.0,0.021472392638,1.0,0.0243445692884
blacks,1.0,0.020705521472400002,1.0,0.0430711610487
decisions and verdicts,1.0,0.018404907975500002,1.0,0.0131086142322
"mergers, acquisitions and divestitures",1.0,0.018404907975500002,0.0,0.0
education and schools,1.0,0.0176380368098,1.0,0.0205992509363
presidential elections (us),1.0,0.0176380368098,1.0,0.029962546816500003
advertising and marketing,1.0,0.016871165644200003,0.0,0.0
reviews,1.0,0.016871165644200003,1.0,0.005617977528089999
"armament, defense and military forces",1.0,0.015337423312899999,1.0,0.0168539325843
international relations,1.0,0.014570552147200001,1.0,0.0168539325843
apparel,1.0,0.0122699386503,0.0,0.0
homosexuality,1.0,0.010736196319,1.0,0.0187265917603
united states international relations,1.0,0.010736196319,1.0,0.0168539325843
"arbitration, conciliation and mediation",1.0,0.010736196319,0.0,0.0
radio,1.0,0.009969325153370002,0.0,0.0
newspapers,1.0,0.009969325153370002,0.0,0.0
privacy,1.0,0.00920245398773,0.0,0.0
ratings and rating systems,1.0,0.00920245398773,0.0,0.0
terrorism,1.0,0.00920245398773,1.0,0.0131086142322
prostitution,1.0,0.008435582822089999,0.0,0.0
united states armament and defense,1.0,0.008435582822089999,1.0,0.011235955056200002
children and youth,1.0,0.0076687116564399995,1.0,0.011235955056200002
documentary films and programs,1.0,0.0076687116564399995,0.0,0.0
advertising,1.0,0.0069018404908,0.0,0.0
deaths (obituaries),1.0,0.0069018404908,0.0,0.0
legal profession,1.0,0.0069018404908,0.0,0.0
taxation,1.0,0.00613496932515,1.0,0.0131086142322
drug abuse and traffic,1.0,0.00536809815951,1.0,0.005617977528089999
election issues,1.0,0.00536809815951,1.0,0.0149812734082
theater,1.0,0.00536809815951,0.0,0.0
academy awards (oscars),1.0,0.00536809815951,0.0,0.0
colleges and universities,1.0,0.00460122699387,1.0,0.005617977528089999
public opinion,1.0,0.00460122699387,1.0,0.022471910112400004
editorials,1.0,0.00460122699387,1.0,0.0149812734082
frauds and swindling,1.0,0.00460122699387,0.0,0.0
presidential election of 2004,1.0,0.00460122699387,0.0,0.0
wages and salaries,1.0,0.00460122699387,0.0,0.0
child abuse and neglect,1.0,0.00460122699387,1.0,0.011235955056200002
primaries,1.0,0.0038343558282199998,1.0,0.0168539325843
marriages,1.0,0.0038343558282199998,1.0,0.00749063670412
stocks and bonds,1.0,0.0038343558282199998,0.0,0.0
futures and options trading,1.0,0.0038343558282199998,0.0,0.0
religion and churches,0.0,0.0,1.0,0.033707865168499995
demonstrations and riots,0.0,0.0,1.0,0.0262172284644
christians and christianity,0.0,0.0,1.0,0.0205992509363
legislatures and parliaments,0.0,0.0,1.0,0.0205992509363
abortion,0.0,0.0,1.0,0.011235955056200002
governors (us),0.0,0.0,1.0,0.011235955056200002
music,0.0,0.0,1.0,0.00749063670412
impeachment,0.0,0.0,1.0,0.00749063670412
budgets and budgeting,0.0,0.0,1.0,0.005617977528089999
immigration and refugees,0.0,0.0,1.0,0.005617977528089999
economic conditions and trends,0.0,0.0,1.0,0.005617977528089999
sentences (criminal),0.0,0.0,1.0,0.005617977528089999
