term,a1_bin,a1_perc,a2_bin,a2_perc
fox roger ailes,10.0,0.08900000000000001,0.0,0.0
roger ailes fox,7.0,0.055999999999999994,0.0,0.0
roger ailes o'reilly,7.0,0.055,1.0,0.002
ceo roger ailes,6.0,0.053,0.0,0.0
roger ailes harassment,6.0,0.045,0.0,0.0
fox ceo roger,4.0,0.035,0.0,0.0
anchor gretchen carlson,3.0,0.025,0.0,0.0
o'reilly roger ailes,3.0,0.019,1.0,0.003
fox gretchen carlson,3.0,0.019,0.0,0.0
fox anchor gretchen,3.0,0.019,0.0,0.0
gretchen carlson fox,3.0,0.018000000000000002,0.0,0.0
founder roger ailes,3.0,0.018000000000000002,0.0,0.0
fox founder roger,2.0,0.013000000000000001,0.0,0.0
gretchen carlson sued,2.0,0.012,0.0,0.0
weinstein roger ailes,2.0,0.011000000000000001,0.0,0.0
gretchen carlson harassment,2.0,0.011000000000000001,0.0,0.0
carlson fox anchor,2.0,0.011000000000000001,0.0,0.0
harvey weinstein roger,2.0,0.01,0.0,0.0
harassment lawsuit fox,2.0,0.01,0.0,0.0
carlson roger ailes,2.0,0.01,0.0,0.0
carlson harassment lawsuit,2.0,0.01,0.0,0.0
roger ailes resigned,2.0,0.009000000000000001,0.0,0.0
harassment roger ailes,2.0,0.009000000000000001,0.0,0.0
gretchen carlson roger,2.0,0.009000000000000001,0.0,0.0
cosby roger ailes,2.0,0.009000000000000001,0.0,0.0
roger ailes ousted,1.0,0.008,0.0,0.0
roger ailes allegations,1.0,0.008,0.0,0.0
network's roger ailes,1.0,0.008,0.0,0.0
allegations roger ailes,1.0,0.008,0.0,0.0
ailes o'reilly fox,1.0,0.008,0.0,0.0
trump roger ailes,1.0,0.006999999999999999,0.0,0.0
sexually harassed fox,1.0,0.006999999999999999,0.0,0.0
senate roy moore,1.0,0.006999999999999999,7.0,0.057999999999999996
roger ailes network's,1.0,0.006999999999999999,0.0,0.0
longtime roger ailes,1.0,0.006999999999999999,0.0,0.0
lawsuit roger ailes,1.0,0.006999999999999999,0.0,0.0
gretchen carlson lawsuit,1.0,0.006999999999999999,0.0,0.0
ailes fox ceo,1.0,0.006999999999999999,0.0,0.0
ailes fox anchor,1.0,0.006999999999999999,0.0,0.0
sued roger ailes,1.0,0.006,0.0,0.0
harassment allegations fox,1.0,0.006,0.0,0.0
ailes harvey weinstein,1.0,0.006,0.0,0.0
then-chairman roger ailes,1.0,0.005,0.0,0.0
roger ailes harvey,1.0,0.005,0.0,0.0
roger ailes founder,1.0,0.005,0.0,0.0
roger ailes departure,1.0,0.005,0.0,0.0
ousted roger ailes,1.0,0.005,0.0,0.0
news's roger ailes,1.0,0.005,0.0,0.0
murdoch roger ailes,1.0,0.005,0.0,0.0
lawsuits enabled alleged,1.0,0.005,0.0,0.0
kelly sexually harassed,1.0,0.005,0.0,0.0
harassment lawsuit ailes,1.0,0.005,0.0,0.0
fox news's roger,1.0,0.005,0.0,0.0
founding roger ailes,1.0,0.005,0.0,0.0
enabled alleged harassment,1.0,0.005,0.0,0.0
bannon roger ailes,1.0,0.005,0.0,0.0
allegations sexually harassed,1.0,0.005,0.0,0.0
ailes sexually harassed,1.0,0.005,0.0,0.0
ailes founder fox,1.0,0.005,0.0,0.0
theron megyn kelly,1.0,0.004,0.0,0.0
then-fox roger ailes,1.0,0.004,0.0,0.0
sued ailes harassment,1.0,0.004,0.0,0.0
shutting harassment disgrace,1.0,0.004,0.0,0.0
shaming shutting harassment,1.0,0.004,0.0,0.0
roy moore alabama,1.0,0.004,3.0,0.026000000000000002
roger ailes trump,1.0,0.004,0.0,0.0
roger ailes roy,1.0,0.004,0.0,0.0
roger ailes conservative,1.0,0.004,0.0,0.0
ousted fox roger,1.0,0.004,0.0,0.0
nbc megyn kelly,1.0,0.004,0.0,0.0
nancy erika smith,1.0,0.004,0.0,0.0
lawsuit fox roger,1.0,0.004,0.0,0.0
harassment network's roger,1.0,0.004,0.0,0.0
harassment lawsuit roger,1.0,0.004,0.0,0.0
harassment disgrace fox,1.0,0.004,0.0,0.0
harassed fox ceo,1.0,0.004,0.0,0.0
fox fox roger,1.0,0.004,0.0,0.0
fox anchor o'reilly,1.0,0.004,0.0,0.0
disgrace fox decade-long,1.0,0.004,0.0,0.0
co-founder roger ailes,1.0,0.004,0.0,0.0
charlize theron megyn,1.0,0.004,0.0,0.0
