term,a1_bin,a1_perc,a2_bin,a2_perc
ailes,10.0,0.993,1.0,0.01
fox,7.0,0.601,1.0,0.015
roger,6.0,0.5660000000000001,1.0,0.009000000000000001
roger,1.0,0.003,1.0,0.009000000000000001
harassment,4.0,0.3,1.0,0.057999999999999996
carlson,2.0,0.17800000000000002,0.0,0.0
o'reilly,2.0,0.158,1.0,0.012
allegations,2.0,0.158,2.0,0.159
trump,2.0,0.122,2.0,0.16899999999999998
gretchen,2.0,0.111,0.0,0.0
ceo,1.0,0.081,0.0,0.0
lawsuit,1.0,0.08,0.0,0.0
kelly,1.0,0.064,1.0,0.002
anchor,1.0,0.057,1.0,0.004
resigned,1.0,0.049,0.0,0.0
misconduct,1.0,0.049,1.0,0.092
scandal,1.0,0.046,1.0,0.02
murdoch,1.0,0.045,0.0,0.0
weinstein,1.0,0.044000000000000004,1.0,0.042
media,1.0,0.044000000000000004,1.0,0.033
ousted,1.0,0.043,0.0,0.0
sued,1.0,0.040999999999999995,0.0,0.0
network's,1.0,0.037000000000000005,0.0,0.0
accusations,1.0,0.036000000000000004,1.0,0.08199999999999999
bannon,1.0,0.034,1.0,0.013999999999999999
reportedly,1.0,0.032,0.0,0.0
harvey,1.0,0.028999999999999998,1.0,0.028999999999999998
sexually,1.0,0.027999999999999997,1.0,0.019
cosby,1.0,0.027999999999999997,1.0,0.006999999999999999
wolff,1.0,0.026000000000000002,0.0,0.0
channel,1.0,0.026000000000000002,0.0,0.0
megyn,1.0,0.024,0.0,0.0
hannity,1.0,0.024,1.0,0.005
conservative,1.0,0.024,1.0,0.021
moore,1.0,0.023,7.0,0.654
founder,1.0,0.023,1.0,0.002
departure,1.0,0.023,1.0,0.002
rupert,1.0,0.021,0.0,0.0
ouster,1.0,0.021,0.0,0.0
donald,1.0,0.021,1.0,0.026000000000000002
roy,1.0,0.02,4.0,0.318
nixon,1.0,0.02,0.0,0.0
campaign,1.0,0.02,1.0,0.055
advances,1.0,0.02,1.0,0.013000000000000001
abuse,1.0,0.019,1.0,0.034
longtime,1.0,0.018000000000000002,1.0,0.004
tv,1.0,0.017,1.0,0.001
nbc,1.0,0.017,1.0,0.006999999999999999
clinton,1.0,0.017,1.0,0.02
sherman,1.0,0.016,0.0,0.0
co-president,1.0,0.016,0.0,0.0
21st,1.0,0.016,0.0,0.0
john,1.0,0.015,1.0,0.006999999999999999
executives,1.0,0.015,0.0,0.0
complaints,1.0,0.015,0.0,0.0
cable,1.0,0.015,0.0,0.0
assault,1.0,0.015,1.0,0.075
producer,1.0,0.013999999999999999,1.0,0.002
lauer,1.0,0.013999999999999999,1.0,0.012
halperin,1.0,0.013999999999999999,1.0,0.002
disgrace,1.0,0.013999999999999999,0.0,0.0
high-profile,1.0,0.013000000000000001,1.0,0.005
founding,1.0,0.013000000000000001,0.0,0.0
exit,1.0,0.013000000000000001,1.0,0.002
steve,1.0,0.012,1.0,0.011000000000000001
michael,1.0,0.012,1.0,0.002
journalist,1.0,0.012,0.0,0.0
gabriel,1.0,0.012,0.0,0.0
workplace,1.0,0.011000000000000001,1.0,0.01
sean,1.0,0.011000000000000001,1.0,0.003
retaliation,1.0,0.011000000000000001,0.0,0.0
republican,1.0,0.011000000000000001,2.0,0.153
news's,1.0,0.011000000000000001,0.0,0.0
guilfoyle,1.0,0.011000000000000001,0.0,0.0
bolling,1.0,0.011000000000000001,0.0,0.0
arbitration,1.0,0.011000000000000001,0.0,0.0
american,1.0,0.011000000000000001,1.0,0.02
showtime,1.0,0.01,0.0,0.0
predators,1.0,0.01,1.0,0.012
hosts,1.0,0.01,0.0,0.0
election,1.0,0.01,1.0,0.068
co-founder,1.0,0.01,0.0,0.0
america,1.0,0.01,1.0,0.006
todd,1.0,0.009000000000000001,1.0,0.001
smith,1.0,0.009000000000000001,0.0,0.0
shaming,1.0,0.009000000000000001,0.0,0.0
russell,1.0,0.009000000000000001,1.0,0.003
presidential,1.0,0.009000000000000001,1.0,0.002
launch,1.0,0.009000000000000001,1.0,0.005
eric,1.0,0.009000000000000001,0.0,0.0
defends,1.0,0.009000000000000001,0.0,0.0
charlie,1.0,0.009000000000000001,1.0,0.005
adviser,1.0,0.009000000000000001,1.0,0.006999999999999999
victims,1.0,0.008,1.0,0.019
strategist,1.0,0.008,1.0,0.003
shutting,1.0,0.008,0.0,0.0
settlements,1.0,0.008,0.0,0.0
president's,1.0,0.008,1.0,0.006999999999999999
matt,1.0,0.008,1.0,0.012
inappropriate,1.0,0.008,1.0,0.009000000000000001
crowe,1.0,0.008,0.0,0.0
clause,1.0,0.008,0.0,0.0
boehner,1.0,0.008,0.0,0.0
tantaros,1.0,0.006999999999999999,0.0,0.0
talks,1.0,0.006999999999999999,1.0,0.001
sexual-harassment,1.0,0.006999999999999999,0.0,0.0
secretly,1.0,0.006999999999999999,1.0,0.001
scott,1.0,0.006999999999999999,0.0,0.0
revelations,1.0,0.006999999999999999,1.0,0.003
refusing,1.0,0.006999999999999999,0.0,0.0
prime-time,1.0,0.006999999999999999,0.0,0.0
nicole,1.0,0.006999999999999999,0.0,0.0
lineup,1.0,0.006999999999999999,0.0,0.0
legacy,1.0,0.006999999999999999,0.0,0.0
kidman,1.0,0.006999999999999999,0.0,0.0
kavanaugh,1.0,0.006999999999999999,1.0,0.017
incidents,1.0,0.006999999999999999,1.0,0.002
