term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,10.0,0.618971664477,9.0,0.531034482759
GOP,6.0,0.313285794708,4.0,0.208620689655
White House,5.0,0.262525802214,4.0,0.227586206897
Washington Post,4.0,0.223118784012,4.0,0.206896551724
Congress,4.0,0.216738600113,8.0,0.44655172413800004
Alabama Senate,4.0,0.209420153875,2.0,0.07931034482760001
House,3.0,0.156595984237,5.0,0.26724137930999997
CNN,3.0,0.144961531244,3.0,0.155172413793
U.S. Senate,2.0,0.119065490711,1.0,0.0431034482759
Republican Party,2.0,0.115406267592,2.0,0.0741379310345
Republican,2.0,0.10752486395199999,2.0,0.0741379310345
Fox News,2.0,0.10658660161399999,3.0,0.12413793103399999
New York Times,2.0,0.105085381873,4.0,0.24310344827599997
Supreme Court,2.0,0.09232501407390001,3.0,0.156896551724
Trump,2.0,0.0767498592606,2.0,0.0827586206897
Republican National Committee,1.0,0.0617376618503,1.0,0.041379310344800004
NBC,1.0,0.0575154813286,2.0,0.110344827586
Post,1.0,0.0553574779508,1.0,0.0344827586207
FBI,1.0,0.0547945205479,2.0,0.0741379310345
Democratic Party,1.0,0.049446425220499995,2.0,0.09655172413789999
Breitbart News,1.0,0.048883467817599995,1.0,0.00862068965517
Associated Press,1.0,0.048226684180899995,1.0,0.05
AP,1.0,0.04588102833549999,2.0,0.0844827586207
Facebook,1.0,0.04466128729590001,2.0,0.0827586206897
Alabama Supreme Court,1.0,0.0445674610621,0.0,0.0
GOP Senate,1.0,0.041658847813800005,1.0,0.0172413793103
MSNBC,1.0,0.0401576280728,1.0,0.0551724137931
RNC,1.0,0.0367798836555,1.0,0.0293103448276
Reuters,1.0,0.036498404954,1.0,0.037931034482800004
National Republican Senatorial Committee,1.0,0.0351848376806,1.0,0.00862068965517
US Senate,1.0,0.0338712704072,1.0,0.018965517241400002
NBC News,1.0,0.0330268343029,2.0,0.0689655172414
Democratic,1.0,0.0326515293676,1.0,0.0431034482759
ABC,1.0,0.0323700506662,1.0,0.0310344827586
CBS,1.0,0.0321823981985,1.0,0.0586206896552
Republican Senate,1.0,0.0313379620942,1.0,0.0051724137931000004
Justice Department,1.0,0.0306811784575,1.0,0.048275862068999996
Trump administration,1.0,0.028335522612099998,1.0,0.0293103448276
Politico,1.0,0.0261775192344,1.0,0.0586206896552
CBS News,1.0,0.02533308313,1.0,0.0258620689655
State,1.0,0.0245824732595,1.0,0.0293103448276
Capitol Hill,1.0,0.023550384687600002,2.0,0.07241379310339999
Wall Street Journal,1.0,0.0217676862451,1.0,0.036206896551699994
NFL,1.0,0.020735597673099997,1.0,0.0293103448276
House of Representatives,1.0,0.0200788140364,1.0,0.0568965517241
Senate Judiciary Committee,1.0,0.019797335335,2.0,0.07068965517239999
Senate GOP,1.0,0.0190467254644,1.0,0.0051724137931000004
Bloomberg,1.0,0.0190467254644,1.0,0.0327586206897
House Judiciary Committee,1.0,0.0189528992306,1.0,0.018965517241400002
ABC News,1.0,0.018577594295400002,1.0,0.020689655172400002
Alabama GOP Senate,1.0,0.0179208106587,0.0,0.0
DNC,1.0,0.017264027022,1.0,0.024137931034499998
Times,1.0,0.017170200788100002,1.0,0.060344827586199995
Republican party,1.0,0.0163257646838,1.0,0.0120689655172
Democratic National Committee,1.0,0.0158566335147,1.0,0.036206896551699994
state,1.0,0.015199849878,1.0,0.013793103448299999
POLITICO,1.0,0.015199849878,1.0,0.0224137931034
Google,1.0,0.0151060236442,1.0,0.0344827586207
Senate Ethics Committee,1.0,0.014636892475100001,1.0,0.0310344827586
CIA,1.0,0.0144492400075,1.0,0.020689655172400002
CBS Interactive Inc,1.0,0.014261587539899999,0.0,0.0
Medicare,1.0,0.0140739350722,1.0,0.0293103448276
Trump White House,1.0,0.0137924563708,1.0,0.0120689655172
NRSC,1.0,0.013698630137,1.0,0.0068965517241400005
U.S. Supreme Court,1.0,0.0136048039032,1.0,0.010344827586200001
Republican Alabama Senate,1.0,0.0136048039032,0.0,0.0
Treasury,1.0,0.0134171514355,1.0,0.013793103448299999
Breitbart,1.0,0.013323325201700001,0.0,0.0
NPR,1.0,0.013041846500299999,1.0,0.020689655172400002
Alabama Republican Party,1.0,0.012948020266499998,0.0,0.0
senate,1.0,0.012854194032700002,1.0,0.010344827586200001
Vox,1.0,0.012760367798799998,1.0,0.05
State Department,1.0,0.012291236629800001,1.0,0.027586206896599998
