term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.8869393882529999,8.0,0.705172413793
elections,7.0,0.603865640833,3.0,0.255172413793
united states politics and government,7.0,0.560236442109,5.0,0.420689655172
sex crimes,4.0,0.327078251079,7.0,0.58275862069
crime and criminals,4.0,0.277725652092,7.0,0.5965517241380001
women,3.0,0.18859072996800003,6.0,0.45862068965499997
ethics,3.0,0.18643272659000001,4.0,0.27413793103399997
news and news media,1.0,0.08641396134360001,1.0,0.0862068965517
presidents and presidency (us),1.0,0.0843497841997,1.0,0.051724137931
finances,1.0,0.0711202852318,1.0,0.0655172413793
law and legislation,1.0,0.06952523925689999,1.0,0.0655172413793
media,1.0,0.0617376618503,1.0,0.0637931034483
sexual harassment,1.0,0.0573278288609,3.0,0.22413793103399998
blacks,1.0,0.0532933008069,1.0,0.0155172413793
biographical information,1.0,0.052636517170199994,2.0,0.0931034482759
election issues,1.0,0.0509476449615,1.0,0.0224137931034
religion and churches,1.0,0.050009382623399996,0.0,0.0
television,1.0,0.048039031713300005,1.0,0.0689655172414
primaries,1.0,0.0448489397636,1.0,0.0155172413793
taxation,1.0,0.0442859823607,1.0,0.010344827586200001
presidential elections (us),1.0,0.0373428410584,1.0,0.018965517241400002
legislatures and parliaments,1.0,0.0296490898855,1.0,0.0120689655172
christians and christianity,1.0,0.0291799587165,0.0,0.0
public opinion,1.0,0.0271157815725,1.0,0.0155172413793
"suspensions, dismissals and resignations",1.0,0.0259898667667,1.0,0.0844827586207
advertising and marketing,1.0,0.025239256896199998,1.0,0.00862068965517
discrimination,1.0,0.024676299493299997,1.0,0.0431034482759
computers and the internet,1.0,0.023738037155200002,1.0,0.0310344827586
suits and litigation,1.0,0.023738037155200002,1.0,0.041379310344800004
international relations,1.0,0.021861512478900003,1.0,0.013793103448299999
homosexuality,1.0,0.0210170763746,1.0,0.00862068965517
medicine and health,1.0,0.020829423906900003,1.0,0.0258620689655
"armament, defense and military forces",1.0,0.0204541189717,1.0,0.0258620689655
united states international relations,1.0,0.0165134171514,1.0,0.0120689655172
children and youth,1.0,0.015762807280899998,1.0,0.0068965517241400005
books and literature,1.0,0.0156689810471,1.0,0.0258620689655
education and schools,1.0,0.0149183711766,1.0,0.018965517241400002
quotation of the day,1.0,0.013698630137,0.0,0.0
editorials,1.0,0.012103584162099999,1.0,0.0155172413793
frauds and swindling,1.0,0.012103584162099999,0.0,0.0
church-state relations,1.0,0.011446800525400001,0.0,0.0
appointments and executive changes,1.0,0.0106961906549,1.0,0.0120689655172
abortion,1.0,0.010320885719600001,1.0,0.0051724137931000004
labor,1.0,0.010133233252,1.0,0.048275862068999996
governors (us),1.0,0.0100394070182,1.0,0.0155172413793
terrorism,1.0,0.009757928316760001,1.0,0.010344827586200001
motion pictures,1.0,0.00928879714768,1.0,0.051724137931
budgets and budgeting,1.0,0.00928879714768,0.0,0.0
united states armament and defense,1.0,0.00928879714768,1.0,0.013793103448299999
immigration and refugees,1.0,0.00835053480953,0.0,0.0
advertising,1.0,0.00806905610809,0.0,0.0
sex,1.0,0.007881403640460001,1.0,0.0172413793103
child abuse and neglect,1.0,0.007787577406640001,1.0,0.0120689655172
marriages,1.0,0.00713079376994,0.0,0.0
political advertising,1.0,0.005817226496529999,0.0,0.0
insurance,1.0,0.00497279039219,0.0,0.0
demonstrations and riots,1.0,0.0044098329893,1.0,0.0120689655172
football,1.0,0.0042221805216700005,0.0,0.0
decisions and verdicts,1.0,0.00403452805404,1.0,0.020689655172400002
presidential election of 2004,1.0,0.003940701820230001,0.0,0.0
health insurance and managed care,1.0,0.00384687558641,0.0,0.0
jews,1.0,0.0036592231187800002,0.0,0.0
radio,1.0,0.00356539688497,1.0,0.0068965517241400005
reviews,1.0,0.00328391818352,1.0,0.0120689655172
fires and firefighters,1.0,0.00328391818352,0.0,0.0
drug abuse and traffic,1.0,0.00300243948208,0.0,0.0
economic conditions and trends,1.0,0.0029086132482600002,0.0,0.0
tax credits,1.0,0.0029086132482600002,0.0,0.0
united states economy,1.0,0.0028147870144499994,1.0,0.0051724137931000004
islam,1.0,0.00272096078063,0.0,0.0
colleges and universities,1.0,0.0026271345468200005,1.0,0.00862068965517
courts,1.0,0.0026271345468200005,1.0,0.0068965517241400005
presidential election of 1988,1.0,0.002533308313,0.0,0.0
illegal aliens,1.0,0.002533308313,0.0,0.0
impeachment,0.0,0.0,1.0,0.0120689655172
prostitution,0.0,0.0,1.0,0.0068965517241400005
sentences (criminal),0.0,0.0,1.0,0.0068965517241400005
presidential election of 2008,0.0,0.0,1.0,0.0051724137931000004
"mergers, acquisitions and divestitures",0.0,0.0,1.0,0.0051724137931000004
