term,a1_bin,a1_perc,a2_bin,a2_perc
moore,10.0,1.079,1.0,0.055
roy,4.0,0.389,1.0,0.027999999999999997
alabama,3.0,0.271,1.0,0.038
republican,3.0,0.245,1.0,0.055
senate,3.0,0.22399999999999998,1.0,0.068
trump,2.0,0.17600000000000002,1.0,0.107
allegations,2.0,0.175,3.0,0.27699999999999997
jones,1.0,0.10400000000000001,1.0,0.009000000000000001
campaign,1.0,0.09,1.0,0.034
election,1.0,0.08900000000000001,1.0,0.019
democrat,1.0,0.083,0.0,0.0
accusations,1.0,0.07200000000000001,1.0,0.066
gop,1.0,0.066,1.0,0.01
teenage,1.0,0.059000000000000004,0.0,0.0
misconduct,1.0,0.057999999999999996,1.0,0.08
washington,1.0,0.057,1.0,0.015
judge,1.0,0.047,1.0,0.013000000000000001
endorsed,1.0,0.045,0.0,0.0
doug,1.0,0.043,1.0,0.003
nelson,1.0,0.038,0.0,0.0
mcconnell,1.0,0.038,1.0,0.004
polls,1.0,0.033,0.0,0.0
donald,1.0,0.032,1.0,0.021
bannon,1.0,0.032,1.0,0.002
30s,1.0,0.032,1.0,0.004
assault,1.0,0.03,1.0,0.049
supporters,1.0,0.027000000000000003,1.0,0.011000000000000001
nominee,1.0,0.024,1.0,0.01
mitch,1.0,0.024,1.0,0.002
luther,1.0,0.024,1.0,0.002
conservative,1.0,0.023,1.0,0.01
victory,1.0,0.022000000000000002,1.0,0.003
rally,1.0,0.022000000000000002,1.0,0.006999999999999999
yearbook,1.0,0.021,0.0,0.0
molested,1.0,0.021,1.0,0.004
harassment,1.0,0.021,1.0,0.098
pursued,1.0,0.02,1.0,0.002
media,1.0,0.02,1.0,0.03
supreme,1.0,0.019,1.0,0.013000000000000001
jeff,1.0,0.019,1.0,0.002
franken,1.0,0.019,3.0,0.22399999999999998
leader,1.0,0.018000000000000002,1.0,0.006999999999999999
false,1.0,0.018000000000000002,1.0,0.006
hannity,1.0,0.017,0.0,0.0
defended,1.0,0.017,1.0,0.006
tweeted,1.0,0.016,1.0,0.012
sexually,1.0,0.016,1.0,0.01
senatorial,1.0,0.015,0.0,0.0
corfman,1.0,0.015,1.0,0.002
write-in,1.0,0.013999999999999999,0.0,0.0
opponent,1.0,0.013999999999999999,0.0,0.0
initiated,1.0,0.013999999999999999,0.0,0.0
concede,1.0,0.013000000000000001,0.0,0.0
allred,1.0,0.013000000000000001,1.0,0.003
wins,1.0,0.012,1.0,0.002
united,1.0,0.012,1.0,0.008
steve,1.0,0.012,1.0,0.002
signature,1.0,0.012,0.0,0.0
withdraw,1.0,0.011000000000000001,0.0,0.0
strategist,1.0,0.011000000000000001,0.0,0.0
groping,1.0,0.011000000000000001,1.0,0.03
god,1.0,0.011000000000000001,1.0,0.003
fox,1.0,0.011000000000000001,1.0,0.003
denials,1.0,0.011000000000000001,0.0,0.0
denies,1.0,0.011000000000000001,1.0,0.01
cnn,1.0,0.011000000000000001,1.0,0.003
christian,1.0,0.011000000000000001,1.0,0.005
child,1.0,0.011000000000000001,1.0,0.006
ballot,1.0,0.011000000000000001,0.0,0.0
