term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,8.0,0.618971664477,8.0,0.591071428571
GOP,4.0,0.313285794708,3.0,0.23660714285700002
White House,4.0,0.262525802214,4.0,0.29642857142900003
Washington Post,3.0,0.223118784012,3.0,0.20535714285700002
Congress,3.0,0.216738600113,4.0,0.25625
Alabama Senate,3.0,0.209420153875,1.0,0.00803571428571
House,2.0,0.156595984237,2.0,0.116964285714
CNN,2.0,0.144961531244,2.0,0.164285714286
U.S. Senate,2.0,0.119065490711,1.0,0.0214285714286
Republican Party,2.0,0.115406267592,1.0,0.0544642857143
Republican,2.0,0.10752486395199999,2.0,0.08839285714289999
Fox News,2.0,0.10658660161399999,2.0,0.141071428571
New York Times,2.0,0.105085381873,3.0,0.203571428571
Supreme Court,2.0,0.09232501407390001,10.0,0.828571428571
Trump,1.0,0.0767498592606,1.0,0.06160714285709999
Republican National Committee,1.0,0.0617376618503,1.0,0.0160714285714
NBC,1.0,0.0575154813286,1.0,0.0678571428571
Post,1.0,0.0553574779508,1.0,0.0339285714286
FBI,1.0,0.0547945205479,5.0,0.336607142857
Democratic Party,1.0,0.049446425220499995,1.0,0.0366071428571
Breitbart News,1.0,0.048883467817599995,1.0,0.00446428571429
Associated Press,1.0,0.048226684180899995,1.0,0.0660714285714
AP,1.0,0.04588102833549999,1.0,0.08035714285710001
Facebook,1.0,0.04466128729590001,1.0,0.06339285714290001
Alabama Supreme Court,1.0,0.0445674610621,0.0,0.0
GOP Senate,1.0,0.041658847813800005,1.0,0.00892857142857
MSNBC,1.0,0.0401576280728,1.0,0.0303571428571
RNC,1.0,0.0367798836555,1.0,0.0125
Reuters,1.0,0.036498404954,1.0,0.0785714285714
National Republican Senatorial Committee,1.0,0.0351848376806,0.0,0.0
US Senate,1.0,0.0338712704072,1.0,0.00625
NBC News,1.0,0.0330268343029,1.0,0.0642857142857
Democratic,1.0,0.0326515293676,1.0,0.041964285714300005
ABC,1.0,0.0323700506662,1.0,0.0392857142857
CBS,1.0,0.0321823981985,1.0,0.0785714285714
Republican Senate,1.0,0.0313379620942,1.0,0.00446428571429
Justice Department,1.0,0.0306811784575,1.0,0.05
Trump administration,1.0,0.028335522612099998,1.0,0.0366071428571
Politico,1.0,0.0261775192344,1.0,0.04375
CBS News,1.0,0.02533308313,1.0,0.0330357142857
State,1.0,0.0245824732595,1.0,0.0294642857143
Capitol Hill,1.0,0.023550384687600002,1.0,0.051785714285699995
Wall Street Journal,1.0,0.0217676862451,1.0,0.06071428571430001
NFL,1.0,0.020735597673099997,1.0,0.0116071428571
House of Representatives,1.0,0.0200788140364,1.0,0.01875
Senate Judiciary Committee,1.0,0.019797335335,6.0,0.442857142857
Senate GOP,1.0,0.0190467254644,1.0,0.00982142857143
Bloomberg,1.0,0.0190467254644,1.0,0.0285714285714
House Judiciary Committee,1.0,0.0189528992306,1.0,0.00803571428571
ABC News,1.0,0.018577594295400002,1.0,0.027678571428600002
Alabama GOP Senate,1.0,0.0179208106587,0.0,0.0
DNC,1.0,0.017264027022,1.0,0.0133928571429
Times,1.0,0.017170200788100002,1.0,0.0339285714286
Republican party,1.0,0.0163257646838,1.0,0.0116071428571
Democratic National Committee,1.0,0.0158566335147,1.0,0.0142857142857
state,1.0,0.015199849878,1.0,0.0116071428571
POLITICO,1.0,0.015199849878,1.0,0.017857142857099998
Google,1.0,0.0151060236442,1.0,0.0339285714286
Senate Ethics Committee,1.0,0.014636892475100001,0.0,0.0
CIA,1.0,0.0144492400075,1.0,0.0214285714286
CBS Interactive Inc,1.0,0.014261587539899999,1.0,0.00535714285714
Medicare,1.0,0.0140739350722,1.0,0.0116071428571
Trump White House,1.0,0.0137924563708,1.0,0.0133928571429
NRSC,1.0,0.013698630137,0.0,0.0
U.S. Supreme Court,1.0,0.0136048039032,1.0,0.07589285714289999
Republican Alabama Senate,1.0,0.0136048039032,0.0,0.0
Treasury,1.0,0.0134171514355,1.0,0.00803571428571
Breitbart,1.0,0.013323325201700001,0.0,0.0
NPR,1.0,0.013041846500299999,1.0,0.0267857142857
Alabama Republican Party,1.0,0.012948020266499998,0.0,0.0
senate,1.0,0.012854194032700002,1.0,0.00625
Vox,1.0,0.012760367798799998,1.0,0.0383928571429
State Department,1.0,0.012291236629800001,1.0,0.0205357142857
Veritas,1.0,0.012291236629800001,0.0,0.0
Republicans,1.0,0.0117282792269,1.0,0.015178571428600001
Democrats,1.0,0.011540626759200001,1.0,0.0241071428571
United Nations,1.0,0.011352974291600001,1.0,0.027678571428600002
party,1.0,0.011352974291600001,1.0,0.00446428571429
The Washington Post,1.0,0.0110714955902,1.0,0.00714285714286
Alabama U.S. Senate,1.0,0.0109776693564,0.0,0.0
Alabama senate,1.0,0.0108838431225,0.0,0.0
PAC,1.0,0.010790016888700002,1.0,0.0107142857143
WaPo,1.0,0.0106023644211,1.0,0.0160714285714
Pentagon,1.0,0.010320885719600001,1.0,0.0107142857143
House Intelligence Committee,1.0,0.0100394070182,1.0,0.00535714285714
Republican U.S. Senate,1.0,0.0100394070182,0.0,0.0
Showtime,1.0,0.0100394070182,0.0,0.0
Amazon,1.0,0.00994558078439,1.0,0.0169642857143
CNBC,1.0,0.00985175455057,1.0,0.00892857142857
Judiciary Committee,1.0,0.009757928316760001,3.0,0.20089285714299998
Washington Examiner,1.0,0.009757928316760001,1.0,0.00982142857143
