term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.8869393882529999,9.0,0.7125
elections,7.0,0.603865640833,2.0,0.160714285714
united states politics and government,7.0,0.560236442109,5.0,0.402678571429
sex crimes,4.0,0.327078251079,8.0,0.6508928571429999
crime and criminals,4.0,0.277725652092,8.0,0.677678571429
women,3.0,0.18859072996800003,3.0,0.26607142857099997
ethics,3.0,0.18643272659000001,2.0,0.09910714285710001
news and news media,1.0,0.08641396134360001,1.0,0.051785714285699995
presidents and presidency (us),1.0,0.0843497841997,1.0,0.0232142857143
finances,1.0,0.0711202852318,1.0,0.0258928571429
law and legislation,1.0,0.06952523925689999,1.0,0.0303571428571
media,1.0,0.0617376618503,1.0,0.0339285714286
sexual harassment,1.0,0.0573278288609,1.0,0.03125
blacks,1.0,0.0532933008069,1.0,0.0223214285714
biographical information,1.0,0.052636517170199994,1.0,0.0678571428571
election issues,1.0,0.0509476449615,1.0,0.00892857142857
religion and churches,1.0,0.050009382623399996,1.0,0.00625
television,1.0,0.048039031713300005,1.0,0.0348214285714
primaries,1.0,0.0448489397636,0.0,0.0
taxation,1.0,0.0442859823607,0.0,0.0
presidential elections (us),1.0,0.0373428410584,1.0,0.0107142857143
legislatures and parliaments,1.0,0.0296490898855,0.0,0.0
christians and christianity,1.0,0.0291799587165,1.0,0.00535714285714
public opinion,1.0,0.0271157815725,1.0,0.0125
"suspensions, dismissals and resignations",1.0,0.0259898667667,1.0,0.00892857142857
advertising and marketing,1.0,0.025239256896199998,1.0,0.0107142857143
discrimination,1.0,0.024676299493299997,1.0,0.0330357142857
computers and the internet,1.0,0.023738037155200002,1.0,0.0303571428571
suits and litigation,1.0,0.023738037155200002,1.0,0.0366071428571
international relations,1.0,0.021861512478900003,1.0,0.0169642857143
homosexuality,1.0,0.0210170763746,1.0,0.00803571428571
medicine and health,1.0,0.020829423906900003,1.0,0.0258928571429
"armament, defense and military forces",1.0,0.0204541189717,0.0,0.0
united states international relations,1.0,0.0165134171514,1.0,0.00803571428571
children and youth,1.0,0.015762807280899998,1.0,0.0258928571429
books and literature,1.0,0.0156689810471,1.0,0.017857142857099998
education and schools,1.0,0.0149183711766,2.0,0.08928571428570001
quotation of the day,1.0,0.013698630137,0.0,0.0
editorials,1.0,0.012103584162099999,1.0,0.00446428571429
frauds and swindling,1.0,0.012103584162099999,0.0,0.0
church-state relations,1.0,0.011446800525400001,0.0,0.0
appointments and executive changes,1.0,0.0106961906549,2.0,0.126785714286
abortion,1.0,0.010320885719600001,1.0,0.017857142857099998
labor,1.0,0.010133233252,1.0,0.0116071428571
governors (us),1.0,0.0100394070182,0.0,0.0
terrorism,1.0,0.009757928316760001,1.0,0.00625
motion pictures,1.0,0.00928879714768,1.0,0.015178571428600001
budgets and budgeting,1.0,0.00928879714768,0.0,0.0
united states armament and defense,1.0,0.00928879714768,0.0,0.0
immigration and refugees,1.0,0.00835053480953,0.0,0.0
advertising,1.0,0.00806905610809,0.0,0.0
sex,1.0,0.007881403640460001,0.0,0.0
child abuse and neglect,1.0,0.007787577406640001,1.0,0.0107142857143
marriages,1.0,0.00713079376994,0.0,0.0
political advertising,1.0,0.005817226496529999,1.0,0.00446428571429
insurance,1.0,0.00497279039219,0.0,0.0
demonstrations and riots,1.0,0.0044098329893,1.0,0.015178571428600001
football,1.0,0.0042221805216700005,0.0,0.0
decisions and verdicts,1.0,0.00403452805404,1.0,0.0125
presidential election of 2004,1.0,0.003940701820230001,0.0,0.0
health insurance and managed care,1.0,0.00384687558641,0.0,0.0
jews,1.0,0.0036592231187800002,0.0,0.0
radio,1.0,0.00356539688497,0.0,0.0
reviews,1.0,0.00328391818352,1.0,0.00446428571429
fires and firefighters,1.0,0.00328391818352,0.0,0.0
drug abuse and traffic,1.0,0.00300243948208,1.0,0.00535714285714
economic conditions and trends,1.0,0.0029086132482600002,0.0,0.0
tax credits,1.0,0.0029086132482600002,0.0,0.0
united states economy,1.0,0.0028147870144499994,0.0,0.0
islam,1.0,0.00272096078063,0.0,0.0
colleges and universities,1.0,0.0026271345468200005,1.0,0.019642857142900004
courts,1.0,0.0026271345468200005,1.0,0.03125
presidential election of 1988,1.0,0.002533308313,0.0,0.0
illegal aliens,1.0,0.002533308313,0.0,0.0
judges,0.0,0.0,1.0,0.0214285714286
sentences (criminal),0.0,0.0,1.0,0.019642857142900004
basketball,0.0,0.0,1.0,0.0116071428571
hurricanes and tropical storms,0.0,0.0,1.0,0.00892857142857
murders and attempted murders,0.0,0.0,1.0,0.00714285714286
legal profession,0.0,0.0,1.0,0.00535714285714
privacy,0.0,0.0,1.0,0.00446428571429
freedom and human rights,0.0,0.0,1.0,0.00446428571429
