term,a1_bin,a1_perc,a2_bin,a2_perc
moore,10.0,1.079,0.0,0.0
roy,4.0,0.389,0.0,0.0
alabama,3.0,0.271,0.0,0.0
republican,3.0,0.245,0.0,0.0
senate,3.0,0.22399999999999998,2.0,0.12300000000000001
trump,2.0,0.17600000000000002,1.0,0.08900000000000001
allegations,2.0,0.175,2.0,0.168
jones,1.0,0.10400000000000001,0.0,0.0
campaign,1.0,0.09,1.0,0.006
election,1.0,0.08900000000000001,0.0,0.0
democrat,1.0,0.083,0.0,0.0
accusations,1.0,0.07200000000000001,0.0,0.0
gop,1.0,0.066,1.0,0.017
teenage,1.0,0.059000000000000004,0.0,0.0
misconduct,1.0,0.057999999999999996,1.0,0.023
washington,1.0,0.057,1.0,0.03
judge,1.0,0.047,1.0,0.055
endorsed,1.0,0.045,1.0,0.002
doug,1.0,0.043,0.0,0.0
nelson,1.0,0.038,0.0,0.0
mcconnell,1.0,0.038,1.0,0.002
polls,1.0,0.033,1.0,0.005
donald,1.0,0.032,1.0,0.018000000000000002
bannon,1.0,0.032,0.0,0.0
30s,1.0,0.032,0.0,0.0
assault,1.0,0.03,2.0,0.17
supporters,1.0,0.027000000000000003,1.0,0.011000000000000001
nominee,1.0,0.024,1.0,0.044000000000000004
mitch,1.0,0.024,0.0,0.0
luther,1.0,0.024,0.0,0.0
conservative,1.0,0.023,1.0,0.013999999999999999
victory,1.0,0.022000000000000002,1.0,0.003
rally,1.0,0.022000000000000002,1.0,0.018000000000000002
yearbook,1.0,0.021,1.0,0.002
molested,1.0,0.021,0.0,0.0
harassment,1.0,0.021,1.0,0.024
pursued,1.0,0.02,0.0,0.0
media,1.0,0.02,1.0,0.019
supreme,1.0,0.019,1.0,0.055
jeff,1.0,0.019,1.0,0.006
franken,1.0,0.019,0.0,0.0
leader,1.0,0.018000000000000002,1.0,0.006
false,1.0,0.018000000000000002,1.0,0.008
hannity,1.0,0.017,0.0,0.0
defended,1.0,0.017,1.0,0.004
tweeted,1.0,0.016,1.0,0.016
sexually,1.0,0.016,1.0,0.05
senatorial,1.0,0.015,1.0,0.001
corfman,1.0,0.015,0.0,0.0
write-in,1.0,0.013999999999999999,0.0,0.0
opponent,1.0,0.013999999999999999,0.0,0.0
initiated,1.0,0.013999999999999999,0.0,0.0
concede,1.0,0.013000000000000001,0.0,0.0
allred,1.0,0.013000000000000001,0.0,0.0
wins,1.0,0.012,0.0,0.0
united,1.0,0.012,1.0,0.002
steve,1.0,0.012,1.0,0.001
signature,1.0,0.012,0.0,0.0
withdraw,1.0,0.011000000000000001,0.0,0.0
strategist,1.0,0.011000000000000001,0.0,0.0
groping,1.0,0.011000000000000001,0.0,0.0
god,1.0,0.011000000000000001,1.0,0.003
fox,1.0,0.011000000000000001,1.0,0.008
denials,1.0,0.011000000000000001,0.0,0.0
denies,1.0,0.011000000000000001,1.0,0.006
cnn,1.0,0.011000000000000001,1.0,0.009000000000000001
christian,1.0,0.011000000000000001,0.0,0.0
child,1.0,0.011000000000000001,0.0,0.0
ballot,1.0,0.011000000000000001,0.0,0.0
america,1.0,0.011000000000000001,1.0,0.01
speaks,1.0,0.01,0.0,0.0
sean,1.0,0.01,0.0,0.0
mall,1.0,0.01,0.0,0.0
gadsden,1.0,0.01,0.0,0.0
defeated,1.0,0.01,0.0,0.0
criticize,1.0,0.01,0.0,0.0
birmingham,1.0,0.01,0.0,0.0
ala,1.0,0.01,0.0,0.0
spokesman,1.0,0.009000000000000001,0.0,0.0
shelby,1.0,0.009000000000000001,0.0,0.0
sanders,1.0,0.009000000000000001,1.0,0.001
john,1.0,0.009000000000000001,0.0,0.0
embattled,1.0,0.009000000000000001,0.0,0.0
dating,1.0,0.009000000000000001,0.0,0.0
credible,1.0,0.009000000000000001,1.0,0.019
controversial,1.0,0.009000000000000001,0.0,0.0
clinton,1.0,0.009000000000000001,0.0,0.0
breitbart,1.0,0.009000000000000001,0.0,0.0
american,1.0,0.009000000000000001,0.0,0.0
african-american,1.0,0.009000000000000001,0.0,0.0
tax,1.0,0.008,0.0,0.0
sarah,1.0,0.008,1.0,0.002
reporting,1.0,0.008,1.0,0.004
inscription,1.0,0.008,0.0,0.0
fundraising,1.0,0.008,0.0,0.0
expel,1.0,0.008,0.0,0.0
evangelical,1.0,0.008,0.0,0.0
congress,1.0,0.008,1.0,0.013000000000000001
bible,1.0,0.008,0.0,0.0
beverly,1.0,0.008,0.0,0.0
agenda,1.0,0.008,0.0,0.0
twitter,1.0,0.006999999999999999,1.0,0.006999999999999999
tuesday's,1.0,0.006999999999999999,0.0,0.0
teens,1.0,0.006999999999999999,1.0,0.005
same-sex,1.0,0.006999999999999999,0.0,0.0
politico,1.0,0.006999999999999999,1.0,0.001
party's,1.0,0.006999999999999999,0.0,0.0
lawmakers,1.0,0.006999999999999999,1.0,0.008
ivanka,1.0,0.006999999999999999,0.0,0.0
inappropriate,1.0,0.006999999999999999,0.0,0.0
gardner,1.0,0.006999999999999999,0.0,0.0
custody,1.0,0.006999999999999999,0.0,0.0
candidacy,1.0,0.006999999999999999,0.0,0.0
banned,1.0,0.006999999999999999,0.0,0.0
abuse,1.0,0.006999999999999999,1.0,0.023
weigh,1.0,0.006,0.0,0.0
victims,1.0,0.006,1.0,0.028999999999999998
stephen,1.0,0.006,0.0,0.0
state's,1.0,0.006,0.0,0.0
ryan,1.0,0.006,0.0,0.0
richard,1.0,0.006,1.0,0.001
refusal,1.0,0.006,0.0,0.0
paul,1.0,0.006,0.0,0.0
msnbc,1.0,0.006,1.0,0.002
montgomery,1.0,0.006,1.0,0.003
margin,1.0,0.006,0.0,0.0
leigh,1.0,0.006,0.0,0.0
judicial,1.0,0.006,0.0,0.0
joseph,1.0,0.006,0.0,0.0
incumbent,1.0,0.006,0.0,0.0
huckabee,1.0,0.006,0.0,0.0
homosexuality,1.0,0.006,0.0,0.0
flake,1.0,0.006,1.0,0.013999999999999999
fake,1.0,0.006,1.0,0.002
expulsion,1.0,0.006,0.0,0.0
ed,1.0,0.006,1.0,0.003
district,1.0,0.006,0.0,0.0
children,1.0,0.006,0.0,0.0
backers,1.0,0.006,0.0,0.0
advisers,1.0,0.006,0.0,0.0
vacated,1.0,0.005,0.0,0.0
