term,a1_bin,a1_perc,a2_bin,a2_perc
moore,10.0,1.079,1.0,0.012
roy,4.0,0.389,1.0,0.011000000000000001
alabama,3.0,0.271,0.0,0.0
republican,3.0,0.245,1.0,0.002
senate,3.0,0.22399999999999998,1.0,0.006999999999999999
trump,2.0,0.17600000000000002,1.0,0.023
allegations,2.0,0.175,2.0,0.15
jones,1.0,0.10400000000000001,0.0,0.0
campaign,1.0,0.09,1.0,0.03
election,1.0,0.08900000000000001,0.0,0.0
democrat,1.0,0.083,0.0,0.0
accusations,1.0,0.07200000000000001,1.0,0.071
gop,1.0,0.066,0.0,0.0
teenage,1.0,0.059000000000000004,0.0,0.0
misconduct,1.0,0.057999999999999996,1.0,0.081
washington,1.0,0.057,1.0,0.003
judge,1.0,0.047,1.0,0.004
endorsed,1.0,0.045,0.0,0.0
doug,1.0,0.043,0.0,0.0
nelson,1.0,0.038,0.0,0.0
mcconnell,1.0,0.038,0.0,0.0
polls,1.0,0.033,0.0,0.0
donald,1.0,0.032,1.0,0.011000000000000001
bannon,1.0,0.032,0.0,0.0
30s,1.0,0.032,0.0,0.0
assault,1.0,0.03,1.0,0.09699999999999999
supporters,1.0,0.027000000000000003,1.0,0.009000000000000001
nominee,1.0,0.024,1.0,0.009000000000000001
mitch,1.0,0.024,0.0,0.0
luther,1.0,0.024,0.0,0.0
conservative,1.0,0.023,0.0,0.0
victory,1.0,0.022000000000000002,1.0,0.001
rally,1.0,0.022000000000000002,1.0,0.012
yearbook,1.0,0.021,0.0,0.0
molested,1.0,0.021,0.0,0.0
harassment,1.0,0.021,2.0,0.125
pursued,1.0,0.02,0.0,0.0
media,1.0,0.02,1.0,0.037000000000000005
supreme,1.0,0.019,1.0,0.002
jeff,1.0,0.019,0.0,0.0
franken,1.0,0.019,1.0,0.021
leader,1.0,0.018000000000000002,0.0,0.0
false,1.0,0.018000000000000002,1.0,0.003
hannity,1.0,0.017,0.0,0.0
defended,1.0,0.017,0.0,0.0
tweeted,1.0,0.016,0.0,0.0
sexually,1.0,0.016,1.0,0.019
senatorial,1.0,0.015,0.0,0.0
corfman,1.0,0.015,0.0,0.0
write-in,1.0,0.013999999999999999,0.0,0.0
opponent,1.0,0.013999999999999999,0.0,0.0
initiated,1.0,0.013999999999999999,0.0,0.0
concede,1.0,0.013000000000000001,0.0,0.0
allred,1.0,0.013000000000000001,0.0,0.0
wins,1.0,0.012,0.0,0.0
united,1.0,0.012,1.0,0.008
steve,1.0,0.012,1.0,0.002
signature,1.0,0.012,0.0,0.0
withdraw,1.0,0.011000000000000001,0.0,0.0
strategist,1.0,0.011000000000000001,0.0,0.0
groping,1.0,0.011000000000000001,0.0,0.0
god,1.0,0.011000000000000001,0.0,0.0
fox,1.0,0.011000000000000001,1.0,0.006999999999999999
denials,1.0,0.011000000000000001,0.0,0.0
denies,1.0,0.011000000000000001,1.0,0.004
cnn,1.0,0.011000000000000001,1.0,0.002
christian,1.0,0.011000000000000001,0.0,0.0
child,1.0,0.011000000000000001,1.0,0.003
ballot,1.0,0.011000000000000001,0.0,0.0
america,1.0,0.011000000000000001,0.0,0.0
speaks,1.0,0.01,1.0,0.001
sean,1.0,0.01,0.0,0.0
mall,1.0,0.01,0.0,0.0
gadsden,1.0,0.01,0.0,0.0
defeated,1.0,0.01,0.0,0.0
criticize,1.0,0.01,0.0,0.0
birmingham,1.0,0.01,0.0,0.0
ala,1.0,0.01,0.0,0.0
spokesman,1.0,0.009000000000000001,1.0,0.001
shelby,1.0,0.009000000000000001,0.0,0.0
sanders,1.0,0.009000000000000001,0.0,0.0
john,1.0,0.009000000000000001,1.0,0.01
embattled,1.0,0.009000000000000001,0.0,0.0
dating,1.0,0.009000000000000001,1.0,0.003
credible,1.0,0.009000000000000001,0.0,0.0
controversial,1.0,0.009000000000000001,0.0,0.0
clinton,1.0,0.009000000000000001,1.0,0.003
breitbart,1.0,0.009000000000000001,0.0,0.0
american,1.0,0.009000000000000001,1.0,0.009000000000000001
african-american,1.0,0.009000000000000001,0.0,0.0
tax,1.0,0.008,1.0,0.001
sarah,1.0,0.008,0.0,0.0
reporting,1.0,0.008,0.0,0.0
inscription,1.0,0.008,0.0,0.0
fundraising,1.0,0.008,0.0,0.0
expel,1.0,0.008,0.0,0.0
evangelical,1.0,0.008,0.0,0.0
congress,1.0,0.008,0.0,0.0
bible,1.0,0.008,0.0,0.0
beverly,1.0,0.008,1.0,0.002
agenda,1.0,0.008,0.0,0.0
