term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,10.0,0.618971664477,10.0,0.582397003745
GOP,6.0,0.313285794708,6.0,0.32397003745299996
White House,5.0,0.262525802214,6.0,0.331460674157
Washington Post,4.0,0.223118784012,5.0,0.26404494382
Congress,4.0,0.216738600113,7.0,0.37640449438199997
Alabama Senate,4.0,0.209420153875,4.0,0.204119850187
House,3.0,0.156595984237,4.0,0.230337078652
CNN,3.0,0.144961531244,3.0,0.185393258427
U.S. Senate,2.0,0.119065490711,2.0,0.08239700374530001
Republican Party,2.0,0.115406267592,3.0,0.13483146067399998
Republican,2.0,0.10752486395199999,2.0,0.101123595506
Fox News,2.0,0.10658660161399999,3.0,0.16479400749099998
New York Times,2.0,0.105085381873,4.0,0.24531835206
Supreme Court,2.0,0.09232501407390001,4.0,0.21535580524300002
Trump,2.0,0.0767498592606,3.0,0.12734082397
Republican National Committee,1.0,0.0617376618503,2.0,0.0786516853933
NBC,1.0,0.0575154813286,2.0,0.11235955056199999
Post,1.0,0.0553574779508,1.0,0.05056179775280001
FBI,1.0,0.0547945205479,3.0,0.13295880149800002
Democratic Party,1.0,0.049446425220499995,2.0,0.0973782771536
Breitbart News,1.0,0.048883467817599995,1.0,0.005617977528089999
Associated Press,1.0,0.048226684180899995,1.0,0.0355805243446
AP,1.0,0.04588102833549999,2.0,0.0861423220974
Facebook,1.0,0.04466128729590001,2.0,0.0861423220974
Alabama Supreme Court,1.0,0.0445674610621,1.0,0.0149812734082
GOP Senate,1.0,0.041658847813800005,1.0,0.0243445692884
MSNBC,1.0,0.0401576280728,1.0,0.059925093633000005
RNC,1.0,0.0367798836555,1.0,0.04494382022469999
Reuters,1.0,0.036498404954,1.0,0.0486891385768
National Republican Senatorial Committee,1.0,0.0351848376806,1.0,0.0149812734082
US Senate,1.0,0.0338712704072,1.0,0.0205992509363
NBC News,1.0,0.0330268343029,1.0,0.059925093633000005
Democratic,1.0,0.0326515293676,1.0,0.046816479400699995
ABC,1.0,0.0323700506662,1.0,0.0393258426966
CBS,1.0,0.0321823981985,1.0,0.05056179775280001
Republican Senate,1.0,0.0313379620942,1.0,0.0318352059925
Justice Department,1.0,0.0306811784575,2.0,0.0692883895131
Trump administration,1.0,0.028335522612099998,1.0,0.041198501872699994
Politico,1.0,0.0261775192344,1.0,0.061797752808999996
CBS News,1.0,0.02533308313,1.0,0.0243445692884
State,1.0,0.0245824732595,1.0,0.029962546816500003
Capitol Hill,1.0,0.023550384687600002,1.0,0.0543071161049
Wall Street Journal,1.0,0.0217676862451,1.0,0.0486891385768
NFL,1.0,0.020735597673099997,1.0,0.05056179775280001
House of Representatives,1.0,0.0200788140364,1.0,0.0318352059925
Senate Judiciary Committee,1.0,0.019797335335,2.0,0.0973782771536
Senate GOP,1.0,0.0190467254644,1.0,0.00936329588015
Bloomberg,1.0,0.0190467254644,1.0,0.0280898876404
House Judiciary Committee,1.0,0.0189528992306,1.0,0.0168539325843
ABC News,1.0,0.018577594295400002,1.0,0.0280898876404
Alabama GOP Senate,1.0,0.0179208106587,1.0,0.0131086142322
DNC,1.0,0.017264027022,1.0,0.022471910112400004
Times,1.0,0.017170200788100002,1.0,0.061797752808999996
Republican party,1.0,0.0163257646838,1.0,0.0262172284644
Democratic National Committee,1.0,0.0158566335147,1.0,0.0187265917603
state,1.0,0.015199849878,1.0,0.0205992509363
POLITICO,1.0,0.015199849878,1.0,0.0168539325843
Google,1.0,0.0151060236442,1.0,0.0374531835206
Senate Ethics Committee,1.0,0.014636892475100001,1.0,0.0205992509363
CIA,1.0,0.0144492400075,1.0,0.0187265917603
CBS Interactive Inc,1.0,0.014261587539899999,0.0,0.0
Medicare,1.0,0.0140739350722,1.0,0.0243445692884
Trump White House,1.0,0.0137924563708,1.0,0.0243445692884
NRSC,1.0,0.013698630137,1.0,0.011235955056200002
U.S. Supreme Court,1.0,0.0136048039032,1.0,0.0168539325843
Republican Alabama Senate,1.0,0.0136048039032,1.0,0.011235955056200002
Treasury,1.0,0.0134171514355,1.0,0.0187265917603
Breitbart,1.0,0.013323325201700001,1.0,0.00749063670412
NPR,1.0,0.013041846500299999,1.0,0.033707865168499995
Alabama Republican Party,1.0,0.012948020266499998,0.0,0.0
senate,1.0,0.012854194032700002,1.0,0.00749063670412
Vox,1.0,0.012760367798799998,1.0,0.0374531835206
State Department,1.0,0.012291236629800001,1.0,0.029962546816500003
Veritas,1.0,0.012291236629800001,1.0,0.00936329588015
Republicans,1.0,0.0117282792269,1.0,0.00936329588015
Democrats,1.0,0.011540626759200001,1.0,0.029962546816500003
United Nations,1.0,0.011352974291600001,1.0,0.029962546816500003
party,1.0,0.011352974291600001,1.0,0.011235955056200002
The Washington Post,1.0,0.0110714955902,1.0,0.0131086142322
Alabama U.S. Senate,1.0,0.0109776693564,1.0,0.00936329588015
Alabama senate,1.0,0.0108838431225,1.0,0.0205992509363
PAC,1.0,0.010790016888700002,1.0,0.005617977528089999
WaPo,1.0,0.0106023644211,1.0,0.00749063670412
Pentagon,1.0,0.010320885719600001,1.0,0.0262172284644
House Intelligence Committee,1.0,0.0100394070182,1.0,0.0262172284644
Republican U.S. Senate,1.0,0.0100394070182,0.0,0.0
Showtime,1.0,0.0100394070182,0.0,0.0
Amazon,1.0,0.00994558078439,1.0,0.0430711610487
CNBC,1.0,0.00985175455057,1.0,0.0187265917603
Judiciary Committee,1.0,0.009757928316760001,1.0,0.029962546816500003
Washington Examiner,1.0,0.009757928316760001,1.0,0.00749063670412
Ford,1.0,0.00966410208294,2.0,0.06741573033710001
YouTube,1.0,0.009570275849129999,1.0,0.00749063670412
Federal Election Commission,1.0,0.00947644961531,0.0,0.0
University of Alabama,1.0,0.00910114468005,0.0,0.0
U.N.,1.0,0.00891349221242,1.0,0.0318352059925
USA TODAY,1.0,0.008819665978610001,1.0,0.0262172284644
Vanity Fair,1.0,0.008725839744790001,1.0,0.0262172284644
DOJ,1.0,0.008632013510979999,1.0,0.0243445692884
United States  Senate,1.0,0.008632013510979999,1.0,0.00936329588015
Harvard,1.0,0.00844436104335,1.0,0.0243445692884
Los Angeles Times,1.0,0.00844436104335,1.0,0.0205992509363
Fox News host,1.0,0.00844436104335,1.0,0.00936329588015
House GOP,1.0,0.0081628823419,1.0,0.0168539325843
Senate Finance Committee,1.0,0.0081628823419,1.0,0.00749063670412
PBS,1.0,0.0081628823419,1.0,0.0355805243446
ISIS,1.0,0.007881403640460001,1.0,0.0205992509363
Facebook post,1.0,0.007787577406640001,1.0,0.0131086142322
Department of Justice,1.0,0.007693751172830001,1.0,0.0168539325843
House Ethics Committee,1.0,0.007693751172830001,1.0,0.0205992509363
Navy,1.0,0.0075060987052,1.0,0.0131086142322
Consumer Financial Protection Bureau,1.0,0.0075060987052,1.0,0.0131086142322
Alabama Republican Senate,1.0,0.0075060987052,0.0,0.0
Netflix,1.0,0.00713079376994,1.0,0.029962546816500003
National Review,1.0,0.00713079376994,1.0,0.011235955056200002
UCLA,1.0,0.00713079376994,1.0,0.0280898876404
NAACP,1.0,0.007036967536120001,1.0,0.00749063670412
