term,a1_bin,a1_perc,a2_bin,a2_perc
Roy Moore,10.0,0.966410208294,10.0,0.9887640449439999
Doug Jones,4.0,0.352974291612,3.0,0.22284644194800002
Donald Trump,4.0,0.348470632389,5.0,0.438202247191
Trump,3.0,0.234565584537,3.0,0.26591760299600004
Mitch McConnell,2.0,0.187277162695,2.0,0.10861423221
Al Franken,2.0,0.13107524864,5.0,0.40262172284599995
Jeff Sessions,2.0,0.117282792269,1.0,0.0711610486891
Steve Bannon,2.0,0.113811221618,1.0,0.0955056179775
Hillary Clinton,2.0,0.110996434603,2.0,0.174157303371
Barack Obama,1.0,0.0810658660161,2.0,0.11048689138599999
Luther Strange,1.0,0.0780634265341,1.0,0.022471910112400004
Harvey Weinstein,1.0,0.0660536686057,4.0,0.350187265918
Jeff Flake,1.0,0.0625820979546,1.0,0.0486891385768
Leigh Corfman,1.0,0.0595796584725,1.0,0.033707865168499995
Paul Ryan,1.0,0.0570463501595,1.0,0.0786516853933
Sean Hannity,1.0,0.0547006943141,1.0,0.0486891385768
Bill Clinton,1.0,0.053762431975999996,2.0,0.159176029963
John McCain,1.0,0.0493525989867,1.0,0.0318352059925
Breitbart,1.0,0.04897729405140001,1.0,0.0318352059925
Nancy Pelosi,1.0,0.046162507037000006,1.0,0.065543071161
Mitt Romney,1.0,0.04466128729590001,1.0,0.0318352059925
Obama,1.0,0.044098329893,1.0,0.058052434456900004
Sarah Huckabee Sanders,1.0,0.0427847626196,1.0,0.06741573033710001
Robert Mueller,1.0,0.0410020641771,1.0,0.0861423220974
Bob Corker,1.0,0.039219365734699994,1.0,0.041198501872699994
John Conyers,1.0,0.039031713267,2.0,0.12172284644200002
Chuck Schumer,1.0,0.036310752486400005,1.0,0.0486891385768
Richard Shelby,1.0,0.0358416213173,1.0,0.0149812734082
Ted Cruz,1.0,0.0328391818352,1.0,0.0243445692884
Beverly Young Nelson,1.0,0.0323700506662,1.0,0.0168539325843
Susan Collins,1.0,0.0322762244324,1.0,0.0561797752809
Cory Gardner,1.0,0.0321823981985,1.0,0.0187265917603
Mike Pence,1.0,0.0320885719647,1.0,0.041198501872699994
Ivanka Trump,1.0,0.030962657158900002,1.0,0.041198501872699994
Kirsten Gillibrand,1.0,0.0306811784575,2.0,0.10861423221
Kellyanne Conway,1.0,0.030305873522200003,1.0,0.058052434456900004
Stephen K. Bannon,1.0,0.0302120472884,0.0,0.0
George W. Bush,1.0,0.0288046537812,1.0,0.0524344569288
Bernie Sanders,1.0,0.0269281291049,1.0,0.041198501872699994
Gloria Allred,1.0,0.026458997935799998,1.0,0.0168539325843
Leeann Tweeden,1.0,0.025520735597700003,1.0,0.06741573033710001
Vladimir Putin,1.0,0.023738037155200002,1.0,0.041198501872699994
Orrin Hatch,1.0,0.022893601050900002,1.0,0.029962546816500003
John Kelly,1.0,0.0219553387127,1.0,0.059925093633000005
Michael Flynn,1.0,0.0216738600113,1.0,0.033707865168499995
Donald Trump Jr.,1.0,0.021580033777400004,1.0,0.033707865168499995
Jared Kushner,1.0,0.021486207543599995,1.0,0.0374531835206
Kevin Spacey,1.0,0.0201726402702,2.0,0.13483146067399998
Fox,1.0,0.019797335335,1.0,0.046816479400699995
Joe Biden,1.0,0.019703509101099997,1.0,0.0486891385768
Jesus,1.0,0.0192343779321,1.0,0.022471910112400004
Ed Gillespie,1.0,0.0192343779321,1.0,0.0131086142322
Charlie Rose,1.0,0.0190467254644,2.0,0.114232209738
Lindsey Graham,1.0,0.018859072996799998,1.0,0.0318352059925
Paul Manafort,1.0,0.018577594295400002,1.0,0.0393258426966
— Donald J. Trump,1.0,0.0184837680616,1.0,0.0187265917603
Jones,1.0,0.018389941827700002,1.0,0.011235955056200002
Matt Lauer,1.0,0.018389941827700002,2.0,0.129213483146
Marco Rubio,1.0,0.0182961155939,1.0,0.0131086142322
Kay Ivey,1.0,0.0181084631263,1.0,0.00936329588015
Lisa Murkowski,1.0,0.0179208106587,1.0,0.033707865168499995
Sarah Sanders,1.0,0.0179208106587,1.0,0.0243445692884
John Cornyn,1.0,0.0178269844248,1.0,0.00936329588015
Ku Klux,1.0,0.017733158191,1.0,0.011235955056200002
Ralph Northam,1.0,0.017545505723400003,1.0,0.0280898876404
John Merrill,1.0,0.0174516794896,0.0,0.0
Ronald Reagan,1.0,0.0173578532558,1.0,0.0280898876404
Joe Manchin,1.0,0.017264027022,1.0,0.011235955056200002
Kayla Moore,1.0,0.0167010696191,0.0,0.0
Cory Booker,1.0,0.016607243385299997,1.0,0.0280898876404
Louis C.K.,1.0,0.0163257646838,1.0,0.0880149812734
Elizabeth Warren,1.0,0.0160442859824,1.0,0.029962546816500003
Kelli Ward,1.0,0.0159504597485,0.0,0.0
James Comey,1.0,0.0156689810471,1.0,0.0262172284644
Mike Lee,1.0,0.0156689810471,0.0,0.0
Clinton,1.0,0.0152936761118,1.0,0.0149812734082
Rob Porter,1.0,0.0143554137737,1.0,0.0936329588015
Don Blankenship,1.0,0.0141677613061,0.0,0.0
Michael Wolff,1.0,0.0138862826046,1.0,0.0131086142322
McConnell,1.0,0.013698630137,0.0,0.0
Trent Franks,1.0,0.0136048039032,1.0,0.0692883895131
Blake Farenthold,1.0,0.0136048039032,1.0,0.0561797752809
Roger Ailes,1.0,0.0135109776694,1.0,0.0861423220974
Rex Tillerson,1.0,0.0134171514355,1.0,0.0243445692884
Brett Kavanaugh,1.0,0.013323325201700001,1.0,0.08052434456930001
Mary,1.0,0.0131356727341,1.0,0.00936329588015
Patrick Morrisey,1.0,0.013041846500299999,0.0,0.0
Dean Heller,1.0,0.012385062863600001,1.0,0.0168539325843
Jake Tapper,1.0,0.012291236629800001,1.0,0.0168539325843
