term,a1_bin,a1_perc,a2_bin,a2_perc
harassment,10.0,0.684,2.0,0.092
allegations,4.0,0.215,5.0,0.29
assault,3.0,0.19699999999999998,1.0,0.026000000000000002
misconduct,2.0,0.124,2.0,0.07200000000000001
sexually,2.0,0.091,1.0,0.015
weinstein,2.0,0.081,1.0,0.031
accusations,1.0,0.06,1.0,0.043
workplace,1.0,0.053,1.0,0.005
abuse,1.0,0.052000000000000005,1.0,0.013999999999999999
harvey,1.0,0.049,1.0,0.015
victims,1.0,0.046,1.0,0.016
trump,1.0,0.037000000000000005,2.0,0.11699999999999999
complaints,1.0,0.036000000000000004,0.0,0.0
media,1.0,0.035,1.0,0.021
violence,1.0,0.032,1.0,0.003
inappropriate,1.0,0.027999999999999997,1.0,0.024
scandal,1.0,0.027000000000000003,1.0,0.006999999999999999
resign,1.0,0.027000000000000003,2.0,0.083
investigating,1.0,0.027000000000000003,1.0,0.016
democratic,1.0,0.026000000000000002,0.0,0.0
advances,1.0,0.026000000000000002,1.0,0.006999999999999999
senate,1.0,0.024,2.0,0.11599999999999999
fox,1.0,0.024,1.0,0.006
actress,1.0,0.023,1.0,0.003
university,1.0,0.022000000000000002,1.0,0.004
nbc,1.0,0.022000000000000002,1.0,0.006999999999999999
producer,1.0,0.021,1.0,0.003
discrimination,1.0,0.021,1.0,0.006
campaign,1.0,0.021,1.0,0.03
reporting,1.0,0.02,1.0,0.005
rape,1.0,0.02,1.0,0.01
republican,1.0,0.019,1.0,0.068
lauer,1.0,0.019,1.0,0.002
california,1.0,0.019,1.0,0.005
women's,1.0,0.017,1.0,0.004
moore,1.0,0.017,2.0,0.094
cbs,1.0,0.017,1.0,0.006
students,1.0,0.016,1.0,0.001
cosby,1.0,0.016,1.0,0.004
congress,1.0,0.016,1.0,0.024
american,1.0,0.016,1.0,0.015
unwanted,1.0,0.015,1.0,0.005
o'reilly,1.0,0.013999999999999999,0.0,0.0
lawsuit,1.0,0.013999999999999999,1.0,0.005
united,1.0,0.013000000000000001,1.0,0.006999999999999999
lawmakers,1.0,0.013000000000000001,1.0,0.019
clinton,1.0,0.013000000000000001,1.0,0.027000000000000003
america,1.0,0.013000000000000001,1.0,0.002
washington,1.0,0.012,1.0,0.025
violation,1.0,0.012,0.0,0.0
survivors,1.0,0.012,0.0,0.0
john,1.0,0.012,1.0,0.019
gender,1.0,0.012,0.0,0.0
franken,1.0,0.012,6.0,0.36200000000000004
advocate,1.0,0.012,0.0,0.0
tweet,1.0,0.011000000000000001,1.0,0.013000000000000001
professor,1.0,0.011000000000000001,0.0,0.0
moonves,1.0,0.011000000000000001,0.0,0.0
mogul,1.0,0.011000000000000001,1.0,0.002
matt,1.0,0.011000000000000001,1.0,0.006
education,1.0,0.011000000000000001,1.0,0.002
cnn,1.0,0.011000000000000001,1.0,0.012
campus,1.0,0.011000000000000001,0.0,0.0
twitter,1.0,0.01,1.0,0.009000000000000001
spacey,1.0,0.01,1.0,0.001
roy,1.0,0.01,1.0,0.048
mps,1.0,0.01,0.0,0.0
ford,1.0,0.01,1.0,0.005
employers,1.0,0.01,0.0,0.0
donald,1.0,0.01,1.0,0.011000000000000001
dismissed,1.0,0.01,0.0,0.0
denies,1.0,0.01,1.0,0.006
crime,1.0,0.01,0.0,0.0
transparent,1.0,0.009000000000000001,1.0,0.001
tolerance,1.0,0.009000000000000001,0.0,0.0
predators,1.0,0.009000000000000001,0.0,0.0
los,1.0,0.009000000000000001,1.0,0.01
leader,1.0,0.009000000000000001,1.0,0.01
kevin,1.0,0.009000000000000001,1.0,0.004
judge,1.0,0.009000000000000001,1.0,0.016
executives,1.0,0.009000000000000001,1.0,0.003
dozens,1.0,0.009000000000000001,1.0,0.002
angeles,1.0,0.009000000000000001,1.0,0.01
activist,1.0,0.009000000000000001,0.0,0.0
surfaced,1.0,0.008,1.0,0.005
supreme,1.0,0.008,1.0,0.003
staffers,1.0,0.008,0.0,0.0
ryan,1.0,0.008,1.0,0.004
ratner,1.0,0.008,0.0,0.0
photo,1.0,0.008,1.0,0.022000000000000002
perpetrators,1.0,0.008,0.0,0.0
nfl,1.0,0.008,0.0,0.0
kozinski's,1.0,0.008,0.0,0.0
kavanaugh,1.0,0.008,1.0,0.006999999999999999
journalist,1.0,0.008,1.0,0.004
james,1.0,0.008,1.0,0.004
ix,1.0,0.008,0.0,0.0
conyers,1.0,0.008,1.0,0.027000000000000003
conservative,1.0,0.008,1.0,0.011000000000000001
challenges,1.0,0.008,0.0,0.0
capitol,1.0,0.008,1.0,0.01
brett,1.0,0.008,1.0,0.002
accountable,1.0,0.008,1.0,0.004
yorker,1.0,0.006999999999999999,1.0,0.002
wynn,1.0,0.006999999999999999,1.0,0.003
weaponization,1.0,0.006999999999999999,0.0,0.0
tambor,1.0,0.006999999999999999,0.0,0.0
sued,1.0,0.006999999999999999,1.0,0.002
revelations,1.0,0.006999999999999999,0.0,0.0
probe,1.0,0.006999999999999999,1.0,0.006
pervasive,1.0,0.006999999999999999,0.0,0.0
nominee,1.0,0.006999999999999999,1.0,0.006
meehan,1.0,0.006999999999999999,0.0,0.0
initially,1.0,0.006999999999999999,0.0,0.0
industries,1.0,0.006999999999999999,0.0,0.0
garcia,1.0,0.006999999999999999,1.0,0.002
founder,1.0,0.006999999999999999,0.0,0.0
election,1.0,0.006999999999999999,1.0,0.028999999999999998
defenders,1.0,0.006999999999999999,0.0,0.0
crews,1.0,0.006999999999999999,0.0,0.0
confidential,1.0,0.006999999999999999,1.0,0.003
careers,1.0,0.006999999999999999,0.0,0.0
apologized,1.0,0.006999999999999999,1.0,0.031
anita,1.0,0.006999999999999999,0.0,0.0
amazon,1.0,0.006999999999999999,0.0,0.0
alabama,1.0,0.006999999999999999,2.0,0.069
ailes,1.0,0.006999999999999999,0.0,0.0
affleck,1.0,0.006999999999999999,0.0,0.0
wrongdoing,1.0,0.006,1.0,0.005
vulnerable,1.0,0.006,1.0,0.002
touching,1.0,0.006,1.0,0.011000000000000001
toback,1.0,0.006,0.0,0.0
time's,1.0,0.006,0.0,0.0
taxpayer,1.0,0.006,0.0,0.0
prohibition,1.0,0.006,0.0,0.0
patrick,1.0,0.006,0.0,0.0
network's,1.0,0.006,0.0,0.0
louis,1.0,0.006,1.0,0.006
intimidate,1.0,0.006,0.0,0.0
hostile,1.0,0.006,1.0,0.003
hashtag,1.0,0.006,0.0,0.0
grapple,1.0,0.006,0.0,0.0
gillibrand,1.0,0.006,1.0,0.015
farrow's,1.0,0.006,0.0,0.0
cuomo,1.0,0.006,1.0,0.003
constand,1.0,0.006,0.0,0.0
commission,1.0,0.006,1.0,0.002
chef,1.0,0.006,0.0,0.0
charlie,1.0,0.006,0.0,0.0
ceo,1.0,0.006,0.0,0.0
calling,1.0,0.006,1.0,0.015
buzzfeed,1.0,0.006,1.0,0.003
burke,1.0,0.006,0.0,0.0
bullying,1.0,0.006,0.0,0.0
anti-harassment,1.0,0.006,0.0,0.0
anchor,1.0,0.006,1.0,0.006999999999999999
aide,1.0,0.006,0.0,0.0
agreements,1.0,0.006,0.0,0.0
aggressive,1.0,0.006,0.0,0.0
academy,1.0,0.006,0.0,0.0
uber,1.0,0.005,0.0,0.0
toxic,1.0,0.005,0.0,0.0
tax,1.0,0.005,1.0,0.017
surrounding,1.0,0.005,0.0,0.0
subsequent,1.0,0.005,1.0,0.001
spectrum,1.0,0.005,1.0,0.002
sexism,1.0,0.005,0.0,0.0
roger,1.0,0.005,1.0,0.003
repeatedly,1.0,0.005,1.0,0.004
prompted,1.0,0.005,0.0,0.0
presidency,1.0,0.005,0.0,0.0
poll,1.0,0.005,1.0,0.011000000000000001
morgan,1.0,0.005,0.0,0.0
misogyny,1.0,0.005,0.0,0.0
leslie,1.0,0.005,0.0,0.0
jones,1.0,0.005,1.0,0.019
incidents,1.0,0.005,1.0,0.008
illustrated,1.0,0.005,0.0,0.0
hurt,1.0,0.005,0.0,0.0
hosted,1.0,0.005,1.0,0.002
groping,1.0,0.005,1.0,0.043
globe,1.0,0.005,0.0,0.0
george,1.0,0.005,1.0,0.005
freeman,1.0,0.005,0.0,0.0
farenthold,1.0,0.005,1.0,0.011000000000000001
experiencing,1.0,0.005,0.0,0.0
engaging,1.0,0.005,1.0,0.003
eeoc,1.0,0.005,0.0,0.0
credibility,1.0,0.005,0.0,0.0
consent,1.0,0.005,1.0,0.006
company's,1.0,0.005,0.0,0.0
comedian,1.0,0.005,1.0,0.006
cisneros,1.0,0.005,0.0,0.0
celebrity,1.0,0.005,1.0,0.004
assembly,1.0,0.005,0.0,0.0
army,1.0,0.005,0.0,0.0
arbitration,1.0,0.005,0.0,0.0
adviser,1.0,0.005,1.0,0.005
adjudication,1.0,0.005,0.0,0.0
zervos,1.0,0.004,1.0,0.001
year's,1.0,0.004,1.0,0.005
westminster,1.0,0.004,0.0,0.0
watts,1.0,0.004,0.0,0.0
uncovered,1.0,0.004,1.0,0.001
threats,1.0,0.004,1.0,0.001
thomas,1.0,0.004,1.0,0.002
texas,1.0,0.004,1.0,0.005
terminated,1.0,0.004,1.0,0.001
teenage,1.0,0.004,0.0,0.0
teens,1.0,0.004,1.0,0.001
targeting,1.0,0.004,0.0,0.0
spotlight,1.0,0.004,1.0,0.001
smith,1.0,0.004,1.0,0.006999999999999999
sexual-harassment,1.0,0.004,1.0,0.001
settlements,1.0,0.004,0.0,0.0
sentenced,1.0,0.004,0.0,0.0
seacrest's,1.0,0.004,0.0,0.0
