term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,10.0,0.18149353225900003,2.0,0.032915360501599995
New York Times,10.0,0.17931116577999998,9.0,0.163009404389
Congress,10.0,0.166018569955,2.0,0.036050156739800006
White House,7.0,0.116855805095,4.0,0.0579937304075
House,7.0,0.116062217284,1.0,0.0156739811912
Washington Post,7.0,0.110030949925,4.0,0.0705329153605
CNN,6.0,0.0995952702166,3.0,0.0407523510972
Fox News,6.0,0.0916990715023,2.0,0.0313479623824
Supreme Court,5.0,0.086461391953,2.0,0.0266457680251
GOP,5.0,0.08535036901830001,1.0,0.009404388714729999
NBC,5.0,0.0787635901913,7.0,0.122257053292
Facebook,4.0,0.06340766605819999,3.0,0.0532915360502
Associated Press,4.0,0.061264978969900005,2.0,0.025078369906
CBS,4.0,0.060590429331,4.0,0.0548589341693
Reuters,4.0,0.056622490278500005,2.0,0.0219435736677
FBI,3.0,0.053606856598699994,2.0,0.0219435736677
AP,3.0,0.053448139036600006,2.0,0.0282131661442
Times,3.0,0.0457503372748,3.0,0.0501567398119
NBC News,3.0,0.0442028410444,2.0,0.0188087774295
Senate Judiciary Committee,3.0,0.0367431156257,1.0,0.0156739811912
Netflix,2.0,0.0338465201175,10.0,0.181818181818
Trump,2.0,0.0333306880406,1.0,0.0141065830721
Ford,2.0,0.0328942147449,1.0,0.00626959247649
ABC,2.0,0.0324577414491,4.0,0.05956112852659999
Los Angeles Times,2.0,0.0311880009523,2.0,0.0282131661442
Google,2.0,0.0299976192366,2.0,0.032915360501599995
Republican,2.0,0.029838901674500002,1.0,0.00470219435737
Bloomberg,2.0,0.029045313864000003,1.0,0.010971786833899998
Amazon,2.0,0.0288469169114,4.0,0.0564263322884
MSNBC,2.0,0.0278549321482,0.0,0.0
Wall Street Journal,2.0,0.027815252757700002,1.0,0.009404388714729999
CBS News,2.0,0.0247599396873,0.0,0.0
Justice Department,2.0,0.024561542734699997,1.0,0.009404388714729999
Democratic Party,2.0,0.024204428219999997,0.0,0.0
Post,2.0,0.024006031267400002,1.0,0.00470219435737
Republican Party,2.0,0.0232521228474,1.0,0.00470219435737
Capitol Hill,2.0,0.0232521228474,1.0,0.007836990595609999
Judiciary Committee,2.0,0.021783985398,0.0,0.0
Politico,2.0,0.0213475121022,0.0,0.0
NFL,2.0,0.0213078327117,1.0,0.00626959247649
Trump administration,2.0,0.0208713594159,1.0,0.0141065830721
NPR,2.0,0.020752321244299998,1.0,0.010971786833899998
HBO,2.0,0.020633283072799997,8.0,0.13636363636399998
House of Representatives,2.0,0.019998412824400003,0.0,0.0
Time,2.0,0.019165145623400003,2.0,0.029780564263299995
Democratic,2.0,0.0190461074518,0.0,0.0
Disney,1.0,0.0174192524403,2.0,0.0266457680251
ABC News,1.0,0.0169034203635,1.0,0.007836990595609999
Alabama Senate,1.0,0.0167843821919,0.0,0.0
Weinstein Company,1.0,0.0166256646298,1.0,0.009404388714729999
POLITICO,1.0,0.016387588286600002,0.0,0.0
U.S. Senate,1.0,0.0163479088961,0.0,0.0
PBS,1.0,0.0163479088961,1.0,0.0141065830721
