term,a1_bin,a1_perc,a2_bin,a2_perc
Harvey Weinstein,3.0,0.23752083168000002,3.0,0.21630094043900003
Donald Trump,2.0,0.155543210856,1.0,0.07680250783699999
Trump,2.0,0.109951591144,2.0,0.103448275862
Al Franken,1.0,0.0793984604396,1.0,0.0344827586207
Roy Moore,1.0,0.07610507102610001,1.0,0.012539184953
Hillary Clinton,1.0,0.0649154828982,1.0,0.029780564263299995
Kevin Spacey,1.0,0.046107451789499994,1.0,0.07680250783699999
Bill Clinton,1.0,0.044440917387499994,1.0,0.00470219435737
Brett Kavanaugh,1.0,0.0426553448139,1.0,0.00626959247649
Matt Lauer,1.0,0.042060153956000004,1.0,0.0282131661442
John Conyers,1.0,0.04166336005080001,0.0,0.0
Barack Obama,1.0,0.039639711134,1.0,0.0188087774295
Mitch McConnell,1.0,0.0384096500278,1.0,0.00470219435737
Roger Ailes,1.0,0.0352352987858,1.0,0.009404388714729999
Fox,1.0,0.035155940004800004,1.0,0.025078369906
Nancy Pelosi,1.0,0.03479882549,0.0,0.0
Christine Blasey Ford,1.0,0.034759146099499996,0.0,0.0
Clarence Thomas,1.0,0.0343226728037,1.0,0.007836990595609999
Anita Hill,1.0,0.034203634632200004,1.0,0.007836990595609999
Paul Ryan,1.0,0.0317831918102,0.0,0.0
Charlie Rose,1.0,0.0309102452186,1.0,0.0219435736677
Kirsten Gillibrand,1.0,0.0291643520356,0.0,0.0
Obama,1.0,0.0288865963019,1.0,0.0219435736677
Doug Jones,1.0,0.0248789778589,1.0,0.007836990595609999
Robert Mueller,1.0,0.024839298468400002,1.0,0.007836990595609999
Blake Farenthold,1.0,0.0235298785811,0.0,0.0
Rose McGowan,1.0,0.0234505198,0.0,0.0
Louis C.K.,1.0,0.0206729624633,1.0,0.0924764890282
Chuck Schumer,1.0,0.019561939528599998,1.0,0.009404388714729999
Jeff Flake,1.0,0.019284183794900003,1.0,0.007836990595609999
Jackie Speier,1.0,0.0191254662328,0.0,0.0
George W. Bush,1.0,0.0190064280613,0.0,0.0
Mark Halperin,1.0,0.0188477104992,1.0,0.00470219435737
Dianne Feinstein,1.0,0.0185699547655,0.0,0.0
Ashley Judd,1.0,0.018530275375000002,1.0,0.0172413793103
Jeff Sessions,1.0,0.0184905959844,1.0,0.00626959247649
Gretchen Carlson,1.0,0.018411237203400002,1.0,0.00470219435737
Ronan Farrow,1.0,0.018411237203400002,1.0,0.009404388714729999
Bill Cosby,1.0,0.0182128402508,1.0,0.025078369906
Steve Bannon,1.0,0.0167447028014,1.0,0.010971786833899998
Bernie Sanders,1.0,0.0163479088961,0.0,0.0
Susan Collins,1.0,0.0163082295056,0.0,0.0
Bill O'Reilly,1.0,0.0160701531624,0.0,0.0
James Toback,1.0,0.0159907943814,0.0,0.0
Sarah Huckabee Sanders,1.0,0.015752718038299997,0.0,0.0
Leeann Tweeden,1.0,0.015752718038299997,0.0,0.0
Monica Lewinsky,1.0,0.0154749623046,1.0,0.00470219435737
Chuck Grassley,1.0,0.0151178477899,0.0,0.0
Trent Franks,1.0,0.0147607332751,0.0,0.0
Weinstein,1.0,0.0143639393699,1.0,0.012539184953
Sean Hannity,1.0,0.0139274660741,0.0,0.0
Mike Pence,1.0,0.0136497103404,1.0,0.009404388714729999
Brett Ratner,1.0,0.0136100309499,1.0,0.00470219435737
Joe Biden,1.0,0.0135306721689,0.0,0.0
Vladimir Putin,1.0,0.013451313387799998,0.0,0.0
Oprah Winfrey,1.0,0.013252916435200001,1.0,0.0454545454545
Tarana Burke,1.0,0.013014840092100001,1.0,0.0266457680251
Elizabeth Warren,1.0,0.0126974049679,0.0,0.0
Lindsey Graham,1.0,0.012221252281599999,0.0,0.0
Les Moonves,1.0,0.012181572891,1.0,0.00470219435737
Kellyanne Conway,1.0,0.0120228553289,1.0,0.00626959247649
Stephen Colbert,1.0,0.0120228553289,1.0,0.0313479623824
Paula  Jones,1.0,0.0114673438616,0.0,0.0
Travis Kalanick,1.0,0.011348305690000001,0.0,0.0
John McCain,1.0,0.0112292675185,1.0,0.009404388714729999
Seth Meyers,1.0,0.011110229346900001,1.0,0.0658307210031
Woody Allen,1.0,0.011110229346900001,1.0,0.0219435736677
Anthony Rapp,1.0,0.011070549956399998,0.0,0.0
Bob Corker,1.0,0.0107927942227,0.0,0.0
Dustin Hoffman,1.0,0.0107927942227,1.0,0.00626959247649
Alyssa Milano,1.0,0.010753114832200001,0.0,0.0
Ivanka Trump,1.0,0.0105943972701,1.0,0.00626959247649
Ruben Kihuen,1.0,0.0105547178795,0.0,0.0
Amy Klobuchar,1.0,0.0105547178795,1.0,0.00470219435737
John Kelly,1.0,0.010515038489000001,1.0,0.00470219435737
Rupert Murdoch,1.0,0.010435679708,1.0,0.009404388714729999
Reese Witherspoon,1.0,0.0103563209269,1.0,0.061128526645800006
Paul Manafort,1.0,0.010316641536399999,0.0,0.0
Kamala Harris,1.0,0.0102769621459,0.0,0.0
Steve Wynn,1.0,0.010237282755299998,0.0,0.0
Ted Cruz,1.0,0.010197603364799999,0.0,0.0
Jared Kushner,1.0,0.010197603364799999,0.0,0.0
Michael Cohen,1.0,0.0101579239743,0.0,0.0
Orrin Hatch,1.0,0.0100785651932,0.0,0.0
Eric Schneiderman,1.0,0.009999206412190001,1.0,0.00626959247649
Kelly,1.0,0.00984048885009,1.0,0.00470219435737
Mario Batali,1.0,0.00984048885009,1.0,0.010971786833899998
Bob Weinstein,1.0,0.00964209189747,0.0,0.0
Jimmy Kimmel,1.0,0.00948337433537,1.0,0.0188087774295
Lisa Murkowski,1.0,0.00928497738275,0.0,0.0
Megyn Kelly,1.0,0.00928497738275,1.0,0.007836990595609999
James Comey,1.0,0.00924529799222,1.0,0.00470219435737
Cory Booker,1.0,0.00924529799222,0.0,0.0
Gloria Allred,1.0,0.009046901039600002,0.0,0.0
Clintons,1.0,0.008888183477499999,0.0,0.0
Clinton,1.0,0.00880882469645,0.0,0.0
Melania Trump,1.0,0.00880882469645,1.0,0.009404388714729999
Ronald Reagan,1.0,0.0087294659154,0.0,0.0
George H.W. Bush,1.0,0.0087294659154,0.0,0.0
Michael Flynn,1.0,0.00865010713435,0.0,0.0
BuzzFeed,1.0,0.00861042774383,0.0,0.0
John Conyers Jr.,1.0,0.008531068962779999,0.0,0.0
Jeffrey Tambor,1.0,0.00849138957226,1.0,0.0141065830721
Kim Jong Un,1.0,0.00833267201016,1.0,0.00470219435737
Angelina Jolie,1.0,0.00825331322911,1.0,0.012539184953
Theresa May,1.0,0.00817395444806,0.0,0.0
HuffPost,1.0,0.00813427505754,1.0,0.009404388714729999
Barbara Comstock,1.0,0.00813427505754,0.0,0.0
Bill O’Reilly,1.0,0.00813427505754,0.0,0.0
Dara Khosrowshahi,1.0,0.008094595667009999,0.0,0.0
Leslie Moonves,1.0,0.00805491627649,0.0,0.0
Rex Tillerson,1.0,0.00801523688596,0.0,0.0
Bill Shine,1.0,0.00789619871439,0.0,0.0
Andrew Cuomo,1.0,0.00781683993334,0.0,0.0
Susan Fowler,1.0,0.00777716054281,0.0,0.0
James Franco,1.0,0.00773748115229,2.0,0.180250783699
Larry Nassar,1.0,0.0076184429807200004,1.0,0.0156739811912
Jennifer Lawrence,1.0,0.00757876359019,1.0,0.0172413793103
Breitbart,1.0,0.00757876359019,1.0,0.007836990595609999
Meryl Streep,1.0,0.007499404809140001,1.0,0.051724137931
Claire McCaskill,1.0,0.007340687247040001,0.0,0.0
Mitt Romney,1.0,0.007340687247040001,0.0,0.0
Lupita Nyong,1.0,0.007261328465989999,1.0,0.0156739811912
Anthony Kennedy,1.0,0.00722164907547,0.0,0.0
Marco Rubio,1.0,0.00718196968495,0.0,0.0
Patty Murray,1.0,0.00718196968495,0.0,0.0
Josh Dawsey,1.0,0.00718196968495,0.0,0.0
Rob Porter,1.0,0.00718196968495,0.0,0.0
Neil Gorsuch,1.0,0.007102610903899999,0.0,0.0
Mazie Hirono,1.0,0.007102610903899999,0.0,0.0
Jodi Kantor,1.0,0.007102610903899999,1.0,0.00470219435737
Ben Affleck,1.0,0.00706293151337,1.0,0.009404388714729999
Frances McDormand,1.0,0.00702325212285,2.0,0.112852664577
Brett M. Kavanaugh,1.0,0.00702325212285,0.0,0.0
Mira Sorvino,1.0,0.006983572732319999,1.0,0.00626959247649
Sarah Sanders,1.0,0.00686453456075,0.0,0.0
Joe Manchin,1.0,0.00686453456075,0.0,0.0
Donald Trump Jr.,1.0,0.006824855170220001,0.0,0.0
