term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,10.0,0.506666137608,7.0,0.327586206897
sex crimes,10.0,0.498412824379,7.0,0.316614420063
politics and government,8.0,0.380922149036,2.0,0.100313479624
women,7.0,0.334497262122,5.0,0.22257053291499998
sexual harassment,4.0,0.195857471629,1.0,0.0156739811912
ethics,4.0,0.167605745576,1.0,0.0188087774295
united states politics and government,4.0,0.165463058487,1.0,0.047021943573699994
television,3.0,0.11959368304099999,6.0,0.271159874608
motion pictures,3.0,0.118681057059,7.0,0.316614420063
elections,3.0,0.105388461233,1.0,0.0141065830721
news and news media,3.0,0.103166415364,1.0,0.0391849529781
suits and litigation,2.0,0.100825331323,1.0,0.009404388714729999
"suspensions, dismissals and resignations",2.0,0.0918577890644,0.0,0.0
labor,2.0,0.09062772795810001,1.0,0.00626959247649
finances,2.0,0.08304896436789999,1.0,0.0156739811912
discrimination,2.0,0.08114435362269999,1.0,0.0172413793103
media,2.0,0.0720577731926,1.0,0.029780564263299995
computers and the internet,2.0,0.0629711927625,2.0,0.0579937304075
biographical information,2.0,0.0617014522657,1.0,0.036050156739800006
law and legislation,2.0,0.0511467343862,1.0,0.012539184953
sex,1.0,0.0409888104119,3.0,0.10658307210000001
education and schools,1.0,0.0406713752877,1.0,0.0313479623824
medicine and health,1.0,0.0342829934132,1.0,0.037617554858900004
books and literature,1.0,0.0291643520356,2.0,0.0658307210031
appointments and executive changes,1.0,0.023093405285299996,0.0,0.0
blacks,1.0,0.0197603364812,1.0,0.025078369906
colleges and universities,1.0,0.0174589318308,1.0,0.010971786833899998
reviews,1.0,0.0173795730498,3.0,0.12539184953
presidents and presidency (us),1.0,0.0173398936592,0.0,0.0
"awards, decorations and honors",1.0,0.0167843821919,3.0,0.130094043887
"armament, defense and military forces",1.0,0.015355924132999998,1.0,0.010971786833899998
homosexuality,1.0,0.0148797714467,1.0,0.007836990595609999
legislatures and parliaments,1.0,0.014840092056200002,0.0,0.0
taxation,1.0,0.0138877866836,0.0,0.0
advertising and marketing,1.0,0.013133878263600001,1.0,0.007836990595609999
children and youth,1.0,0.0128958019205,1.0,0.007836990595609999
music,1.0,0.0127370843584,1.0,0.010971786833899998
international relations,1.0,0.012260931672100002,1.0,0.009404388714729999
religion and churches,1.0,0.0119831759384,0.0,0.0
apparel,1.0,0.011149908737399999,1.0,0.0172413793103
theater,1.0,0.011070549956399998,2.0,0.064263322884
decisions and verdicts,1.0,0.010832473613200002,0.0,0.0
prostitution,1.0,0.0104753590985,1.0,0.010971786833899998
wages and salaries,1.0,0.00988016824062,0.0,0.0
"mergers, acquisitions and divestitures",1.0,0.00960241250694,0.0,0.0
child abuse and neglect,1.0,0.00880882469645,1.0,0.00470219435737
football,1.0,0.00849138957226,1.0,0.00470219435737
festivals,1.0,0.008094595667009999,1.0,0.007836990595609999
primaries,1.0,0.00789619871439,0.0,0.0
united states armament and defense,1.0,0.00789619871439,0.0,0.0
election issues,1.0,0.00769780176176,0.0,0.0
united states international relations,1.0,0.0076581223712399995,1.0,0.00470219435737
restaurants,1.0,0.0076581223712399995,0.0,0.0
public opinion,1.0,0.00757876359019,0.0,0.0
presidential elections (us),1.0,0.007261328465989999,0.0,0.0
christians and christianity,1.0,0.00702325212285,0.0,0.0
immigration and refugees,1.0,0.006824855170220001,1.0,0.012539184953
budgets and budgeting,1.0,0.006705816998649999,0.0,0.0
lobbying and lobbyists,1.0,0.0066264582176000005,0.0,0.0
academy awards (oscars),1.0,0.006547099436550001,1.0,0.0313479623824
editorials,1.0,0.006309023093409999,0.0,0.0
food,1.0,0.006229664312359999,0.0,0.0
terrorism,1.0,0.00595190857868,1.0,0.00626959247649
courts,1.0,0.00587254979764,0.0,0.0
