term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,10.0,0.18149353225900003,4.0,0.0712704736609
New York Times,10.0,0.17931116577999998,7.0,0.125719344843
Congress,9.0,0.166018569955,3.0,0.049579459938
White House,7.0,0.116855805095,4.0,0.06994245241260001
House,7.0,0.116062217284,2.0,0.0270030987162
Washington Post,6.0,0.110030949925,4.0,0.0668437361664
CNN,6.0,0.0995952702166,4.0,0.07259849490930001
Fox News,5.0,0.0916990715023,5.0,0.083222664896
Supreme Court,5.0,0.086461391953,6.0,0.0996015936255
GOP,5.0,0.08535036901830001,2.0,0.0358565737052
NBC,5.0,0.0787635901913,4.0,0.0734838424081
Facebook,4.0,0.06340766605819999,3.0,0.050464807436899996
Associated Press,4.0,0.061264978969900005,5.0,0.0916334661355
CBS,4.0,0.060590429331,3.0,0.0478087649402
Reuters,3.0,0.056622490278500005,4.0,0.0650730411687
FBI,3.0,0.053606856598699994,3.0,0.04825143868969999
AP,3.0,0.053448139036600006,5.0,0.0779105799026
Times,3.0,0.0457503372748,2.0,0.0256750774679
NBC News,3.0,0.0442028410444,2.0,0.0323151837096
Senate Judiciary Committee,2.0,0.0367431156257,2.0,0.036299247454599996
Netflix,2.0,0.0338465201175,3.0,0.0424966799469
Trump,2.0,0.0333306880406,2.0,0.0199203187251
Ford,2.0,0.0328942147449,2.0,0.034971226206300006
ABC,2.0,0.0324577414491,2.0,0.0327578574591
Los Angeles Times,2.0,0.0311880009523,2.0,0.020362992474499998
Google,2.0,0.0299976192366,1.0,0.0190349712262
Republican,2.0,0.029838901674500002,1.0,0.011952191235100001
Bloomberg,2.0,0.029045313864000003,1.0,0.00796812749004
Amazon,2.0,0.0288469169114,1.0,0.0163789287295
MSNBC,2.0,0.0278549321482,2.0,0.0301018149624
Wall Street Journal,2.0,0.027815252757700002,1.0,0.015493581230600002
CBS News,2.0,0.0247599396873,2.0,0.021691013722900002
Justice Department,2.0,0.024561542734699997,1.0,0.015493581230600002
Democratic Party,2.0,0.024204428219999997,1.0,0.00796812749004
Post,2.0,0.024006031267400002,1.0,0.00885347498893
Republican Party,2.0,0.0232521228474,1.0,0.00619743249225
Capitol Hill,2.0,0.0232521228474,1.0,0.0110668437362
Judiciary Committee,2.0,0.021783985398,1.0,0.0132802124834
Politico,2.0,0.0213475121022,1.0,0.00885347498893
NFL,2.0,0.0213078327117,1.0,0.015493581230600002
Trump administration,2.0,0.0208713594159,1.0,0.011952191235100001
NPR,2.0,0.020752321244299998,1.0,0.0106241699867
HBO,2.0,0.020633283072799997,2.0,0.021691013722900002
House of Representatives,2.0,0.019998412824400003,1.0,0.00309871624613
Time,2.0,0.019165145623400003,1.0,0.014608233731700001
Democratic,1.0,0.0190461074518,1.0,0.00398406374502
Disney,1.0,0.0174192524403,1.0,0.0141655599823
ABC News,1.0,0.0169034203635,1.0,0.0123948649845
Alabama Senate,1.0,0.0167843821919,1.0,0.00398406374502
Weinstein Company,1.0,0.0166256646298,1.0,0.015493581230600002
POLITICO,1.0,0.016387588286600002,0.0,0.0
U.S. Senate,1.0,0.0163479088961,1.0,0.00708277999115
PBS,1.0,0.0163479088961,1.0,0.00841080123949
House Judiciary Committee,1.0,0.0160701531624,1.0,0.00354138999557
House Ethics Committee,1.0,0.015673359257200002,0.0,0.0
Vanity Fair,1.0,0.015395603523500001,1.0,0.0115095174856
USA TODAY,1.0,0.014681374494100001,1.0,0.0185922974768
CNBC,1.0,0.0140861836362,1.0,0.00309871624613
Harvard,1.0,0.0140465042457,1.0,0.0123948649845
Vox,1.0,0.013967145464600001,1.0,0.00841080123949
BBC,1.0,0.013689389731,1.0,0.00619743249225
Weinstein Co.,1.0,0.0134909927784,1.0,0.005312084993359999
State,1.0,0.0131735576542,1.0,0.0048694112439099995
Facebook post,1.0,0.013094198873100002,1.0,0.00885347498893
United Nations,1.0,0.01285612253,1.0,0.00885347498893
Republican National Committee,1.0,0.012618046186799998,1.0,0.0066401062417
YouTube,1.0,0.0125386874058,1.0,0.015936254980099998
Miramax,1.0,0.0123799698437,1.0,0.0141655599823
BuzzFeed News,1.0,0.0123799698437,1.0,0.00575475874281
Treasury,1.0,0.012221252281599999,1.0,0.00354138999557
Fox,1.0,0.0114276644711,1.0,0.00309871624613
Amazon Studios,1.0,0.0114276644711,1.0,0.0106241699867
EEOC,1.0,0.011189588127899998,1.0,0.00354138999557
State Department,1.0,0.011070549956399998,1.0,0.00885347498893
Pentagon,1.0,0.011030870565799999,1.0,0.00575475874281
CBS Interactive Inc,1.0,0.011030870565799999,1.0,0.0123948649845
RNC,1.0,0.0109515117848,1.0,0.0048694112439099995
Academy of Motion Picture Arts and Sciences,1.0,0.010832473613200002,2.0,0.0301018149624
ESPN,1.0,0.0106340766606,1.0,0.004426737494470001
CIA,1.0,0.00995952702166,1.0,0.00841080123949
New York Post,1.0,0.00991984763114,1.0,0.014608233731700001
DNC,1.0,0.00984048885009,0.0,0.0
Yale,1.0,0.009761130069040001,2.0,0.022576361221799998
Democratic National Committee,1.0,0.009761130069040001,0.0,0.0
Microsoft,1.0,0.009761130069040001,1.0,0.004426737494470001
Equal Employment Opportunity Commission,1.0,0.00952305372589,1.0,0.00309871624613
U.S. Supreme Court,1.0,0.009443694944850001,1.0,0.00796812749004
U.N.,1.0,0.009364336163799999,1.0,0.0132802124834
Apple,1.0,0.009364336163799999,1.0,0.0048694112439099995
Hollywood,1.0,0.0087294659154,1.0,0.0106241699867
EPA,1.0,0.00861042774383,1.0,0.0075254537405900004
WSJ,1.0,0.00861042774383,0.0,0.0
Uber,1.0,0.008531068962779999,0.0,0.0
Warner Bros.,1.0,0.00849138957226,1.0,0.00575475874281
Daily News,1.0,0.00833267201016,1.0,0.0115095174856
New Yorker,1.0,0.00829299261963,1.0,0.0132802124834
Navy,1.0,0.00825331322911,1.0,0.00708277999115
Fox News host,1.0,0.008094595667009999,1.0,0.00398406374502
European Union,1.0,0.00805491627649,0.0,0.0
USA Today,1.0,0.00777716054281,1.0,0.00841080123949
DOJ,1.0,0.00773748115229,1.0,0.00354138999557
Twitter,1.0,0.0076581223712399995,1.0,0.00398406374502
McDonald,1.0,0.00730100785652,1.0,0.004426737494470001
House Intelligence Committee,1.0,0.007261328465989999,1.0,0.004426737494470001
NBA,1.0,0.00718196968495,1.0,0.005312084993359999
Medicare,1.0,0.007102610903899999,1.0,0.00309871624613
Boston Globe,1.0,0.00702325212285,1.0,0.00619743249225
House Administration Committee,1.0,0.0069042139512700005,0.0,0.0
Trump White House,1.0,0.0069042139512700005,1.0,0.0026560424966799996
Ethics Committee,1.0,0.0069042139512700005,0.0,0.0
Senate Ethics Committee,1.0,0.0069042139512700005,0.0,0.0
Defense,1.0,0.0067851757797,1.0,0.00309871624613
Time magazine,1.0,0.00674549638918,0.0,0.0
Breitbart News,1.0,0.006705816998649999,1.0,0.00398406374502
