term,a1_bin,a1_perc,a2_bin,a2_perc
Harvey Weinstein,3.0,0.23752083168000002,3.0,0.24966799468800002
Donald Trump,2.0,0.155543210856,2.0,0.137228862328
Trump,2.0,0.109951591144,1.0,0.0721558211598
Al Franken,1.0,0.0793984604396,1.0,0.029659141212900003
Roy Moore,1.0,0.07610507102610001,1.0,0.0301018149624
Hillary Clinton,1.0,0.0649154828982,1.0,0.04736609119080001
Kevin Spacey,1.0,0.046107451789499994,1.0,0.0579902611775
Bill Clinton,1.0,0.044440917387499994,1.0,0.045595396193
Brett Kavanaugh,1.0,0.0426553448139,1.0,0.0748118636565
Matt Lauer,1.0,0.042060153956000004,1.0,0.04426737494469999
John Conyers,1.0,0.04166336005080001,1.0,0.0066401062417
Barack Obama,1.0,0.039639711134,1.0,0.020805666224
Mitch McConnell,1.0,0.0384096500278,1.0,0.0132802124834
Roger Ailes,1.0,0.0352352987858,1.0,0.04825143868969999
Fox,1.0,0.035155940004800004,1.0,0.025232403718500003
Nancy Pelosi,1.0,0.03479882549,1.0,0.00973882248783
Christine Blasey Ford,1.0,0.034759146099499996,1.0,0.046923417441300005
Clarence Thomas,1.0,0.0343226728037,1.0,0.020362992474499998
Anita Hill,1.0,0.034203634632200004,1.0,0.021691013722900002
Paul Ryan,1.0,0.0317831918102,1.0,0.00885347498893
Charlie Rose,1.0,0.0309102452186,1.0,0.0367419212041
Kirsten Gillibrand,1.0,0.0291643520356,1.0,0.00398406374502
Obama,1.0,0.0288865963019,1.0,0.0190349712262
Doug Jones,1.0,0.0248789778589,1.0,0.0048694112439099995
Robert Mueller,1.0,0.024839298468400002,1.0,0.0190349712262
Blake Farenthold,1.0,0.0235298785811,0.0,0.0
Rose McGowan,1.0,0.0234505198,1.0,0.020805666224
Louis C.K.,1.0,0.0206729624633,1.0,0.0340858787074
Chuck Schumer,1.0,0.019561939528599998,1.0,0.00575475874281
Jeff Flake,1.0,0.019284183794900003,1.0,0.0163789287295
Jackie Speier,1.0,0.0191254662328,1.0,0.00398406374502
George W. Bush,1.0,0.0190064280613,1.0,0.0141655599823
Mark Halperin,1.0,0.0188477104992,1.0,0.0137228862328
Dianne Feinstein,1.0,0.0185699547655,1.0,0.00708277999115
Ashley Judd,1.0,0.018530275375000002,1.0,0.0185922974768
Jeff Sessions,1.0,0.0184905959844,1.0,0.011952191235100001
Gretchen Carlson,1.0,0.018411237203400002,1.0,0.0110668437362
Ronan Farrow,1.0,0.018411237203400002,1.0,0.019477644975700002
Bill Cosby,1.0,0.0182128402508,10.0,0.915006640106
Steve Bannon,1.0,0.0167447028014,1.0,0.00708277999115
Bernie Sanders,1.0,0.0163479088961,1.0,0.00619743249225
Susan Collins,1.0,0.0163082295056,1.0,0.00619743249225
Bill O'Reilly,1.0,0.0160701531624,1.0,0.0177069499779
James Toback,1.0,0.0159907943814,1.0,0.0185922974768
Sarah Huckabee Sanders,1.0,0.015752718038299997,1.0,0.009296148738379998
Leeann Tweeden,1.0,0.015752718038299997,0.0,0.0
Monica Lewinsky,1.0,0.0154749623046,1.0,0.010181496237299999
Chuck Grassley,1.0,0.0151178477899,1.0,0.0075254537405900004
Trent Franks,1.0,0.0147607332751,0.0,0.0
Weinstein,1.0,0.0143639393699,1.0,0.0115095174856
Sean Hannity,1.0,0.0139274660741,1.0,0.00796812749004
Mike Pence,1.0,0.0136497103404,1.0,0.0026560424966799996
Brett Ratner,1.0,0.0136100309499,1.0,0.0185922974768
Joe Biden,1.0,0.0135306721689,1.0,0.005312084993359999
Vladimir Putin,1.0,0.013451313387799998,1.0,0.0066401062417
Oprah Winfrey,1.0,0.013252916435200001,1.0,0.00885347498893
Tarana Burke,1.0,0.013014840092100001,1.0,0.016821602479
Elizabeth Warren,1.0,0.0126974049679,1.0,0.00398406374502
Lindsey Graham,1.0,0.012221252281599999,1.0,0.0163789287295
Les Moonves,1.0,0.012181572891,1.0,0.00885347498893
Kellyanne Conway,1.0,0.0120228553289,1.0,0.0132802124834
Stephen Colbert,1.0,0.0120228553289,1.0,0.00973882248783
Paula  Jones,1.0,0.0114673438616,1.0,0.00575475874281
Travis Kalanick,1.0,0.011348305690000001,1.0,0.00354138999557
John McCain,1.0,0.0112292675185,1.0,0.00398406374502
Seth Meyers,1.0,0.011110229346900001,1.0,0.00708277999115
Woody Allen,1.0,0.011110229346900001,1.0,0.0265604249668
Anthony Rapp,1.0,0.011070549956399998,1.0,0.00796812749004
Bob Corker,1.0,0.0107927942227,1.0,0.0048694112439099995
Dustin Hoffman,1.0,0.0107927942227,1.0,0.0075254537405900004
Alyssa Milano,1.0,0.010753114832200001,1.0,0.0115095174856
Ivanka Trump,1.0,0.0105943972701,1.0,0.009296148738379998
Ruben Kihuen,1.0,0.0105547178795,0.0,0.0
Amy Klobuchar,1.0,0.0105547178795,1.0,0.004426737494470001
John Kelly,1.0,0.010515038489000001,1.0,0.00973882248783
Rupert Murdoch,1.0,0.010435679708,0.0,0.0
Reese Witherspoon,1.0,0.0103563209269,0.0,0.0
Paul Manafort,1.0,0.010316641536399999,1.0,0.00619743249225
Kamala Harris,1.0,0.0102769621459,1.0,0.00354138999557
Steve Wynn,1.0,0.010237282755299998,1.0,0.0132802124834
Ted Cruz,1.0,0.010197603364799999,1.0,0.004426737494470001
Jared Kushner,1.0,0.010197603364799999,1.0,0.0048694112439099995
Michael Cohen,1.0,0.0101579239743,1.0,0.018149623727299998
Orrin Hatch,1.0,0.0100785651932,1.0,0.00796812749004
Eric Schneiderman,1.0,0.009999206412190001,1.0,0.00708277999115
Kelly,1.0,0.00984048885009,1.0,0.00398406374502
Mario Batali,1.0,0.00984048885009,1.0,0.009296148738379998
Bob Weinstein,1.0,0.00964209189747,1.0,0.0075254537405900004
Jimmy Kimmel,1.0,0.00948337433537,1.0,0.0075254537405900004
Lisa Murkowski,1.0,0.00928497738275,1.0,0.00619743249225
Megyn Kelly,1.0,0.00928497738275,1.0,0.00398406374502
