term,a1_bin,a1_perc,a2_bin,a2_perc
harassment assault,3.0,0.055999999999999994,0.0,0.0
harassment allegations,3.0,0.043,0.0,0.0
harvey weinstein,2.0,0.04,0.0,0.0
allegations harassment,2.0,0.035,0.0,0.0
sexually assaulted,1.0,0.019,1.0,0.017
harassment complaints,1.0,0.019,0.0,0.0
sexually harassed,1.0,0.018000000000000002,0.0,0.0
producer harvey,1.0,0.015,0.0,0.0
misconduct allegations,1.0,0.013999999999999999,1.0,0.008
allegations misconduct,1.0,0.013999999999999999,1.0,0.005
sexually harassing,1.0,0.013000000000000001,0.0,0.0
los angeles,1.0,0.013000000000000001,0.0,0.0
assault harassment,1.0,0.013000000000000001,0.0,0.0
workplace harassment,1.0,0.012,0.0,0.0
accusations harassment,1.0,0.012,0.0,0.0
harassment misconduct,1.0,0.01,0.0,0.0
harassment discrimination,1.0,0.01,0.0,0.0
harassment abuse,1.0,0.01,0.0,0.0
unwanted advances,1.0,0.009000000000000001,0.0,0.0
harassment workplace,1.0,0.008,0.0,0.0
allegations assault,1.0,0.008,1.0,0.006999999999999999
weinstein harassment,1.0,0.006999999999999999,0.0,0.0
victims harassment,1.0,0.006999999999999999,0.0,0.0
senate harassment,1.0,0.006999999999999999,0.0,0.0
roy moore,1.0,0.006999999999999999,0.0,0.0
matt lauer,1.0,0.006999999999999999,0.0,0.0
john conyers,1.0,0.006999999999999999,0.0,0.0
harassment violence,1.0,0.006999999999999999,0.0,0.0
donald trump,1.0,0.006999999999999999,1.0,0.02
weinstein scandal,1.0,0.006,0.0,0.0
survivors harassment,1.0,0.005,0.0,0.0
survivors assault,1.0,0.005,1.0,0.001
supreme nominee,1.0,0.005,5.0,0.081
sexually assaulting,1.0,0.005,1.0,0.006999999999999999
sexually abused,1.0,0.005,0.0,0.0
senate judiciary,1.0,0.005,3.0,0.044000000000000004
roger ailes,1.0,0.005,0.0,0.0
media harassment,1.0,0.005,0.0,0.0
judge alex,1.0,0.005,0.0,0.0
