term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,7.0,0.506666137608,6.0,0.44210302256300005
sex crimes,7.0,0.498412824379,6.0,0.411167872854
politics and government,6.0,0.380922149036,10.0,0.761316872428
women,5.0,0.334497262122,2.0,0.096991627643
sexual harassment,3.0,0.195857471629,1.0,0.00908187881368
ethics,3.0,0.167605745576,2.0,0.125940116362
united states politics and government,3.0,0.165463058487,6.0,0.42507449978699996
television,2.0,0.11959368304099999,1.0,0.025471831985200002
motion pictures,2.0,0.118681057059,1.0,0.004895700298
elections,2.0,0.105388461233,3.0,0.19064850290899998
news and news media,2.0,0.103166415364,1.0,0.0512274726834
suits and litigation,2.0,0.100825331323,1.0,0.0368241805023
"suspensions, dismissals and resignations",2.0,0.0918577890644,1.0,0.00695331346672
labor,2.0,0.09062772795810001,1.0,0.00752093089258
finances,2.0,0.08304896436789999,1.0,0.035192280403
discrimination,2.0,0.08114435362269999,1.0,0.0132680573294
media,1.0,0.0720577731926,1.0,0.0346956151554
computers and the internet,1.0,0.0629711927625,1.0,0.025897545054599996
biographical information,1.0,0.0617014522657,1.0,0.0593160210018
law and legislation,1.0,0.0511467343862,1.0,0.0427841634738
sex,1.0,0.0409888104119,0.0,0.0
education and schools,1.0,0.0406713752877,1.0,0.0687526607067
medicine and health,1.0,0.0342829934132,1.0,0.029019440896799996
books and literature,1.0,0.0291643520356,1.0,0.0114942528736
appointments and executive changes,1.0,0.023093405285299996,3.0,0.202852277565
blacks,1.0,0.0197603364812,1.0,0.0183056619838
colleges and universities,1.0,0.0174589318308,1.0,0.0227046970342
reviews,1.0,0.0173795730498,1.0,0.00234142188165
presidents and presidency (us),1.0,0.0173398936592,1.0,0.035263232581199996
"awards, decorations and honors",1.0,0.0167843821919,0.0,0.0
"armament, defense and military forces",1.0,0.015355924132999998,1.0,0.0080175961402
homosexuality,1.0,0.0148797714467,1.0,0.00908187881368
legislatures and parliaments,1.0,0.014840092056200002,1.0,0.00446998722861
