term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,3.0,0.18149353225900003,7.0,0.559923720111
New York Times,3.0,0.17931116577999998,2.0,0.117206982544
Congress,3.0,0.166018569955,2.0,0.130115886754
White House,2.0,0.116855805095,4.0,0.271086988411
House,2.0,0.116062217284,1.0,0.050168695907300005
Washington Post,2.0,0.110030949925,3.0,0.17705735660799998
CNN,2.0,0.0995952702166,2.0,0.141117793751
Fox News,2.0,0.0916990715023,2.0,0.122634589996
Supreme Court,2.0,0.086461391953,10.0,0.8025524424230001
GOP,2.0,0.08535036901830001,3.0,0.188792724072
NBC,1.0,0.0787635901913,1.0,0.04430101217540001
Facebook,1.0,0.06340766605819999,1.0,0.031245415872100002
Associated Press,1.0,0.061264978969900005,1.0,0.0353527944844
CBS,1.0,0.060590429331,1.0,0.03960686519
Reuters,1.0,0.056622490278500005,1.0,0.042687399149199994
FBI,1.0,0.053606856598699994,5.0,0.399589262139
AP,1.0,0.053448139036600006,1.0,0.0362329470442
Times,1.0,0.0457503372748,1.0,0.017309667008900003
NBC News,1.0,0.0442028410444,1.0,0.043567551709
Senate Judiciary Committee,1.0,0.0367431156257,8.0,0.581927534106
Netflix,1.0,0.0338465201175,1.0,0.0038139944256999994
Trump,1.0,0.0333306880406,1.0,0.028898342379299998
Ford,1.0,0.0328942147449,8.0,0.620947630923
ABC,1.0,0.0324577414491,1.0,0.0209769693414
Los Angeles Times,1.0,0.0311880009523,1.0,0.00425407070559
Google,1.0,0.0299976192366,1.0,0.0123221358369
Republican,1.0,0.029838901674500002,1.0,0.06351767639719999
Bloomberg,1.0,0.029045313864000003,1.0,0.014375825142999999
Amazon,1.0,0.0288469169114,1.0,0.007334604664810001
MSNBC,1.0,0.0278549321482,1.0,0.0274314214464
Wall Street Journal,1.0,0.027815252757700002,1.0,0.0266979609799
CBS News,1.0,0.0247599396873,1.0,0.0209769693414
Justice Department,1.0,0.024561542734699997,1.0,0.0324189526185
Democratic Party,1.0,0.024204428219999997,1.0,0.0189232800352
Post,1.0,0.024006031267400002,1.0,0.031245415872100002
Republican Party,1.0,0.0232521228474,1.0,0.025231040046900004
