term,a1_bin,a1_perc,a2_bin,a2_perc
Harvey Weinstein,3.0,0.23752083168000002,1.0,0.019803432595
Donald Trump,2.0,0.155543210856,4.0,0.308200088015
Trump,2.0,0.109951591144,3.0,0.21783775854499998
Al Franken,1.0,0.0793984604396,1.0,0.00997506234414
Roy Moore,1.0,0.07610507102610001,1.0,0.0134956725832
Hillary Clinton,1.0,0.0649154828982,1.0,0.0441543200821
Kevin Spacey,1.0,0.046107451789499994,0.0,0.0
Bill Clinton,1.0,0.044440917387499994,1.0,0.038873404723499996
Brett Kavanaugh,1.0,0.0426553448139,9.0,0.826903329911
Matt Lauer,1.0,0.042060153956000004,1.0,0.00264045767933
John Conyers,1.0,0.04166336005080001,0.0,0.0
Barack Obama,1.0,0.039639711134,1.0,0.036526331230699996
Mitch McConnell,1.0,0.0384096500278,2.0,0.128942350007
Roger Ailes,1.0,0.0352352987858,1.0,0.00425407070559
Fox,1.0,0.035155940004800004,1.0,0.022443890274299997
Nancy Pelosi,1.0,0.03479882549,1.0,0.0108552149039
Christine Blasey Ford,1.0,0.034759146099499996,10.0,0.982396948804
Clarence Thomas,1.0,0.0343226728037,2.0,0.109285609506
Anita Hill,1.0,0.034203634632200004,2.0,0.10708522810599999
Paul Ryan,1.0,0.0317831918102,1.0,0.004400762798890001
Charlie Rose,1.0,0.0309102452186,1.0,0.0030805339592199998
Kirsten Gillibrand,1.0,0.0291643520356,1.0,0.013055596303399999
Obama,1.0,0.0288865963019,1.0,0.0168695907291
Doug Jones,1.0,0.0248789778589,1.0,0.0061610679184399995
Robert Mueller,1.0,0.024839298468400002,1.0,0.0180431274754
Blake Farenthold,1.0,0.0235298785811,0.0,0.0
Rose McGowan,1.0,0.0234505198,0.0,0.0
Louis C.K.,1.0,0.0206729624633,1.0,0.00293384186592
Chuck Schumer,1.0,0.019561939528599998,1.0,0.0359395628576
Jeff Flake,1.0,0.019284183794900003,2.0,0.17749743288800002
Jackie Speier,1.0,0.0191254662328,0.0,0.0
George W. Bush,1.0,0.0190064280613,1.0,0.03476602611119999
Mark Halperin,1.0,0.0188477104992,0.0,0.0
Dianne Feinstein,1.0,0.0185699547655,2.0,0.161654686812
Ashley Judd,1.0,0.018530275375000002,1.0,0.00249376558603
