term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,7.0,0.506666137608,10.0,0.7355141557870001
sex crimes,7.0,0.498412824379,10.0,0.698987824556
politics and government,6.0,0.380922149036,10.0,0.72451224879
women,5.0,0.334497262122,3.0,0.147132169576
sexual harassment,3.0,0.195857471629,1.0,0.0136423646765
ethics,3.0,0.167605745576,3.0,0.15798738448
united states politics and government,3.0,0.165463058487,6.0,0.38271967141
television,2.0,0.11959368304099999,1.0,0.0243508874872
motion pictures,2.0,0.118681057059,1.0,0.005574299545249999
elections,2.0,0.105388461233,2.0,0.12600850814099998
news and news media,2.0,0.103166415364,1.0,0.05779668475869999
suits and litigation,2.0,0.100825331323,1.0,0.0262578847
"suspensions, dismissals and resignations",2.0,0.0918577890644,1.0,0.00674783629162
labor,2.0,0.09062772795810001,1.0,0.00410737861229
finances,2.0,0.08304896436789999,1.0,0.0126155200235
discrimination,2.0,0.08114435362269999,1.0,0.0108552149039
media,1.0,0.0720577731926,1.0,0.0376998679771
computers and the internet,1.0,0.0629711927625,1.0,0.0239108112073
biographical information,1.0,0.0617014522657,1.0,0.0689452838492
law and legislation,1.0,0.0511467343862,1.0,0.0108552149039
sex,1.0,0.0409888104119,1.0,0.0023470734927399997
education and schools,1.0,0.0406713752877,2.0,0.10473815461300001
medicine and health,1.0,0.0342829934132,1.0,0.0199501246883
books and literature,1.0,0.0291643520356,1.0,0.00880152559777
appointments and executive changes,1.0,0.023093405285299996,3.0,0.150652779815
blacks,1.0,0.0197603364812,1.0,0.0120287516503
colleges and universities,1.0,0.0174589318308,1.0,0.0319788763386
reviews,1.0,0.0173795730498,0.0,0.0
presidents and presidency (us),1.0,0.0173398936592,1.0,0.0215637377145
"awards, decorations and honors",1.0,0.0167843821919,0.0,0.0
"armament, defense and military forces",1.0,0.015355924132999998,1.0,0.0036673023324
homosexuality,1.0,0.0148797714467,1.0,0.0036673023324
legislatures and parliaments,1.0,0.014840092056200002,1.0,0.0027871497726300004
taxation,1.0,0.0138877866836,1.0,0.00220038139944
advertising and marketing,1.0,0.013133878263600001,1.0,0.004400762798890001
children and youth,1.0,0.0128958019205,1.0,0.0242041953939
music,1.0,0.0127370843584,0.0,0.0
international relations,1.0,0.012260931672100002,1.0,0.00601437582514
