term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,10.0,0.18149353225900003,9.0,0.15295186617599998
New York Times,10.0,0.17931116577999998,5.0,0.07280648618419999
Congress,10.0,0.166018569955,8.0,0.140557289968
White House,7.0,0.116855805095,8.0,0.135944271003
House,7.0,0.116062217284,8.0,0.140906761102
Washington Post,7.0,0.110030949925,4.0,0.065351101999
CNN,6.0,0.0995952702166,4.0,0.06644611155119999
Fox News,6.0,0.0916990715023,3.0,0.043217930199
Supreme Court,5.0,0.086461391953,3.0,0.0430082475188
GOP,5.0,0.08535036901830001,7.0,0.11679325287699999
NBC,5.0,0.0787635901913,2.0,0.0359722286939
Facebook,4.0,0.06340766605819999,3.0,0.0522109873724
Associated Press,4.0,0.061264978969900005,4.0,0.070220399795
CBS,4.0,0.060590429331,2.0,0.0273053445785
Reuters,4.0,0.056622490278500005,6.0,0.09771212897810001
FBI,3.0,0.053606856598699994,3.0,0.05051022785519999
AP,3.0,0.053448139036600006,6.0,0.107753599553
Times,3.0,0.0457503372748,1.0,0.0132333069288
NBC News,3.0,0.0442028410444,2.0,0.018195797027200002
Senate Judiciary Committee,3.0,0.0367431156257,1.0,0.0137924607427
Netflix,2.0,0.0338465201175,2.0,0.0357858440893
Trump,2.0,0.0333306880406,3.0,0.040748334187599995
Ford,2.0,0.0328942147449,2.0,0.0183355854806
ABC,2.0,0.0324577414491,2.0,0.026187036950699998
Los Angeles Times,2.0,0.0311880009523,1.0,0.0124178742836
Google,2.0,0.0299976192366,2.0,0.0284236522063
Republican,2.0,0.029838901674500002,3.0,0.036810959414800004
Bloomberg,2.0,0.029045313864000003,2.0,0.0309398443689
Amazon,2.0,0.0288469169114,2.0,0.0219001910442
MSNBC,2.0,0.0278549321482,1.0,0.012511066585899998
Wall Street Journal,2.0,0.027815252757700002,2.0,0.021108056474500002
CBS News,2.0,0.0247599396873,1.0,0.0108336051442
Justice Department,2.0,0.024561542734699997,2.0,0.0335958249849
Democratic Party,2.0,0.024204428219999997,2.0,0.018685056614299998
Post,2.0,0.024006031267400002,1.0,0.014328316481099999
Republican Party,2.0,0.0232521228474,2.0,0.0208284795676
Capitol Hill,2.0,0.0232521228474,1.0,0.0132333069288
Judiciary Committee,2.0,0.021783985398,1.0,0.00647686501095
Politico,2.0,0.0213475121022,1.0,0.0146777876147
NFL,2.0,0.0213078327117,3.0,0.046316574251
Trump administration,2.0,0.0208713594159,2.0,0.0337356134383
NPR,2.0,0.020752321244299998,1.0,0.008620287964209999
HBO,2.0,0.020633283072799997,1.0,0.013722566516
House of Representatives,2.0,0.019998412824400003,1.0,0.0180094124225
Time,2.0,0.019165145623400003,0.0,0.0
Democratic,2.0,0.0190461074518,1.0,0.0146777876147
Disney,1.0,0.0174192524403,1.0,0.0142584222543
ABC News,1.0,0.0169034203635,1.0,0.00938912445832
Alabama Senate,1.0,0.0167843821919,1.0,0.0037509901682100002
Weinstein Company,1.0,0.0166256646298,0.0,0.0
POLITICO,1.0,0.016387588286600002,2.0,0.0221797679512
U.S. Senate,1.0,0.0163479088961,1.0,0.0150971529752
PBS,1.0,0.0163479088961,1.0,0.00428684590653
House Judiciary Committee,1.0,0.0160701531624,1.0,0.0054284516099
House Ethics Committee,1.0,0.015673359257200002,0.0,0.0
Vanity Fair,1.0,0.015395603523500001,1.0,0.00647686501095
USA TODAY,1.0,0.014681374494100001,1.0,0.017520152835400003
CNBC,1.0,0.0140861836362,2.0,0.0235543544103
Harvard,1.0,0.0140465042457,1.0,0.0102977494059
Vox,1.0,0.013967145464600001,1.0,0.006337076557479999
BBC,1.0,0.013689389731,1.0,0.008550393737479999
Weinstein Co.,1.0,0.0134909927784,0.0,0.0
State,1.0,0.0131735576542,1.0,0.0172172778528
Facebook post,1.0,0.013094198873100002,1.0,0.00533525930758
United Nations,1.0,0.01285612253,1.0,0.010507432086100001
Republican National Committee,1.0,0.012618046186799998,1.0,0.006500163086529999
YouTube,1.0,0.0125386874058,1.0,0.0156563067891
Miramax,1.0,0.0123799698437,0.0,0.0
BuzzFeed News,1.0,0.0123799698437,1.0,0.00503238432505
Treasury,1.0,0.012221252281599999,2.0,0.0223661525558
Fox,1.0,0.0114276644711,1.0,0.00475280741811
Amazon Studios,1.0,0.0114276644711,0.0,0.0
EEOC,1.0,0.011189588127899998,0.0,0.0
State Department,1.0,0.011070549956399998,1.0,0.012860537719600001
Pentagon,1.0,0.011030870565799999,1.0,0.0116024416383
CBS Interactive Inc,1.0,0.011030870565799999,1.0,0.007152509202740001
RNC,1.0,0.0109515117848,1.0,0.00773496109221
Academy of Motion Picture Arts and Sciences,1.0,0.010832473613200002,0.0,0.0
ESPN,1.0,0.0106340766606,2.0,0.032267834676900004
CIA,1.0,0.00995952702166,1.0,0.0158659894693
New York Post,1.0,0.00991984763114,1.0,0.00444993243558
DNC,1.0,0.00984048885009,1.0,0.00801453799916
Yale,1.0,0.009761130069040001,1.0,0.0045431247379
Democratic National Committee,1.0,0.009761130069040001,1.0,0.0061040958016899995
Microsoft,1.0,0.009761130069040001,1.0,0.009552210987370002
Equal Employment Opportunity Commission,1.0,0.00952305372589,0.0,0.0
