term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,10.0,0.506666137608,9.0,0.453510436433
sex crimes,10.0,0.498412824379,10.0,0.478178368121
politics and government,8.0,0.380922149036,4.0,0.156862745098
women,7.0,0.334497262122,6.0,0.27450980392200003
sexual harassment,4.0,0.195857471629,2.0,0.08412397216949999
ethics,4.0,0.167605745576,2.0,0.0607210626186
united states politics and government,4.0,0.165463058487,2.0,0.0657811511701
television,3.0,0.11959368304099999,5.0,0.216951296648
motion pictures,3.0,0.118681057059,6.0,0.266287160025
elections,3.0,0.105388461233,1.0,0.036053130929800004
news and news media,3.0,0.103166415364,2.0,0.0714737507906
suits and litigation,2.0,0.100825331323,1.0,0.0208728652751
"suspensions, dismissals and resignations",2.0,0.0918577890644,1.0,0.0177103099304
labor,2.0,0.09062772795810001,1.0,0.0164452877925
finances,2.0,0.08304896436789999,1.0,0.0177103099304
discrimination,2.0,0.08114435362269999,1.0,0.025300442757700003
media,2.0,0.0720577731926,1.0,0.049968374446599996
computers and the internet,2.0,0.0629711927625,1.0,0.036685641998699996
biographical information,2.0,0.0617014522657,2.0,0.067678684377
law and legislation,2.0,0.0511467343862,1.0,0.00759013282732
sex,1.0,0.0409888104119,1.0,0.0398481973435
education and schools,1.0,0.0406713752877,1.0,0.0145477545857
medicine and health,1.0,0.0342829934132,1.0,0.030993042378199998
books and literature,1.0,0.0291643520356,1.0,0.041113219481300006
appointments and executive changes,1.0,0.023093405285299996,1.0,0.0031625553447199996
blacks,1.0,0.0197603364812,1.0,0.010752688172
colleges and universities,1.0,0.0174589318308,1.0,0.008222643896270001
reviews,1.0,0.0173795730498,2.0,0.09044908285900001
presidents and presidency (us),1.0,0.0173398936592,1.0,0.00379506641366
"awards, decorations and honors",1.0,0.0167843821919,1.0,0.010752688172
"armament, defense and military forces",1.0,0.015355924132999998,1.0,0.005692599620489999
homosexuality,1.0,0.0148797714467,1.0,0.021505376344099998
legislatures and parliaments,1.0,0.014840092056200002,0.0,0.0
taxation,1.0,0.0138877866836,1.0,0.0031625553447199996
advertising and marketing,1.0,0.013133878263600001,1.0,0.006325110689439999
children and youth,1.0,0.0128958019205,1.0,0.011385199241
music,1.0,0.0127370843584,1.0,0.0158127767236
