term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,4.0,0.18149353225900003,10.0,0.531034482759
New York Times,4.0,0.17931116577999998,5.0,0.24310344827599997
Congress,4.0,0.166018569955,9.0,0.44655172413800004
White House,3.0,0.116855805095,5.0,0.227586206897
House,3.0,0.116062217284,6.0,0.26724137930999997
Washington Post,3.0,0.110030949925,4.0,0.206896551724
CNN,2.0,0.0995952702166,3.0,0.155172413793
Fox News,2.0,0.0916990715023,3.0,0.12413793103399999
Supreme Court,2.0,0.086461391953,3.0,0.156896551724
GOP,2.0,0.08535036901830001,4.0,0.208620689655
NBC,2.0,0.0787635901913,3.0,0.110344827586
Facebook,2.0,0.06340766605819999,2.0,0.0827586206897
Associated Press,2.0,0.061264978969900005,1.0,0.05
CBS,2.0,0.060590429331,2.0,0.0586206896552
Reuters,2.0,0.056622490278500005,1.0,0.037931034482800004
FBI,2.0,0.053606856598699994,2.0,0.0741379310345
AP,2.0,0.053448139036600006,2.0,0.0844827586207
Times,1.0,0.0457503372748,2.0,0.060344827586199995
NBC News,1.0,0.0442028410444,2.0,0.0689655172414
Senate Judiciary Committee,1.0,0.0367431156257,2.0,0.07068965517239999
Netflix,1.0,0.0338465201175,1.0,0.0224137931034
Trump,1.0,0.0333306880406,2.0,0.0827586206897
Ford,1.0,0.0328942147449,2.0,0.0620689655172
ABC,1.0,0.0324577414491,1.0,0.0310344827586
Los Angeles Times,1.0,0.0311880009523,1.0,0.0172413793103
Google,1.0,0.0299976192366,1.0,0.0344827586207
Republican,1.0,0.029838901674500002,2.0,0.0741379310345
Bloomberg,1.0,0.029045313864000003,1.0,0.0327586206897
Amazon,1.0,0.0288469169114,1.0,0.0327586206897
MSNBC,1.0,0.0278549321482,2.0,0.0551724137931
Wall Street Journal,1.0,0.027815252757700002,1.0,0.036206896551699994
CBS News,1.0,0.0247599396873,1.0,0.0258620689655
Justice Department,1.0,0.024561542734699997,1.0,0.048275862068999996
Democratic Party,1.0,0.024204428219999997,2.0,0.09655172413789999
Post,1.0,0.024006031267400002,1.0,0.0344827586207
Republican Party,1.0,0.0232521228474,2.0,0.0741379310345
Capitol Hill,1.0,0.0232521228474,2.0,0.07241379310339999
Judiciary Committee,1.0,0.021783985398,1.0,0.0293103448276
Politico,1.0,0.0213475121022,2.0,0.0586206896552
NFL,1.0,0.0213078327117,1.0,0.0293103448276
Trump administration,1.0,0.0208713594159,1.0,0.0293103448276
NPR,1.0,0.020752321244299998,1.0,0.020689655172400002
HBO,1.0,0.020633283072799997,1.0,0.013793103448299999
House of Representatives,1.0,0.019998412824400003,2.0,0.0568965517241
Time,1.0,0.019165145623400003,1.0,0.0310344827586
Democratic,1.0,0.0190461074518,1.0,0.0431034482759
Disney,1.0,0.0174192524403,1.0,0.018965517241400002
ABC News,1.0,0.0169034203635,1.0,0.020689655172400002
Alabama Senate,1.0,0.0167843821919,2.0,0.07931034482760001
Weinstein Company,1.0,0.0166256646298,1.0,0.0120689655172
POLITICO,1.0,0.016387588286600002,1.0,0.0224137931034
U.S. Senate,1.0,0.0163479088961,1.0,0.0431034482759
PBS,1.0,0.0163479088961,1.0,0.0431034482759
House Judiciary Committee,1.0,0.0160701531624,1.0,0.018965517241400002
House Ethics Committee,1.0,0.015673359257200002,1.0,0.036206896551699994
Vanity Fair,1.0,0.015395603523500001,1.0,0.0224137931034
USA TODAY,1.0,0.014681374494100001,1.0,0.018965517241400002
CNBC,1.0,0.0140861836362,1.0,0.0051724137931000004
Harvard,1.0,0.0140465042457,1.0,0.036206896551699994
Vox,1.0,0.013967145464600001,1.0,0.05
BBC,1.0,0.013689389731,1.0,0.0051724137931000004
Weinstein Co.,1.0,0.0134909927784,1.0,0.024137931034499998
State,1.0,0.0131735576542,1.0,0.0293103448276
Facebook post,1.0,0.013094198873100002,1.0,0.0224137931034
United Nations,1.0,0.01285612253,1.0,0.0258620689655
Republican National Committee,1.0,0.012618046186799998,1.0,0.041379310344800004
YouTube,1.0,0.0125386874058,1.0,0.0051724137931000004
Miramax,1.0,0.0123799698437,1.0,0.0068965517241400005
BuzzFeed News,1.0,0.0123799698437,1.0,0.013793103448299999
Treasury,1.0,0.012221252281599999,1.0,0.013793103448299999
Fox,1.0,0.0114276644711,0.0,0.0
