term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,8.0,0.506666137608,9.0,0.5965517241380001
sex crimes,8.0,0.498412824379,9.0,0.58275862069
politics and government,6.0,0.380922149036,10.0,0.705172413793
women,5.0,0.334497262122,7.0,0.45862068965499997
sexual harassment,3.0,0.195857471629,4.0,0.22413793103399998
ethics,3.0,0.167605745576,4.0,0.27413793103399997
united states politics and government,3.0,0.165463058487,6.0,0.420689655172
television,2.0,0.11959368304099999,1.0,0.0689655172414
motion pictures,2.0,0.118681057059,1.0,0.051724137931
elections,2.0,0.105388461233,4.0,0.255172413793
news and news media,2.0,0.103166415364,2.0,0.0862068965517
suits and litigation,2.0,0.100825331323,1.0,0.041379310344800004
"suspensions, dismissals and resignations",2.0,0.0918577890644,2.0,0.0844827586207
labor,2.0,0.09062772795810001,1.0,0.048275862068999996
finances,2.0,0.08304896436789999,1.0,0.0655172413793
discrimination,2.0,0.08114435362269999,1.0,0.0431034482759
media,2.0,0.0720577731926,1.0,0.0637931034483
computers and the internet,1.0,0.0629711927625,1.0,0.0310344827586
biographical information,1.0,0.0617014522657,2.0,0.0931034482759
law and legislation,1.0,0.0511467343862,1.0,0.0655172413793
sex,1.0,0.0409888104119,1.0,0.0172413793103
education and schools,1.0,0.0406713752877,1.0,0.018965517241400002
medicine and health,1.0,0.0342829934132,1.0,0.0258620689655
books and literature,1.0,0.0291643520356,1.0,0.0258620689655
appointments and executive changes,1.0,0.023093405285299996,1.0,0.0120689655172
blacks,1.0,0.0197603364812,1.0,0.0155172413793
colleges and universities,1.0,0.0174589318308,1.0,0.00862068965517
reviews,1.0,0.0173795730498,1.0,0.0120689655172
presidents and presidency (us),1.0,0.0173398936592,1.0,0.051724137931
"awards, decorations and honors",1.0,0.0167843821919,0.0,0.0
"armament, defense and military forces",1.0,0.015355924132999998,1.0,0.0258620689655
homosexuality,1.0,0.0148797714467,1.0,0.00862068965517
legislatures and parliaments,1.0,0.014840092056200002,1.0,0.0120689655172
taxation,1.0,0.0138877866836,1.0,0.010344827586200001
advertising and marketing,1.0,0.013133878263600001,1.0,0.00862068965517
children and youth,1.0,0.0128958019205,1.0,0.0068965517241400005
music,1.0,0.0127370843584,0.0,0.0
international relations,1.0,0.012260931672100002,1.0,0.013793103448299999
religion and churches,1.0,0.0119831759384,0.0,0.0
apparel,1.0,0.011149908737399999,0.0,0.0
theater,1.0,0.011070549956399998,0.0,0.0
decisions and verdicts,1.0,0.010832473613200002,1.0,0.020689655172400002
prostitution,1.0,0.0104753590985,1.0,0.0068965517241400005
wages and salaries,1.0,0.00988016824062,0.0,0.0
"mergers, acquisitions and divestitures",1.0,0.00960241250694,1.0,0.0051724137931000004
child abuse and neglect,1.0,0.00880882469645,1.0,0.0120689655172
football,1.0,0.00849138957226,0.0,0.0
festivals,1.0,0.008094595667009999,0.0,0.0
primaries,1.0,0.00789619871439,1.0,0.0155172413793
united states armament and defense,1.0,0.00789619871439,1.0,0.013793103448299999
election issues,1.0,0.00769780176176,1.0,0.0224137931034
united states international relations,1.0,0.0076581223712399995,1.0,0.0120689655172
restaurants,1.0,0.0076581223712399995,0.0,0.0
public opinion,1.0,0.00757876359019,1.0,0.0155172413793
presidential elections (us),1.0,0.007261328465989999,1.0,0.018965517241400002
christians and christianity,1.0,0.00702325212285,0.0,0.0
immigration and refugees,1.0,0.006824855170220001,0.0,0.0
budgets and budgeting,1.0,0.006705816998649999,0.0,0.0
lobbying and lobbyists,1.0,0.0066264582176000005,0.0,0.0
academy awards (oscars),1.0,0.006547099436550001,0.0,0.0
editorials,1.0,0.006309023093409999,1.0,0.0155172413793
food,1.0,0.006229664312359999,0.0,0.0
terrorism,1.0,0.00595190857868,1.0,0.010344827586200001
courts,1.0,0.00587254979764,1.0,0.0068965517241400005
demonstrations and riots,1.0,0.00567415284501,1.0,0.0120689655172
teachers and school employees,1.0,0.00563447345449,0.0,0.0
games,1.0,0.00563447345449,0.0,0.0
basketball,1.0,0.00559479406396,0.0,0.0
drug abuse and traffic,1.0,0.00547575589239,0.0,0.0
newspapers,1.0,0.00535671772082,0.0,0.0
radio,1.0,0.0051583207681899996,1.0,0.0068965517241400005
economic conditions and trends,1.0,0.0051186413776700005,0.0,0.0
frauds and swindling,1.0,0.00476152686295,0.0,0.0
governors (us),1.0,0.00472184747242,1.0,0.0155172413793
advertising,1.0,0.00464248869137,0.0,0.0
judges,1.0,0.00456312991032,0.0,0.0
