term,a1_bin,a1_perc,a2_bin,a2_perc
producer harvey weinstein,6.0,0.01,2.0,0.002
allegations harassment assault,4.0,0.006,2.0,0.002
allegations harvey weinstein,3.0,0.005,0.0,0.0
sexually harassed assaulted,3.0,0.004,0.0,0.0
leader nancy pelosi,3.0,0.004,0.0,0.0
harvey weinstein harassment,3.0,0.004,0.0,0.0
senate roy moore,2.0,0.003,5.0,0.008
harassment gender discrimination,2.0,0.003,0.0,0.0
harassment assault allegations,2.0,0.003,2.0,0.003
harassment allegations harvey,2.0,0.003,0.0,0.0
wiehl harassment allegations,2.0,0.002,0.0,0.0
trump unwanted advances,2.0,0.002,0.0,0.0
supreme nominee brett,2.0,0.002,1.0,0.001
spacey george bush,2.0,0.002,0.0,0.0
sexually inappropriate scientifically,2.0,0.002,0.0,0.0
sexually harassing assaulting,2.0,0.002,0.0,0.0
sexually aggressive offended,2.0,0.002,0.0,0.0
senate judiciary committee's,2.0,0.002,0.0,0.0
seiu harassment allegations,2.0,0.002,0.0,0.0
roy moore harassment,2.0,0.002,0.0,0.0
resigned allegations harassment,2.0,0.002,0.0,0.0
resign harassment allegations,2.0,0.002,0.0,0.0
resign allegations misconduct,2.0,0.002,0.0,0.0
republicans democrats misconduct,2.0,0.002,0.0,0.0
republican senate roy,2.0,0.002,2.0,0.002
producer ryan seacrest,2.0,0.002,0.0,0.0
prevents workplace sexual-harassment,2.0,0.002,0.0,0.0
presidential campaign donald,2.0,0.002,0.0,0.0
o'reilly roger ailes,2.0,0.002,0.0,0.0
nominee brett kavanaugh,2.0,0.002,0.0,0.0
molester roy moore,2.0,0.002,0.0,0.0
mogul harvey weinstein,2.0,0.002,2.0,0.003
misinterpreted sexually aggressive,2.0,0.002,0.0,0.0
misconduct harvey weinstein,2.0,0.002,2.0,0.002
misconduct harassment rape,2.0,0.002,0.0,0.0
michigan john conyers,2.0,0.002,0.0,0.0
matt lauer nbc,2.0,0.002,0.0,0.0
matt lauer inappropriate,2.0,0.002,0.0,0.0
lupita nyong'o's harassment,2.0,0.002,0.0,0.0
loophole prevents workplace,2.0,0.002,0.0,0.0
lgbtq advocates supreme,2.0,0.002,0.0,0.0
kevin spacey george,2.0,0.002,0.0,0.0
keri claussen khalighi,2.0,0.002,0.0,0.0
kantor megan twohey,2.0,0.002,0.0,0.0
john conyers harassment,2.0,0.002,0.0,0.0
john conyers d-mich,2.0,0.002,2.0,0.002
john bailey harassment,2.0,0.002,0.0,0.0
jodi kantor megan,2.0,0.002,0.0,0.0
james toback harassment,2.0,0.002,0.0,0.0
harvey weinstein scandal,2.0,0.002,0.0,0.0
harassment complaints capitol,2.0,0.002,0.0,0.0
harassment assault weinstein,2.0,0.002,0.0,0.0
gretchen carlson sued,2.0,0.002,0.0,0.0
gaggle azcentral.com gaggle,2.0,0.002,0.0,0.0
fox ceo roger,2.0,0.002,0.0,0.0
donald trump harassment,2.0,0.002,0.0,0.0
detailing harassment allegations,2.0,0.002,0.0,0.0
clears john bailey,2.0,0.002,0.0,0.0
clarence thomas harassment,2.0,0.002,0.0,0.0
christine blasey ford,2.0,0.002,0.0,0.0
child molester roy,2.0,0.002,0.0,0.0
ceo roger ailes,2.0,0.002,0.0,0.0
ceo les moonves,2.0,0.002,0.0,0.0
campaign donald trump,2.0,0.002,0.0,0.0
bailey harassment allegations,2.0,0.002,0.0,0.0
assault harassment misconduct,2.0,0.002,0.0,0.0
assault allegation supreme,2.0,0.002,0.0,0.0
allegations sexually harassed,2.0,0.002,0.0,0.0
allegations producer harvey,2.0,0.002,0.0,0.0
allegations harassment abuse,2.0,0.002,0.0,0.0
allegations donald trump,2.0,0.002,0.0,0.0
allegations assault harassment,2.0,0.002,0.0,0.0
allegation supreme nominee,2.0,0.002,0.0,0.0
alabama republican senate,2.0,0.002,0.0,0.0
aggressive offended hurt,2.0,0.002,0.0,0.0
accusations harassment assault,2.0,0.002,0.0,0.0
accusations harassment abuse,2.0,0.002,0.0,0.0
academy clears john,2.0,0.002,0.0,0.0
abuse allegations weinstein,2.0,0.002,0.0,0.0
"zervos apology 2,914",1.0,0.001,0.0,0.0
yvette nicole aisha,1.0,0.001,0.0,0.0
