term,a1_bin,a1_perc,a2_bin,a2_perc
harassment,10.0,0.684,2.0,0.098
allegations,4.0,0.215,5.0,0.27699999999999997
assault,3.0,0.19699999999999998,1.0,0.049
misconduct,2.0,0.124,2.0,0.08
sexually,2.0,0.091,1.0,0.01
weinstein,2.0,0.081,1.0,0.055
accusations,1.0,0.06,1.0,0.066
workplace,1.0,0.053,1.0,0.004
abuse,1.0,0.052000000000000005,1.0,0.021
harvey,1.0,0.049,1.0,0.021
victims,1.0,0.046,1.0,0.012
trump,1.0,0.037000000000000005,2.0,0.107
complaints,1.0,0.036000000000000004,0.0,0.0
media,1.0,0.035,1.0,0.03
violence,1.0,0.032,1.0,0.006
inappropriate,1.0,0.027999999999999997,1.0,0.013000000000000001
scandal,1.0,0.027000000000000003,1.0,0.01
resign,1.0,0.027000000000000003,2.0,0.071
investigating,1.0,0.027000000000000003,0.0,0.0
democratic,1.0,0.026000000000000002,0.0,0.0
advances,1.0,0.026000000000000002,1.0,0.006
senate,1.0,0.024,1.0,0.068
fox,1.0,0.024,1.0,0.003
actress,1.0,0.023,0.0,0.0
university,1.0,0.022000000000000002,1.0,0.006999999999999999
nbc,1.0,0.022000000000000002,1.0,0.008
producer,1.0,0.021,1.0,0.008
discrimination,1.0,0.021,1.0,0.002
campaign,1.0,0.021,1.0,0.034
reporting,1.0,0.02,1.0,0.008
rape,1.0,0.02,1.0,0.009000000000000001
republican,1.0,0.019,1.0,0.055
lauer,1.0,0.019,1.0,0.009000000000000001
california,1.0,0.019,1.0,0.005
women's,1.0,0.017,1.0,0.015
moore,1.0,0.017,1.0,0.055
cbs,1.0,0.017,1.0,0.004
students,1.0,0.016,0.0,0.0
cosby,1.0,0.016,1.0,0.013999999999999999
congress,1.0,0.016,1.0,0.024
american,1.0,0.016,1.0,0.019
unwanted,1.0,0.015,1.0,0.009000000000000001
o'reilly,1.0,0.013999999999999999,1.0,0.002
lawsuit,1.0,0.013999999999999999,1.0,0.003
united,1.0,0.013000000000000001,1.0,0.008
lawmakers,1.0,0.013000000000000001,1.0,0.009000000000000001
clinton,1.0,0.013000000000000001,1.0,0.032
america,1.0,0.013000000000000001,0.0,0.0
washington,1.0,0.012,1.0,0.015
violation,1.0,0.012,0.0,0.0
survivors,1.0,0.012,1.0,0.005
john,1.0,0.012,1.0,0.008
gender,1.0,0.012,1.0,0.006
franken,1.0,0.012,4.0,0.22399999999999998
advocate,1.0,0.012,1.0,0.005
tweet,1.0,0.011000000000000001,0.0,0.0
professor,1.0,0.011000000000000001,1.0,0.008
moonves,1.0,0.011000000000000001,1.0,0.002
mogul,1.0,0.011000000000000001,1.0,0.003
matt,1.0,0.011000000000000001,1.0,0.011000000000000001
