term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,8.0,0.18149353225900003,2.0,0.0458015267176
New York Times,8.0,0.17931116577999998,10.0,0.236641221374
Congress,8.0,0.166018569955,3.0,0.0496183206107
White House,5.0,0.116855805095,3.0,0.057251908396899996
House,5.0,0.116062217284,1.0,0.0076335877862600005
Washington Post,5.0,0.110030949925,5.0,0.09541984732820001
CNN,5.0,0.0995952702166,3.0,0.0610687022901
Fox News,4.0,0.0916990715023,1.0,0.0190839694656
Supreme Court,4.0,0.086461391953,2.0,0.034351145038200005
GOP,4.0,0.08535036901830001,1.0,0.0114503816794
NBC,4.0,0.0787635901913,4.0,0.0916030534351
Facebook,3.0,0.06340766605819999,3.0,0.0534351145038
Associated Press,3.0,0.061264978969900005,2.0,0.034351145038200005
CBS,3.0,0.060590429331,3.0,0.057251908396899996
Reuters,3.0,0.056622490278500005,2.0,0.034351145038200005
FBI,3.0,0.053606856598699994,1.0,0.0229007633588
AP,3.0,0.053448139036600006,1.0,0.0114503816794
Times,2.0,0.0457503372748,2.0,0.0458015267176
NBC News,2.0,0.0442028410444,1.0,0.0114503816794
Senate Judiciary Committee,2.0,0.0367431156257,1.0,0.0114503816794
Netflix,2.0,0.0338465201175,7.0,0.152671755725
Trump,2.0,0.0333306880406,1.0,0.0076335877862600005
Ford,2.0,0.0328942147449,1.0,0.0114503816794
ABC,2.0,0.0324577414491,2.0,0.030534351145000003
Los Angeles Times,2.0,0.0311880009523,2.0,0.0381679389313
Google,2.0,0.0299976192366,2.0,0.030534351145000003
Republican,2.0,0.029838901674500002,1.0,0.0076335877862600005
Bloomberg,2.0,0.029045313864000003,1.0,0.015267175572500001
Amazon,2.0,0.0288469169114,2.0,0.0419847328244
MSNBC,2.0,0.0278549321482,0.0,0.0
Wall Street Journal,2.0,0.027815252757700002,1.0,0.0076335877862600005
CBS News,2.0,0.0247599396873,1.0,0.0038167938931300003
Justice Department,2.0,0.024561542734699997,1.0,0.0114503816794
Democratic Party,2.0,0.024204428219999997,0.0,0.0
Post,2.0,0.024006031267400002,1.0,0.0038167938931300003
Republican Party,1.0,0.0232521228474,1.0,0.0076335877862600005
Capitol Hill,1.0,0.0232521228474,1.0,0.0114503816794
Judiciary Committee,1.0,0.021783985398,0.0,0.0
Politico,1.0,0.0213475121022,0.0,0.0
NFL,1.0,0.0213078327117,0.0,0.0
Trump administration,1.0,0.0208713594159,1.0,0.0190839694656
NPR,1.0,0.020752321244299998,1.0,0.0076335877862600005
HBO,1.0,0.020633283072799997,4.0,0.0839694656489
House of Representatives,1.0,0.019998412824400003,1.0,0.0076335877862600005
Time,1.0,0.019165145623400003,2.0,0.0419847328244
Democratic,1.0,0.0190461074518,1.0,0.0038167938931300003
Disney,1.0,0.0174192524403,1.0,0.015267175572500001
ABC News,1.0,0.0169034203635,1.0,0.0076335877862600005
Alabama Senate,1.0,0.0167843821919,0.0,0.0
Weinstein Company,1.0,0.0166256646298,0.0,0.0
POLITICO,1.0,0.016387588286600002,0.0,0.0
U.S. Senate,1.0,0.0163479088961,0.0,0.0
PBS,1.0,0.0163479088961,1.0,0.0190839694656
House Judiciary Committee,1.0,0.0160701531624,0.0,0.0
House Ethics Committee,1.0,0.015673359257200002,0.0,0.0
Vanity Fair,1.0,0.015395603523500001,1.0,0.0190839694656
USA TODAY,1.0,0.014681374494100001,1.0,0.0190839694656
CNBC,1.0,0.0140861836362,0.0,0.0
Harvard,1.0,0.0140465042457,2.0,0.0267175572519
Vox,1.0,0.013967145464600001,3.0,0.0648854961832
BBC,1.0,0.013689389731,1.0,0.0229007633588
Weinstein Co.,1.0,0.0134909927784,0.0,0.0
State,1.0,0.0131735576542,0.0,0.0
Facebook post,1.0,0.013094198873100002,1.0,0.0038167938931300003
United Nations,1.0,0.01285612253,0.0,0.0
Republican National Committee,1.0,0.012618046186799998,0.0,0.0
YouTube,1.0,0.0125386874058,1.0,0.015267175572500001
Miramax,1.0,0.0123799698437,0.0,0.0
BuzzFeed News,1.0,0.0123799698437,1.0,0.0076335877862600005
Treasury,1.0,0.012221252281599999,0.0,0.0
Fox,1.0,0.0114276644711,1.0,0.0038167938931300003
Amazon Studios,1.0,0.0114276644711,1.0,0.0076335877862600005
EEOC,1.0,0.011189588127899998,1.0,0.0076335877862600005
State Department,1.0,0.011070549956399998,1.0,0.0038167938931300003
Pentagon,1.0,0.011030870565799999,0.0,0.0
CBS Interactive Inc,1.0,0.011030870565799999,0.0,0.0
RNC,1.0,0.0109515117848,0.0,0.0
Academy of Motion Picture Arts and Sciences,1.0,0.010832473613200002,1.0,0.0190839694656
ESPN,1.0,0.0106340766606,1.0,0.0076335877862600005
CIA,1.0,0.00995952702166,1.0,0.0076335877862600005
New York Post,1.0,0.00991984763114,1.0,0.0190839694656
DNC,1.0,0.00984048885009,0.0,0.0
Yale,1.0,0.009761130069040001,1.0,0.0114503816794
Democratic National Committee,1.0,0.009761130069040001,1.0,0.0038167938931300003
Microsoft,1.0,0.009761130069040001,0.0,0.0
Equal Employment Opportunity Commission,1.0,0.00952305372589,0.0,0.0
U.S. Supreme Court,1.0,0.009443694944850001,0.0,0.0
U.N.,1.0,0.009364336163799999,0.0,0.0
Apple,1.0,0.009364336163799999,1.0,0.0038167938931300003
Hollywood,1.0,0.0087294659154,1.0,0.0114503816794
EPA,1.0,0.00861042774383,0.0,0.0
WSJ,1.0,0.00861042774383,0.0,0.0
Uber,1.0,0.008531068962779999,0.0,0.0
Warner Bros.,1.0,0.00849138957226,1.0,0.0076335877862600005
Daily News,1.0,0.00833267201016,0.0,0.0
New Yorker,1.0,0.00829299261963,1.0,0.0076335877862600005
Navy,1.0,0.00825331322911,0.0,0.0
Fox News host,1.0,0.008094595667009999,0.0,0.0
European Union,1.0,0.00805491627649,0.0,0.0
USA Today,1.0,0.00777716054281,1.0,0.0114503816794
DOJ,1.0,0.00773748115229,0.0,0.0
Twitter,1.0,0.0076581223712399995,1.0,0.0076335877862600005
McDonald,1.0,0.00730100785652,0.0,0.0
House Intelligence Committee,1.0,0.007261328465989999,1.0,0.0076335877862600005
NBA,1.0,0.00718196968495,1.0,0.015267175572500001
Medicare,1.0,0.007102610903899999,1.0,0.0038167938931300003
Boston Globe,1.0,0.00702325212285,1.0,0.0076335877862600005
House Administration Committee,1.0,0.0069042139512700005,0.0,0.0
Trump White House,1.0,0.0069042139512700005,0.0,0.0
Ethics Committee,1.0,0.0069042139512700005,0.0,0.0
Senate Ethics Committee,1.0,0.0069042139512700005,0.0,0.0
Defense,1.0,0.0067851757797,0.0,0.0
Time magazine,1.0,0.00674549638918,1.0,0.0038167938931300003
Breitbart News,1.0,0.006705816998649999,1.0,0.0114503816794
Goldman Sachs,1.0,0.0066264582176000005,0.0,0.0
New York Daily News,1.0,0.0066264582176000005,1.0,0.0114503816794
WaPo,1.0,0.0066264582176000005,0.0,0.0
NYT,1.0,0.006586778827080001,0.0,0.0
EU,1.0,0.006547099436550001,0.0,0.0
Huffington Post,1.0,0.00650742004603,1.0,0.0076335877862600005
AT&T,1.0,0.00642806126498,0.0,0.0
Department of Justice,1.0,0.00615030553131,0.0,0.0
Committee,1.0,0.00611062614078,0.0,0.0
house,1.0,0.00607094675026,1.0,0.0038167938931300003
Playboy,1.0,0.00607094675026,1.0,0.0076335877862600005
state,1.0,0.0059122291881599995,0.0,0.0
LA Times,1.0,0.0059122291881599995,0.0,0.0
UN,1.0,0.00583287040711,1.0,0.0038167938931300003
Stanford,1.0,0.00583287040711,1.0,0.0038167938931300003
Democrats,1.0,0.00559479406396,0.0,0.0
House GOP,1.0,0.00559479406396,0.0,0.0
solidarity,1.0,0.00559479406396,2.0,0.0267175572519
F.B.I.,1.0,0.005515435282909999,0.0,0.0
Showtime,1.0,0.005515435282909999,1.0,0.015267175572500001
Sony,1.0,0.00547575589239,0.0,0.0
UCLA,1.0,0.00535671772082,0.0,0.0
Democratic Congressional Campaign Committee,1.0,0.005237679549239999,0.0,0.0
Air Force,1.0,0.00519800015872,0.0,0.0
Newsweek,1.0,0.00519800015872,0.0,0.0
Fox News Channel,1.0,0.0051583207681899996,0.0,0.0
Assembly,1.0,0.005078961987140001,0.0,0.0
Walmart,1.0,0.00503928259662,0.0,0.0
Detroit Free Press,1.0,0.00503928259662,0.0,0.0
Wynn,1.0,0.00499960320609,0.0,0.0
Bloomberg News,1.0,0.00499960320609,0.0,0.0
NRA,1.0,0.00495992381557,0.0,0.0
National Women’s Law Center,1.0,0.004840885644,0.0,0.0
The Washington Post,1.0,0.00480120625347,0.0,0.0
Yale University,1.0,0.00476152686295,0.0,0.0
US Senate,1.0,0.00472184747242,0.0,0.0
LAPD,1.0,0.004682168081899999,0.0,0.0
University of Southern California,1.0,0.004682168081899999,0.0,0.0
Interior,1.0,0.00464248869137,0.0,0.0
DHS,1.0,0.00464248869137,0.0,0.0
IRS,1.0,0.00464248869137,0.0,0.0
Time Warner,1.0,0.00464248869137,0.0,0.0
