term,a1_bin,a1_perc,a2_bin,a2_perc
harassment assault,4.0,0.055999999999999994,1.0,0.01
harassment allegations,3.0,0.043,0.0,0.0
harvey weinstein,3.0,0.04,1.0,0.008
allegations harassment,3.0,0.035,1.0,0.002
sexually assaulted,2.0,0.019,2.0,0.017
harassment complaints,2.0,0.019,0.0,0.0
sexually harassed,2.0,0.018000000000000002,0.0,0.0
producer harvey,1.0,0.015,0.0,0.0
misconduct allegations,1.0,0.013999999999999999,1.0,0.005
allegations misconduct,1.0,0.013999999999999999,1.0,0.002
sexually harassing,1.0,0.013000000000000001,0.0,0.0
los angeles,1.0,0.013000000000000001,0.0,0.0
assault harassment,1.0,0.013000000000000001,0.0,0.0
workplace harassment,1.0,0.012,1.0,0.001
accusations harassment,1.0,0.012,0.0,0.0
harassment misconduct,1.0,0.01,0.0,0.0
harassment discrimination,1.0,0.01,0.0,0.0
harassment abuse,1.0,0.01,0.0,0.0
unwanted advances,1.0,0.009000000000000001,0.0,0.0
harassment workplace,1.0,0.008,0.0,0.0
allegations assault,1.0,0.008,1.0,0.005
weinstein harassment,1.0,0.006999999999999999,0.0,0.0
victims harassment,1.0,0.006999999999999999,0.0,0.0
senate harassment,1.0,0.006999999999999999,0.0,0.0
roy moore,1.0,0.006999999999999999,0.0,0.0
matt lauer,1.0,0.006999999999999999,0.0,0.0
john conyers,1.0,0.006999999999999999,0.0,0.0
harassment violence,1.0,0.006999999999999999,0.0,0.0
donald trump,1.0,0.006999999999999999,2.0,0.016
weinstein scandal,1.0,0.006,1.0,0.001
survivors harassment,1.0,0.005,0.0,0.0
survivors assault,1.0,0.005,1.0,0.003
supreme nominee,1.0,0.005,4.0,0.054000000000000006
sexually assaulting,1.0,0.005,1.0,0.006999999999999999
sexually abused,1.0,0.005,0.0,0.0
senate judiciary,1.0,0.005,3.0,0.033
roger ailes,1.0,0.005,0.0,0.0
media harassment,1.0,0.005,0.0,0.0
judge alex,1.0,0.005,1.0,0.004
harvey weinstein's,1.0,0.005,0.0,0.0
harassment victims,1.0,0.005,0.0,0.0
harassment scandals,1.0,0.005,0.0,0.0
harassment lawsuit,1.0,0.005,0.0,0.0
harassment complaint,1.0,0.005,0.0,0.0
harassment capitol,1.0,0.005,0.0,0.0
clarence thomas,1.0,0.005,0.0,0.0
campaign harassment,1.0,0.005,0.0,0.0
alleged harassment,1.0,0.005,0.0,0.0
allegations producer,1.0,0.005,0.0,0.0
weinstein allegations,1.0,0.004,0.0,0.0
