term,a1_bin,a1_perc,a2_bin,a2_perc
Harvey Weinstein,3.0,0.23752083168000002,8.0,0.7731958762890001
Donald Trump,2.0,0.155543210856,2.0,0.183505154639
Trump,2.0,0.109951591144,2.0,0.11134020618599999
Al Franken,1.0,0.0793984604396,2.0,0.17113402061900002
Roy Moore,1.0,0.07610507102610001,2.0,0.138144329897
Hillary Clinton,1.0,0.0649154828982,1.0,0.0371134020619
Kevin Spacey,1.0,0.046107451789499994,10.0,0.981443298969
Bill Clinton,1.0,0.044440917387499994,1.0,0.035051546391800005
Brett Kavanaugh,1.0,0.0426553448139,1.0,0.035051546391800005
Matt Lauer,1.0,0.042060153956000004,3.0,0.251546391753
John Conyers,1.0,0.04166336005080001,1.0,0.0371134020619
Barack Obama,1.0,0.039639711134,1.0,0.0164948453608
Mitch McConnell,1.0,0.0384096500278,1.0,0.00824742268041
Roger Ailes,1.0,0.0352352987858,1.0,0.061855670103099995
Fox,1.0,0.035155940004800004,1.0,0.035051546391800005
Nancy Pelosi,1.0,0.03479882549,1.0,0.0164948453608
Christine Blasey Ford,1.0,0.034759146099499996,1.0,0.0185567010309
Clarence Thomas,1.0,0.0343226728037,1.0,0.047422680412400005
Anita Hill,1.0,0.034203634632200004,1.0,0.0639175257732
Paul Ryan,1.0,0.0317831918102,1.0,0.020618556701
Charlie Rose,1.0,0.0309102452186,2.0,0.164948453608
Kirsten Gillibrand,1.0,0.0291643520356,1.0,0.014432989690700001
Obama,1.0,0.0288865963019,1.0,0.020618556701
Doug Jones,1.0,0.0248789778589,1.0,0.022680412371099995
Robert Mueller,1.0,0.024839298468400002,1.0,0.028865979381400002
Blake Farenthold,1.0,0.0235298785811,1.0,0.0103092783505
Rose McGowan,1.0,0.0234505198,1.0,0.059793814433000005
Louis C.K.,1.0,0.0206729624633,3.0,0.20412371133999999
Chuck Schumer,1.0,0.019561939528599998,0.0,0.0
Jeff Flake,1.0,0.019284183794900003,1.0,0.0123711340206
Jackie Speier,1.0,0.0191254662328,0.0,0.0
George W. Bush,1.0,0.0190064280613,1.0,0.00824742268041
