term,a1_bin,a1_perc,a2_bin,a2_perc
producer harvey weinstein,2.0,0.01,1.0,0.004
allegations harassment assault,2.0,0.006,0.0,0.0
allegations harvey weinstein,1.0,0.005,0.0,0.0
sexually harassed assaulted,1.0,0.004,1.0,0.001
leader nancy pelosi,1.0,0.004,0.0,0.0
harvey weinstein harassment,1.0,0.004,0.0,0.0
senate roy moore,1.0,0.003,10.0,0.057999999999999996
harassment gender discrimination,1.0,0.003,0.0,0.0
harassment assault allegations,1.0,0.003,0.0,0.0
harassment allegations harvey,1.0,0.003,0.0,0.0
wiehl harassment allegations,1.0,0.002,0.0,0.0
trump unwanted advances,1.0,0.002,0.0,0.0
supreme nominee brett,1.0,0.002,0.0,0.0
spacey george bush,1.0,0.002,0.0,0.0
sexually inappropriate scientifically,1.0,0.002,0.0,0.0
sexually harassing assaulting,1.0,0.002,0.0,0.0
sexually aggressive offended,1.0,0.002,0.0,0.0
senate judiciary committee's,1.0,0.002,0.0,0.0
seiu harassment allegations,1.0,0.002,0.0,0.0
roy moore harassment,1.0,0.002,0.0,0.0
resigned allegations harassment,1.0,0.002,0.0,0.0
resign harassment allegations,1.0,0.002,0.0,0.0
resign allegations misconduct,1.0,0.002,0.0,0.0
republicans democrats misconduct,1.0,0.002,0.0,0.0
republican senate roy,1.0,0.002,2.0,0.008
producer ryan seacrest,1.0,0.002,0.0,0.0
prevents workplace sexual-harassment,1.0,0.002,0.0,0.0
presidential campaign donald,1.0,0.002,0.0,0.0
o'reilly roger ailes,1.0,0.002,1.0,0.003
nominee brett kavanaugh,1.0,0.002,0.0,0.0
molester roy moore,1.0,0.002,1.0,0.004
mogul harvey weinstein,1.0,0.002,0.0,0.0
misinterpreted sexually aggressive,1.0,0.002,0.0,0.0
misconduct harvey weinstein,1.0,0.002,0.0,0.0
misconduct harassment rape,1.0,0.002,0.0,0.0
michigan john conyers,1.0,0.002,0.0,0.0
matt lauer nbc,1.0,0.002,0.0,0.0
matt lauer inappropriate,1.0,0.002,0.0,0.0
lupita nyong'o's harassment,1.0,0.002,0.0,0.0
loophole prevents workplace,1.0,0.002,0.0,0.0
lgbtq advocates supreme,1.0,0.002,0.0,0.0
kevin spacey george,1.0,0.002,0.0,0.0
keri claussen khalighi,1.0,0.002,0.0,0.0
kantor megan twohey,1.0,0.002,0.0,0.0
john conyers harassment,1.0,0.002,0.0,0.0
john conyers d-mich,1.0,0.002,0.0,0.0
john bailey harassment,1.0,0.002,0.0,0.0
jodi kantor megan,1.0,0.002,0.0,0.0
james toback harassment,1.0,0.002,0.0,0.0
harvey weinstein scandal,1.0,0.002,1.0,0.002
