term,a1_bin,a1_perc,a2_bin,a2_perc
harassment assault,2.0,0.055999999999999994,0.0,0.0
harassment allegations,2.0,0.043,0.0,0.0
harvey weinstein,2.0,0.04,1.0,0.003
allegations harassment,1.0,0.035,0.0,0.0
sexually assaulted,1.0,0.019,1.0,0.006
harassment complaints,1.0,0.019,0.0,0.0
sexually harassed,1.0,0.018000000000000002,0.0,0.0
producer harvey,1.0,0.015,0.0,0.0
misconduct allegations,1.0,0.013999999999999999,1.0,0.017
allegations misconduct,1.0,0.013999999999999999,1.0,0.017
sexually harassing,1.0,0.013000000000000001,0.0,0.0
los angeles,1.0,0.013000000000000001,0.0,0.0
assault harassment,1.0,0.013000000000000001,0.0,0.0
workplace harassment,1.0,0.012,0.0,0.0
accusations harassment,1.0,0.012,0.0,0.0
harassment misconduct,1.0,0.01,0.0,0.0
harassment discrimination,1.0,0.01,0.0,0.0
harassment abuse,1.0,0.01,0.0,0.0
unwanted advances,1.0,0.009000000000000001,1.0,0.002
harassment workplace,1.0,0.008,0.0,0.0
allegations assault,1.0,0.008,0.0,0.0
weinstein harassment,1.0,0.006999999999999999,0.0,0.0
victims harassment,1.0,0.006999999999999999,0.0,0.0
senate harassment,1.0,0.006999999999999999,0.0,0.0
roy moore,1.0,0.006999999999999999,10.0,0.365
matt lauer,1.0,0.006999999999999999,0.0,0.0
john conyers,1.0,0.006999999999999999,0.0,0.0
harassment violence,1.0,0.006999999999999999,0.0,0.0
donald trump,1.0,0.006999999999999999,1.0,0.027000000000000003
weinstein scandal,1.0,0.006,0.0,0.0
survivors harassment,1.0,0.005,0.0,0.0
survivors assault,1.0,0.005,0.0,0.0
supreme nominee,1.0,0.005,0.0,0.0
sexually assaulting,1.0,0.005,1.0,0.002
sexually abused,1.0,0.005,0.0,0.0
senate judiciary,1.0,0.005,0.0,0.0
roger ailes,1.0,0.005,0.0,0.0
media harassment,1.0,0.005,0.0,0.0
judge alex,1.0,0.005,0.0,0.0
harvey weinstein's,1.0,0.005,0.0,0.0
harassment victims,1.0,0.005,0.0,0.0
harassment scandals,1.0,0.005,0.0,0.0
harassment lawsuit,1.0,0.005,0.0,0.0
harassment complaint,1.0,0.005,0.0,0.0
harassment capitol,1.0,0.005,0.0,0.0
clarence thomas,1.0,0.005,0.0,0.0
campaign harassment,1.0,0.005,0.0,0.0
alleged harassment,1.0,0.005,0.0,0.0
allegations producer,1.0,0.005,0.0,0.0
weinstein allegations,1.0,0.004,0.0,0.0
trump misconduct,1.0,0.004,1.0,0.003
resign harassment,1.0,0.004,0.0,0.0
rampant harassment,1.0,0.004,0.0,0.0
pervasive harassment,1.0,0.004,0.0,0.0
misconduct los,1.0,0.004,0.0,0.0
mcdonald's harassment,1.0,0.004,0.0,0.0
kirsten gillibrand,1.0,0.004,0.0,0.0
kevin spacey,1.0,0.004,0.0,0.0
journalist charlie,1.0,0.004,0.0,0.0
jeffrey tambor,1.0,0.004,0.0,0.0
harassment rape,1.0,0.004,0.0,0.0
harassment accusations,1.0,0.004,0.0,0.0
dustin hoffman,1.0,0.004,0.0,0.0
discrimination harassment,1.0,0.004,0.0,0.0
christine blasey,1.0,0.004,0.0,0.0
celebrity chef,1.0,0.004,0.0,0.0
brett kavanaugh,1.0,0.004,0.0,0.0
blasey ford,1.0,0.004,0.0,0.0
assault allegations,1.0,0.004,0.0,0.0
alex kozinski,1.0,0.004,0.0,0.0
abuse allegations,1.0,0.004,0.0,0.0
21st fox,1.0,0.004,0.0,0.0
university cincinnati,1.0,0.003,0.0,0.0
twitter harassment,1.0,0.003,0.0,0.0
trump harassment,1.0,0.003,0.0,0.0
trump allegations,1.0,0.003,1.0,0.003
transparent harassment,1.0,0.003,0.0,0.0
sexually aggressive,1.0,0.003,0.0,0.0
sexual-harassment allegations,1.0,0.003,0.0,0.0
resigns harassment,1.0,0.003,0.0,0.0
resigned allegations,1.0,0.003,0.0,0.0
ratner misconduct,1.0,0.003,0.0,0.0
rape assault,1.0,0.003,0.0,0.0
nominee brett,1.0,0.003,0.0,0.0
mogul harvey,1.0,0.003,0.0,0.0
misconduct workplace,1.0,0.003,0.0,0.0
misconduct scandal,1.0,0.003,0.0,0.0
misconduct harassment,1.0,0.003,0.0,0.0
misconduct accusations,1.0,0.003,1.0,0.002
