label,perc
roy moore,0.037000000000000005
franken d-minn,0.037000000000000005
franken resign,0.027000000000000003
allegations misconduct,0.017
harassment allegations,0.016
leeann tweeden,0.015
donald trump,0.015
misconduct allegations,0.013000000000000001
democratic franken,0.012
assault allegations,0.012
alabama senate,0.012
john conyers,0.011000000000000001
franken senate,0.011000000000000001
doug jones,0.011000000000000001
allegations harassment,0.011000000000000001
allegations franken,0.01
senate judiciary,0.009000000000000001
accusations misconduct,0.009000000000000001
tweeden franken,0.008
tina smith,0.008
moore allegations,0.008
kirsten gillibrand,0.008
harvey weinstein,0.008
franken apologized,0.008
democrats franken,0.008
democratic senators,0.008
senate roy,0.006999999999999999
minnesota democrat,0.006999999999999999
franken groping,0.006999999999999999
unwanted advances,0.006
trump campaign,0.006
sexually assaulted,0.006
senate alabama,0.006
presidential campaign,0.006
moore alabama,0.006
kissing groping,0.006
franken's resignation,0.006
franken minnesota,0.006
franken d-mn,0.006
senators franken,0.005
senate democrats,0.005
resign allegations,0.005
republican roy,0.005
photo franken,0.005
minnesota democratic,0.005
los angeles,0.005
franken john,0.005
forcibly kissing,0.005
democrat franken,0.005
alabama republican,0.005
united senate,0.004
senators calling,0.004
senate republican,0.004
senate franken,0.004
roy moore's,0.004
resignation franken,0.004
republican senate,0.004
nancy pelosi,0.004
leader nancy,0.004
huffpost franken,0.004
hillary clinton,0.004
groping allegations,0.004
franken resigning,0.004
franken misconduct,0.004
franken kissing,0.004
franken harassment,0.004
franken groped,0.004
franken forcibly,0.004
franken democrats,0.004
franken democrat,0.004
franken buttocks,0.004
forcibly kissed,0.004
denies allegations,0.004
democratic minnesota,0.004
democrat doug,0.004
credible allegations,0.004
capitol washington,0.004
campaign trump,0.004
calling franken,0.004
alleged misconduct,0.004
allegations clinton,0.004
twitter franken,0.003
trump resign,0.003
trump franken,0.003
trump alleged,0.003
trent franks,0.003
teenage 30s,0.003
susan collins,0.003
smith d-minn,0.003
senate misconduct,0.003
resign senate,0.003
resign misconduct,0.003
producer harvey,0.003
pelosi d-calif,0.003
minnesota franken,0.003
matt lauer,0.003
listens senate,0.003
lisa murkowski,0.003
kissing grabbing,0.003
kevin spacey,0.003
huffington franken,0.003
harassment congress,0.003
harassment complaints,0.003
harassment abuse,0.003
handles harassment,0.003
groping uso,0.003
grabbing breasts,0.003
gillibrand d-n,0.003
franken resigns,0.003
franken resigned,0.003
franken photo,0.003
franken media,0.003
franken allegations,0.003
democrats senate,0.003
democrats republicans,0.003
david letterman,0.003
d-minn listens,0.003
colleague franken,0.003
campaign senate,0.003
campaign calling,0.003
breasts sleeping,0.003
bob menendez,0.003
bernie sanders,0.003
arnold reed,0.003
amy klobuchar,0.003
alleged russian,0.003
alleged incidents,0.003
alleged assault,0.003
allegations unwanted,0.003
allegations trump,0.003
allegations false,0.003
allegations conyers,0.003
alabama's election,0.003
woody allen,0.002
women's allegations,0.002
washington franken,0.002
warren d-mass,0.002
uso franken,0.002
united nations,0.002
tweeden photo,0.002
tweeden los,0.002
tv leeann,0.002
trump repeatedly,0.002
trump rally,0.002
trump moore,0.002
trump blamed,0.002
