label,perc
aziz ansari,0.46799999999999997
comedian aziz,0.055999999999999994
grace ansari,0.022000000000000002
james franco,0.016
aziz ansari's,0.016
ansari allegations,0.016
ashleigh banfield,0.013999999999999999
william macy,0.013000000000000001
sag awards,0.013000000000000001
ansari responds,0.013000000000000001
ansari grace,0.013000000000000001
kal penn,0.012
indications consensual,0.012
ansari misconduct,0.012
ansari assault,0.012
non-verbal cues,0.011000000000000001
hasan minhaj,0.011000000000000001
harvey weinstein,0.011000000000000001
anthony anderson,0.011000000000000001
ansari consensual,0.011000000000000001
macy shameless,0.01
anonymous woman's,0.01
amy schumer,0.01
amy poehler,0.01
website babe.net,0.009000000000000001
marvelous maisel,0.009000000000000001
lena waithe,0.009000000000000001
ansari's accuser,0.009000000000000001
kevin hart,0.008
bari weiss,0.008
babe ansari,0.008
ansari netflix,0.008
anderson black-ish,0.008
allegations ansari,0.008
woman's ansari,0.006999999999999999
nonverbal cues,0.006999999999999999
netflix aziz,0.006999999999999999
babe.net ansari,0.006999999999999999
ansari's alleged,0.006999999999999999
ansari uncomfortable,0.006999999999999999
ansari repeatedly,0.006999999999999999
ansari kal,0.006999999999999999
ansari indications,0.006999999999999999
affirmative consent,0.006999999999999999
actress tv,0.006999999999999999
website babe,0.006
tv aziz,0.006
samantha bee,0.006
misconduct allegation,0.006
mindy kaling,0.006
louis aziz,0.006
guild awards,0.006
grace aziz,0.006
caitlin flanagan,0.006
black-ish aziz,0.006
beverly hills,0.006
ansari violated,0.006
ansari none's,0.006
ansari kevin,0.006
alleged misconduct,0.006
alan yang,0.006
actors guild,0.006
writer aziz,0.005
woman's comedian,0.005
uncomfortable massage,0.005
titled aziz,0.005
time's pin,0.005
sean hayes,0.005
rachel brosnahan,0.005
none's rebuild,0.005
misconduct comedian,0.005
misconduct allegations,0.005
massage coerce,0.005
marc maron,0.005
larry david,0.005
hln anchor,0.005
grace's ansari,0.005
globe awards,0.005
franco attends,0.005
everyday interaction,0.005
criminal behavior's,0.005
coerce aziz,0.005
aziz criminal,0.005
awards misconduct,0.005
assault consensual,0.005
aparna nancherla,0.005
ansari scandal,0.005
ansari pressured,0.005
ansari nominated,0.005
ansari grace's,0.005
ansari globe,0.005
ansari everyday,0.005
ansari episode,0.005
ansari babe.net,0.005
ansari accusation,0.005
allegations misconduct,0.005
allegations aziz,0.005
workplace harassment,0.004
violated awkward,0.004
uncomfortable ansari,0.004
snl aziz,0.004
sketch snl,0.004
riz ahmed,0.004
revenge porn,0.004
responds misconduct,0.004
responds accusation,0.004
pseudonymously grace,0.004
no-show james,0.004
misconduct dated,0.004
maron glow,0.004
maisel tv,0.004
kevin bacon,0.004
jessica valenti,0.004
humiliation aziz,0.004
headlines violated,0.004
hayes grace,0.004
franco aziz,0.004
ewan mcgregor,0.004
eric mccormack,0.004
elisabeth moss,0.004
david curb,0.004
celebrities aziz,0.004
billboards wins,0.004
banfield criticized,0.004
bacon dick,0.004
babe.net detailing,0.004
awards aziz,0.004
attends billboards,0.004
assault allegation,0.004
asian american,0.004
ansari skips,0.004
ansari non-verbal,0.004
ansari no-show,0.004
ansari harvey,0.004
ansari globes,0.004
ansari applause,0.004
ansari anonymous,0.004
ansari amy,0.004
ansari allegation,0.004
ansari accuser,0.004
anonymous photographer,0.004
anchor ashleigh,0.004
adam scott,0.004
writer jessica,0.003
workplace harasser,0.003
woman's misconduct,0.003
woman's alleged,0.003
whoopi goldberg,0.003
tv nicole,0.003
tv ewan,0.003
sterling actress,0.003
skips sag,0.003
skips actors,0.003
shameless marc,0.003
sexual-misconduct allegation,0.003
schumer ansari's,0.003
responds assault,0.003
repeatedly initiate,0.003
rapist workplace,0.003
rape assault,0.003
penn hasan,0.003
op-ed ansari,0.003
nominated netflix,0.003
nicole kidman,0.003
netflix ansari,0.003
moss handmaid's,0.003
misconduct aziz,0.003
minhaj apu,0.003
mcgregor fargo,0.003
mccormack grace,0.003
maya rudolph,0.003
matt lauer,0.003
mandvi hasan,0.003
left-wing comedian,0.003
laura dern,0.003
katie ansari,0.003
hurt humiliate,0.003
humiliate ansari,0.003
hln ashleigh,0.003
hari kondabolu,0.003
harasser aziz,0.003
handmaid's marvelous,0.003
grace william,0.003
globes ceremony,0.003
globe winner,0.003
globe tv,0.003
genuinely websites,0.003
frontal samantha,0.003
franco ansari,0.003
feminist writer,0.003
emmy awards,0.003
dolores o'riordan,0.003
dick william,0.003
defending ansari,0.003
curb sean,0.003
cues advances,0.003
consent ansari,0.003
co-creator aziz,0.003
