label,perc
comedian aziz ansari,0.057
william macy shameless,0.017
aziz ansari misconduct,0.012
anthony anderson black-ish,0.012
aziz ansari responds,0.01
aziz ansari netflix,0.01
kevin bacon dick,0.009000000000000001
eric mccormack grace,0.009000000000000001
black-ish aziz ansari,0.009000000000000001
aziz ansari kevin,0.009000000000000001
ansari indications consensual,0.009000000000000001
anderson black-ish aziz,0.009000000000000001
shameless eric mccormack,0.006999999999999999
macy shameless eric,0.006999999999999999
louis aziz ansari,0.006999999999999999
dick william macy,0.006999999999999999
bacon dick william,0.006999999999999999
aziz ansari assault,0.006999999999999999
ansari kevin bacon,0.006999999999999999
titled aziz ansari,0.006
sean hayes grace,0.006
marc maron glow,0.006
larry david curb,0.006
aziz ansari amy,0.006
aziz ansari allegations,0.006
ansari amy poehler,0.006
woman's comedian aziz,0.005
tv aziz ansari,0.005
samantha bee aziz,0.005
netflix aziz ansari,0.005
misconduct comedian aziz,0.005
kevin hart aziz,0.005
james franco attends,0.005
hart aziz ansari,0.005
babe.net aziz ansari,0.005
aziz ansari pressured,0.005
aziz ansari none's,0.005
aziz ansari larry,0.005
aziz ansari everyday,0.005
ansari's alleged misconduct,0.005
ansari time's pin,0.005
ansari larry david,0.005
ansari everyday interaction,0.005
valenti tweeted aziz,0.004
tweeted aziz ansari,0.004
sag awards aziz,0.004
no-show james franco,0.004
jessica valenti tweeted,0.004
humiliation aziz ansari,0.004
hln anchor ashleigh,0.004
grace aziz ansari,0.004
globe awards beverly,0.004
franco attends billboards,0.004
david curb sean,0.004
curb sean hayes,0.004
bee aziz ansari,0.004
babe's aziz ansari,0.004
aziz ansari skips,0.004
aziz ansari paradox,0.004
aziz ansari no-show,0.004
aziz ansari kal,0.004
aziz ansari exposé,0.004
aziz ansari derail,0.004
awards aziz ansari,0.004
attends billboards wins,0.004
ansari responds misconduct,0.004
ansari none's rebuild,0.004
ansari non-verbal cues,0.004
ansari no-show james,0.004
ansari kal penn,0.004
ansari james franco,0.004
anchor ashleigh banfield,0.004
actors guild awards,0.004
writer jessica valenti,0.003
workplace harasser aziz,0.003
uncomfortable massage coerce,0.003
time's pin globes,0.003
sociologist eric klinenberg,0.003
snl aziz ansari,0.003
skips sag awards,0.003
sketch snl aziz,0.003
shameless marc maron,0.003
ruined ruined people's,0.003
responds misconduct allegations,0.003
rapist workplace harasser,0.003
photographer comedian aziz,0.003
misconduct aziz ansari,0.003
massage coerce aziz,0.003
macy shameless showtime,0.003
macy shameless marc,0.003
james franco aziz,0.003
headlines violated awkward,0.003
hayes grace william,0.003
harasser aziz ansari,0.003
grace's indications consensual,0.003
grace william macy,0.003
franco aziz ansari,0.003
feminist writer jessica,0.003
comedians louis aziz,0.003
comedians aziz ansari,0.003
coerce aziz criminal,0.003
aziz's ruined ruined,0.003
aziz criminal behavior's,0.003
aziz ansari website,0.003
aziz ansari sparks,0.003
aziz ansari james,0.003
aziz ansari globes,0.003
aziz ansari debacle,0.003
aziz ansari asian,0.003
aziz ansari arrives,0.003
aziz ansari anonymous,0.003
aziz ansari allegation,0.003
aziz ansari aggressive,0.003
anthony anderson blackish,0.003
ansari website babe,0.003
ansari skips sag,0.003
ansari nominated netflix,0.003
ansari anonymous grace,0.003
anonymous woman's comedian,0.003
anonymous woman's ansari,0.003
anonymous photographer comedian,0.003
allegations comedian aziz,0.003
allegations aziz ansari,0.003
actors james franco,0.003
accusation misconduct comedian,0.003
abc aziz ansari,0.003
75th globe awards,0.003
year's globes ceremony,0.002
writer lashed banfield,0.002
writer katie babe.net,0.002
woman's aziz ansari,0.002
woman's alleged aziz,0.002
well-deserved skewering defending,0.002
weiss aziz ansari,0.002
weinstein countless behaved,0.002
weinstein aziz ansari,0.002
weinstein allegations babe's,0.002
waithe breaks aziz,0.002
waithe aziz ansari,0.002
unpleasant anonymous photographer,0.002
unnamed photographer's accusation,0.002
today's cranberries front-woman,0.002
titled humiliation aziz,0.002
time's pin globe,0.002
tales abuse wafted,0.002
takeaway aziz ansari,0.002
tab media babe,0.002
statuette william macy,0.002
snl sketch couples,0.002
skewering defending aziz,0.002
showtime eric mccormack,0.002
shameless showtime eric,0.002
schumer aziz ansari,0.002
sarah silverman louis,0.002
sarah silverman compassion,0.002
samantha bee ashleigh,0.002
sag awards misconduct,0.002
ruined people's schumer,0.002
romance aziz ansari,0.002
poses 75th globe,0.002
poorly aziz ansari,0.002
photographer's accusation misconduct,0.002
photographed pin solidarity,0.002
personalities criticize babe.net,0.002
patrick courrielche campaign,0.002
paradox megan garber,0.002
online babe detailing,0.002
online ansari aggressive,0.002
online anonymous woman's,0.002
non-verbal cues uncomfortable,0.002
non-verbal cues discomfort,0.002
nominees anthony anderson,0.002
nominated sag netflix,0.002
no-show headlines violated,0.002
news's patrick courrielche,0.002
netflix's aziz ansari,0.002
netflix kevin bacon,0.002
moments year's globes,0.002
misdeeds weinstein countless,0.002
misconduct startling outlier,0.002
misconduct left-wing comedian,0.002
mccormack grace nbc,0.002
mastronardi aziz ansari,0.002
martinelli's juice aziz,0.002
mandvi hasan minhaj,0.002
lucy liu jackie,0.002
louis franken aziz,0.002
liu jackie chan,0.002
litany misdeeds weinstein,0.002
lena waithe breaks,0.002
lena waithe aziz,0.002
left-wing comedian aziz,0.002
lashed banfield criticized,0.002
juice aziz ansari,0.002
jackie chan aziz,0.002
indications consensual ansari,0.002
ignoring non-verbal cues,0.002
hln ashleigh banfield,0.002
harvey weinstein aziz,0.002
harvey weinstein allegedly,0.002
guild awards nominees,0.002
grace's aziz ansari,0.002
grace forgotten ansari,0.002
grace babe.net ansari,0.002
grace ansari focusing,0.002
globe-winning aziz ansari,0.002
globe tv aziz,0.002
globe time's pin,0.002
frontal samantha bee,0.002
front-woman dolores o'riordan,0.002
franken aziz ansari,0.002
framed feminist website,0.002
feminist website ansari,0.002
featuring aziz ansari,0.002
episode assault rape,0.002
engaging indications consensual,0.002
dozens weinstein allegations,0.002
dick amazon william,0.002
