label,perc
brett kavanaugh,0.2
supreme nominee,0.081
nominee brett,0.06
judge kavanaugh,0.055
christine blasey,0.055
blasey ford,0.049
senate judiciary,0.044000000000000004
kavanaugh's nomination,0.044000000000000004
judge brett,0.042
kavanaugh supreme,0.035
kavanaugh's confirmation,0.024
kavanaugh allegations,0.023
ford kavanaugh,0.021
brett kavanaugh's,0.021
donald trump,0.02
kavanaugh confirmation,0.019
sexually assaulted,0.017
anthony kennedy,0.016
kavanaugh judge,0.015
trump kavanaugh,0.013999999999999999
deborah ramirez,0.013999999999999999
confirmation hearings,0.013999999999999999
roe wade,0.013000000000000001
kavanaugh senate,0.012
judge kavanaugh's,0.012
confirm kavanaugh,0.012
allegations kavanaugh,0.012
kavanaugh sexually,0.011000000000000001
kavanaugh accuser,0.011000000000000001
jeff flake,0.011000000000000001
donald trump's,0.011000000000000001
trump's supreme,0.01
kavanaugh's supreme,0.01
kavanaugh assault,0.01
julie swetnick,0.01
supreme nomination,0.009000000000000001
kavanaugh hearings,0.009000000000000001
kavanaugh ford,0.009000000000000001
kavanaugh assaulted,0.009000000000000001
blasey ford's,0.009000000000000001
trump nominated,0.008
susan collins,0.008
republican senators,0.008
misconduct allegations,0.008
kavanaugh trump,0.008
george bush,0.008
democrats kavanaugh,0.008
supreme confirmation,0.006999999999999999
sexually assaulting,0.006999999999999999
senate democrats,0.006999999999999999
kavanaugh testify,0.006999999999999999
kavanaugh nomination,0.006999999999999999
kavanaugh christine,0.006999999999999999
california professor,0.006999999999999999
assault allegations,0.006999999999999999
appeals judge,0.006999999999999999
alleged assault,0.006999999999999999
allegations assault,0.006999999999999999
senate confirmation,0.006
mitch mcconnell,0.006
mazie hirono,0.006
lisa murkowski,0.006
kavanaugh's judge,0.006
kavanaugh's accuser,0.006
kavanaugh republicans,0.006
classmate kavanaugh's,0.006
accuser christine,0.006
yale university,0.005
trump fbi,0.005
senate kavanaugh's,0.005
ramirez kavanaugh,0.005
overturn roe,0.005
nominee supreme,0.005
nomination supreme,0.005
nomination kavanaugh,0.005
michael avenatti,0.005
lindsey graham,0.005
leader mitch,0.005
kavanaugh misconduct,0.005
kavanaugh accusations,0.005
judiciary kavanaugh's,0.005
georgetown prep,0.005
ford california,0.005
fbi kavanaugh,0.005
drunken kavanaugh,0.005
dianne feinstein,0.005
democrats kavanaugh's,0.005
chuck grassley,0.005
appeals washington,0.005
allegations misconduct,0.005
allegations judge,0.005
allegation kavanaugh,0.005
yorker kavanaugh,0.004
trump's nominee,0.004
testify senate,0.004
supreme brett,0.004
senate leader,0.004
senate confirm,0.004
retiring anthony,0.004
republicans kavanaugh,0.004
republicans democrats,0.004
nominee judge,0.004
nominated kavanaugh,0.004
murkowski alaska,0.004
misconduct kavanaugh,0.004
midterm elections,0.004
merrick garland,0.004
kenneth starr's,0.004
kavanaugh's writings,0.004
kavanaugh testified,0.004
kavanaugh kavanaugh,0.004
kavanaugh joe,0.004
kavanaugh fox,0.004
kavanaugh fbi,0.004
kavanaugh donald,0.004
kavanaugh denies,0.004
kavanaugh conservative,0.004
kavanaugh clerks,0.004
joel kaplan,0.004
