term,left_bin,left_perc,right_bin,right_perc
Supreme Court,10.0,0.793155788602,10.0,0.7494391125509999
Senate,6.0,0.47088450393299996,6.0,0.45999002866800004
Senate Judiciary Committee,5.0,0.319442527943,4.0,0.306961236445
Ford,4.0,0.278391058369,4.0,0.28377788856999997
FBI,4.0,0.252794259694,4.0,0.27321450828899996
White House,3.0,0.235545743066,3.0,0.17141343637000003
GOP,3.0,0.17683179246599998,2.0,0.150972204911
Congress,2.0,0.138609079619,2.0,0.11641530599500001
Washington Post,2.0,0.119980681661,2.0,0.09120653122269999
Judiciary Committee,2.0,0.10576790395999999,2.0,0.0999937679172
New York Times,2.0,0.104112046364,1.0,0.0752212389381
CNN,2.0,0.0966606871809,2.0,0.11791100585799999
Fox News,2.0,0.0812060162826,2.0,0.0989654742615
Yale,1.0,0.07575548502830001,1.0,0.0554343761685
U.S. Supreme Court,1.0,0.0692010487098,1.0,0.0726349245918
House,1.0,0.05002069822,1.0,0.052256013959900004
Republican,1.0,0.048295846557200005,1.0,0.0351801071918
Trump,1.0,0.0429833034359,1.0,0.0308488096722
Republican Party,1.0,0.0429143093694,1.0,0.0205035522872
MSNBC,1.0,0.038912653511800004,1.0,0.038794715193800004
Associated Press,1.0,0.0327721815924,1.0,0.042222360713
Justice Department,1.0,0.030495377397500002,1.0,0.022030412563900002
AP,1.0,0.0300814129985,1.0,0.060513523619599996
Lexington Herald,1.0,0.029874430799,0.0,0.0
U.S. Senate,1.0,0.0294604663999,1.0,0.0320640658108
NBC News,1.0,0.029391472333400004,1.0,0.0252087747725
NBC,1.0,0.0287015316683,1.0,0.0379222236071
Yale University,1.0,0.0280115910032,1.0,0.0234326311853
NPR,1.0,0.027390644404599998,1.0,0.00856911379783
Dr. Ford,1.0,0.0263557334069,1.0,0.032998878225099997
Trump administration,1.0,0.0255967986753,1.0,0.013928704973200002
Facebook,1.0,0.023113012280900003,1.0,0.0269849183597
Palo Alto University,1.0,0.0226990478819,1.0,0.0178237566995
United States Supreme Court,1.0,0.0206982199531,1.0,0.022342016702
Democratic Party,1.0,0.0195253208224,1.0,0.0347750218123
Democratic,1.0,0.0191113564233,1.0,0.0202542689767
CBS,1.0,0.0182144335587,1.0,0.0248971706344
D.C. Circuit,1.0,0.017248516627599998,1.0,0.015455565249900001
ABC,1.0,0.0168345522285,1.0,0.0240246790477
Wall Street Journal,1.0,0.015592659031299999,1.0,0.018384644148099996
Reuters,1.0,0.0155236649648,1.0,0.017917237940900003
Politico,1.0,0.0153856768318,1.0,0.0131185342141
Capitol Hill,1.0,0.014626742100200001,1.0,0.0193506169762
Vox,1.0,0.0144887539672,1.0,0.0033341642777000003
house,1.0,0.014350765834099999,1.0,0.0186962482862
Times,1.0,0.014212777701099999,1.0,0.012027919730799998
Harvard,1.0,0.0137988133021,1.0,0.014614234077
