label,perc
Brett Kavanaugh,0.982474812
Christine Blasey Ford,0.416489286
Donald Trump,0.37164751
Trump,0.215481765
Susan Collins,0.12735916
Chuck Grassley,0.124521073
Mitch McConnell,0.120760607
Dianne Feinstein,0.118419185
Jeff Flake,0.109408259
Anthony Kennedy,0.108485881
Deborah Ramirez,0.088477366
Lisa Murkowski,0.086277849
George W. Bush,0.084787853
Roe,0.084433092
Wade,0.074570739
Neil Gorsuch,0.074428835
Clarence Thomas,0.072016461
Lindsey Graham,0.068823613
Hillary Clinton,0.062721726
Barack Obama,0.06222506
Chuck Schumer,0.060522208
Bill Clinton,0.05796793
Julie Swetnick,0.056619838
Joe Manchin,0.056477934
Anita Hill,0.055839364
Mark Judge,0.055484603
Robert Mueller,0.049595573
Michael Avenatti,0.046047964
Heidi Heitkamp,0.041790833
Cory Booker,0.039378459
Orrin Hatch,0.039023698
Brett M. Kavanaugh,0.037888463
John Roberts,0.036043707
Obama,0.03583085
Kamala Harris,0.035263233
Antonin Scalia,0.034340854
Rachel Mitchell,0.032921811
Joe Donnelly,0.032779906
John Cornyn,0.031857528
Ted Cruz,0.031502767
John McCain,0.031360863
Richard Blumenthal,0.031148006
Mike Pence,0.029374202
Merrick Garland,0.028735632
Mazie Hirono,0.028593728
Amy Coney Barrett,0.028451823
Debra Katz,0.027387541
Dick Durbin,0.025258975
Ruth Bader Ginsburg,0.023839932
Rod Rosenstein,0.023698028
Amy Klobuchar,0.023201362
Christine Ford,0.022704697
Elena Kagan,0.021711367
Don McGahn,0.02149851
Jeff Sessions,0.021356606
Patrick Leahy,0.020930893
Bob Corker,0.020788988
Bush,0.020718036
Kellyanne Conway,0.020647084
Raymond Kethledge,0.020008514
Nancy Pelosi,0.019582801
Ken Starr,0.019440897
Chris Coons,0.018518519
Fox,0.018376614
Clintons,0.018376614
Vladimir Putin,0.017879949
Joe Biden,0.017738045
Sheldon Whitehouse,0.017667092
Michael Cohen,0.017454236
Elizabeth Warren,0.017312331
Thomas Hardiman,0.017241379
Ronald Reagan,0.016886618
Claire McCaskill,0.016673762
Bernie Sanders,0.016460905
Kenneth Starr,0.016460905
Raj Shah,0.016319001
Paul Manafort,0.01532567
Samuel Alito,0.01532567
Richard Nixon,0.015183766
Mike Lee,0.015183766
Sarah Huckabee Sanders,0.015041862
Sonia Sotomayor,0.014616149
Monica Lewinsky,0.013906627
Sarah Sanders,0.013835675
Harvey Weinstein,0.013764723
Clinton,0.01333901
Paul Ryan,0.013268057
Grassley,0.013055201
Robert Bork,0.012913296
Anna Eshoo,0.012629488
James Comey,0.012558536
Ronan Farrow,0.012487583
Mike Pompeo,0.012416631
Anthony M. Kennedy,0.012274727
Kirsten Gillibrand,0.012132822
Leland Keyser,0.011778062
Feinstein,0.011636157
Ford,0.011565205
Ben Sasse,0.011210444
Kevin Cramer,0.011139492
John Kennedy,0.01106854
Rand Paul,0.010926635
Bill Cosby,0.010713779
Dean Heller,0.010500922
Jane Mayer,0.010500922
George H.W. Bush,0.01042997
Leonard Leo,0.010217114
