label,perc
politics and government,0.761316872428
crime and criminals,0.44210302256300005
united states politics and government,0.42507449978699996
sex crimes,0.411167872854
appointments and executive changes,0.202852277565
elections,0.19064850290899998
ethics,0.125940116362
women,0.096991627643
education and schools,0.0687526607067
courts,0.061160777635900006
biographical information,0.0593160210018
news and news media,0.0512274726834
judges,0.04718319852419999
law and legislation,0.0427841634738
abortion,0.0395913154534
suits and litigation,0.0368241805023
presidents and presidency (us),0.035263232581199996
finances,0.035192280403
media,0.0346956151554
medicine and health,0.029019440896799996
computers and the internet,0.025897545054599996
television,0.025471831985200002
demonstrations and riots,0.023485170994700003
colleges and universities,0.0227046970342
decisions and verdicts,0.021782318717200003
blacks,0.0183056619838
presidential elections (us),0.0150418617852
legal profession,0.014899957428700003
international relations,0.0148290052505
public opinion,0.0132680573294
discrimination,0.0132680573294
children and youth,0.01284234426
books and literature,0.0114942528736
quotation of the day,0.010429970200100001
united states international relations,0.0101461614872
election issues,0.00972044841777
advertising and marketing,0.00936568752661
homosexuality,0.00908187881368
sexual harassment,0.00908187881368
religion and churches,0.00886902227898
editorials,0.00858521356606
"armament, defense and military forces",0.0080175961402
impeachment,0.007591883070810001
labor,0.00752093089258
immigration and refugees,0.00695331346672
"suspensions, dismissals and resignations",0.00695331346672
terrorism,0.00652760039733
primaries,0.00638569604087
basketball,0.0062437916844
privacy,0.006101887327939999
taxation,0.006101887327939999
murders and attempted murders,0.00567617425855
child abuse and neglect,0.00560522208032
insurance,0.00510855683269
christians and christianity,0.00503760465446
motion pictures,0.004895700298
environment,0.0047537959415399995
sentences (criminal),0.0047537959415399995
legislatures and parliaments,0.00446998722861
health insurance and managed care,0.00418617851568
international trade and world market,0.00418617851568
frauds and swindling,0.00411522633745
hurricanes and tropical storms,0.00404427415922
drug abuse and traffic,0.0034057045551300004
marriages,0.00326380019867
political advertising,0.00319284802043
united states armament and defense,0.0030509436639699996
firearms,0.0030509436639699996
music,0.0030509436639699996
budgets and budgeting,0.00297999148574
health insurance,0.00283808712927
police,0.00276713495104
gun control,0.00276713495104
air pollution,0.00276713495104
global warming,0.0026961827728099997
freedom and human rights,0.0026961827728099997
illegal aliens,0.00262523059458
beverages,0.00262523059458
lobbying and lobbyists,0.00248332623812
alcoholic beverages,0.00241237405988
minorities (us),0.00234142188165
reviews,0.00234142188165
church-state relations,0.00227046970342
ratings and rating systems,0.0021995175251900002
