label,perc
christine blasey,0.276
blasey ford,0.27399999999999997
brett kavanaugh,0.096
senate judiciary,0.094
ford kavanaugh,0.065
supreme nominee,0.057
nominee brett,0.046
sexually assaulted,0.037000000000000005
kavanaugh sexually,0.034
accuser christine,0.033
kavanaugh ford,0.031
ford's allegations,0.03
ford testify,0.027999999999999997
alleged assault,0.027999999999999997
judge kavanaugh,0.027000000000000003
sexually assaulting,0.023
ford alleged,0.023
ford senate,0.022000000000000002
ford judge,0.02
chuck grassley,0.02
psychology professor,0.018000000000000002
professor christine,0.018000000000000002
kavanaugh accuser,0.018000000000000002
rachel mitchell,0.017
kavanaugh christine,0.017
kavanaugh assault,0.016
judge brett,0.016
testify senate,0.015
kavanaugh's nomination,0.015
judiciary chuck,0.015
ford's allegation,0.015
ford washington,0.015
donald trump,0.015
kavanaugh's accuser,0.013999999999999999
ford testified,0.013000000000000001
ford california,0.013000000000000001
ford alleges,0.013000000000000001
deborah ramirez,0.013000000000000001
brett kavanaugh's,0.013000000000000001
kavanaugh judge,0.012
ford assault,0.012
testified senate,0.011000000000000001
ford's attorneys,0.011000000000000001
ford brett,0.011000000000000001
california professor,0.011000000000000001
blasey ford's,0.011000000000000001
prosecutor rachel,0.01
kavanaugh ford's,0.01
julie swetnick,0.01
judiciary kavanaugh,0.01
ford sexually,0.01
ford allegations,0.01
california psychology,0.01
allegations kavanaugh,0.01
senate republicans,0.009000000000000001
kavanaugh's confirmation,0.009000000000000001
kavanaugh testify,0.009000000000000001
kavanaugh pinned,0.009000000000000001
grassley r-iowa,0.009000000000000001
ford supreme,0.009000000000000001
ford deborah,0.009000000000000001
dianne feinstein,0.009000000000000001
assault allegations,0.009000000000000001
senate democrats,0.008
kavanaugh senate,0.008
kavanaugh assaulted,0.008
ford kavanaugh's,0.008
debra katz,0.008
alleged kavanaugh,0.008
republicans ford,0.006999999999999999
palo alto,0.006999999999999999
kavanaugh misconduct,0.006999999999999999
judiciary ford,0.006999999999999999
judge ford,0.006999999999999999
ford psychologist,0.006999999999999999
fbi investigate,0.006999999999999999
christine ford,0.006999999999999999
assaulted teenagers,0.006999999999999999
alto university,0.006999999999999999
alleges kavanaugh,0.006999999999999999
trump's supreme,0.006
mitchell ford,0.006
leland keyser,0.006
kavanaugh allegedly,0.006
judiciary allegations,0.006
judge kavanaugh's,0.006
jeff flake,0.006
ford's assault,0.006
ford deserves,0.006
ford credible,0.006
ford allegation,0.006
fbi ford's,0.006
fbi ford,0.006
allegations christine,0.006
accusers christine,0.006
thursday's senate,0.005
testifying senate,0.005
susan collins,0.005
russell ford,0.005
republicans senate,0.005
ramirez julie,0.005
professor palo,0.005
pinned groped,0.005
northern california,0.005
mitchell christine,0.005
misconduct allegations,0.005
kavanaugh testified,0.005
kavanaugh rape,0.005
kavanaugh allegations,0.005
judiciary christine,0.005
georgetown prep,0.005
ford's accusation,0.005
ford psychology,0.005
ford professor,0.005
ford fbi,0.005
ford cooperate,0.005
crimes prosecutor,0.005
classmate kavanaugh's,0.005
capitol washington,0.005
assaulted kavanaugh,0.005
assaulted 1980s,0.005
arizona prosecutor,0.005
allegations assault,0.005
allegation kavanaugh,0.005
washington ford,0.004
victims assault,0.004
supreme nomination,0.004
stifle screams,0.004
senate kavanaugh,0.004
senate christine,0.004
richard blumenthal,0.004
republicans ford's,0.004
nomination ford,0.004
maryland 1980s,0.004
kavanaugh's alleged,0.004
kavanaugh supreme,0.004
kavanaugh kavanaugh,0.004
kavanaugh confirmation,0.004
kavanaugh blasey,0.004
judiciary capitol,0.004
judge senate,0.004
inadvertently ford,0.004
grassley ford,0.004
ford's credibility,0.004
ford testifying,0.004
ford christine,0.004
ford assaulted,0.004
fbi senate,0.004
donald trump's,0.004
blasey kavanaugh,0.004
blasey judge,0.004
attorneys christine,0.004
assault allegation,0.004
assault 1980s,0.004
allegations ford,0.004
allegation supreme,0.004
university professor,0.003
university california,0.003
testify supreme,0.003
testify kavanaugh,0.003
sheldon whitehouse,0.003
sexually assault,0.003
sex-crimes prosecutor,0.003
seung min,0.003
senate ford's,0.003
senate ford,0.003
republicans prosecutor,0.003
republican senators,0.003
refute ford's,0.003
rape teenagers,0.003
ranking feinstein,0.003
r-iowa ford,0.003
psychologist northern,0.003
professor supreme,0.003
professor assault,0.003
nominee judge,0.003
nomination senate,0.003
min kim,0.003
michael avenatti,0.003
mazie hirono,0.003
lindsey graham,0.003
leaked ford,0.003
kirsten gillibrand,0.003
kellyanne conway,0.003
kavanaugh's supreme,0.003
kavanaugh's judge,0.003
kavanaugh's georgetown,0.003
kavanaugh donald,0.003
kavanaugh deserves,0.003
kavanaugh denies,0.003
kavanaugh accusers,0.003
kavanaugh 1980s,0.003
judiciary ford's,0.003
judiciary blasey,0.003
judiciary assault,0.003
judge alleged,0.003
invitation testify,0.003
investigate ford's,0.003
indelible hippocampus,0.003
grassley iowa,0.003
grassley ford's,0.003
grassley christine,0.003
gop senate,0.003
gofundme campaign,0.003
fox ford,0.003
ford's senate,0.003
ford's recollection,0.003
ford's ramirez's,0.003
