label,perc
Christine Blasey Ford,0.982396948804
Brett Kavanaugh,0.826903329911
Donald Trump,0.308200088015
Trump,0.21783775854499998
Deborah Ramirez,0.182631656154
Jeff Flake,0.17749743288800002
Chuck Grassley,0.17089628869000004
Dianne Feinstein,0.161654686812
Susan Collins,0.153146545401
Mitch McConnell,0.128942350007
Brett M. Kavanaugh,0.117206982544
Clarence Thomas,0.109285609506
Mark Judge,0.109138917412
Anita Hill,0.10708522810599999
Lisa Murkowski,0.102831157401
Julie Swetnick,0.10209769693399999
Lindsey Graham,0.09212263458999999
Rachel Mitchell,0.0739328150213
Michael Avenatti,0.0690919759425
Debra Katz,0.056623148012300006
Kavanaugh,0.055596303359199996
Joe Manchin,0.0503153880006
Orrin Hatch,0.046794777761500005
Hillary Clinton,0.0441543200821
Bill Clinton,0.038873404723499996
Barack Obama,0.036526331230699996
Mazie Hirono,0.036379639137499996
Anthony Kennedy,0.0360862549509
Chuck Schumer,0.0359395628576
Kellyanne Conway,0.0357928707643
George W. Bush,0.03476602611119999
Amy Klobuchar,0.0346193340179
Heidi Heitkamp,0.0340325656447
John Cornyn,0.0331524130849
Richard Blumenthal,0.0313921079654
Christine Ford,0.0313921079654
Bob Corker,0.029925187032400002
Neil Gorsuch,0.0274314214464
Roe,0.027284729353099998
Kamala Harris,0.0268446530732
Ted Cruz,0.025377732140200004
Charles E. Grassley,0.0246442716738
Leland Keyser,0.0246442716738
Chris Coons,0.0243508874872
Clintons,0.023764119114
Wade,0.0236174270207
Joe Biden,0.023324042834099997
Cory Booker,0.0230306586475
Fox,0.022443890274299997
Patrick Leahy,0.022297198180999997
Merrick Garland,0.022150506087700004
Sheldon Whitehouse,0.021857121901099997
Lisa Banks,0.0203902009682
Harvey Weinstein,0.019803432595
Dick Durbin,0.019803432595
Sarah Huckabee Sanders,0.019363356315099996
Rod Rosenstein,0.0189232800352
Anna Eshoo,0.0187765879419
Robert Mueller,0.0180431274754
Ronan Farrow,0.0180431274754
Mike Pence,0.0171629749157
Obama,0.0168695907291
Grassley,0.0168695907291
Don McGahn,0.0167228986358
Martha MacCallum,0.0162828223559
Ed Whelan,0.0161361302626
Michael Bromwich,0.0161361302626
Lindsey O. Graham,0.0159894381693
Jane Mayer,0.0156960539827
Sarah Sanders,0.015549361889400001
Raj Shah,0.015549361889400001
Joe Donnelly,0.014815901422899999
Antonin Scalia,0.014375825142999999
Feinstein,0.014229133049700003
Bill Cosby,0.013935748863099999
Ruth Bader Ginsburg,0.0137890567698
John Roberts,0.0136423646765
Roy Moore,0.0134956725832
John Kennedy,0.0134956725832
Donald Trump Jr.,0.013055596303399999
Kirsten Gillibrand,0.013055596303399999
Claire McCaskill,0.0124688279302
Ronald Reagan,0.0117353674637
Kevin Cramer,0.011588675370399999
Charles Grassley,0.011588675370399999
John McCain,0.011295291183799998
Seung Min Kim,0.011295291183799998
Emma Brown,0.011001906997200002
Ken Starr,0.011001906997200002
Bush,0.0108552149039
Nancy Pelosi,0.0108552149039
Sean Hannity,0.0108552149039
Dean Heller,0.0107085228106
Elizabeth Warren,0.0105618307173
Chris Wallace,0.0105618307173
Ashley,0.010415138624
Alyssa Milano,0.010415138624
Ben Sasse,0.0101217544374
James Roche,0.0101217544374
John Clune,0.0101217544374
Jeff Sessions,0.00997506234414
Al Franken,0.00997506234414
RAINN,0.00982837025084
Robert Bork,0.009681678157549998
Taylor Foy,0.009681678157549998
P.J. Smyth,0.009681678157549998
John Wagner,0.00938829397095
Mike Lee,0.00938829397095
Jake Tapper,0.009241601877659999
Kerri Kupec,0.009241601877659999
Sonia Sotomayor,0.00909490978436
Richard Cowan,0.00909490978436
Ana Maria Archila,0.00909490978436
Debbie Ramirez,0.00909490978436
James Comey,0.00894821769107
Stormy Daniels,0.00894821769107
