label,perc
politics and government,0.333442057686
united states politics and government,0.175993662923
finances,0.167396673035
elections,0.107264339966
basketball,0.0936349657518
law and legislation,0.0884860910489
crime and criminals,0.0878337449327
taxation,0.07606821676530001
motion pictures,0.07052327477749999
sex crimes,0.0586645543078
computers and the internet,0.054074833418800004
television,0.052886631564199996
football,0.0486230837333
baseball,0.047201901123000004
medicine and health,0.0444294301291
labor,0.0422394110246
ethics,0.038418526629699995
international relations,0.0372769209263
games,0.033246353851200006
college athletics,0.029658450211999997
education and schools,0.0293089790783
international trade and world market,0.0280508829971
immigration and refugees,0.0279576906947
economic conditions and trends,0.0277946041657
"armament, defense and military forces",0.027515027258700003
biographical information,0.0267694888402
murders and attempted murders,0.026140440799599998
budgets and budgeting,0.0258142677415
united states international relations,0.024369787055599997
women,0.0242299986021
reviews,0.023927123619599998
news and news media,0.0237174409394
suits and litigation,0.0213876333815
playoff games,0.0203858161316
primaries,0.019640277713099997
music,0.019640277713099997
blacks,0.019034527748
athletics and sports,0.019034527748
united states economy,0.017287172079599997
"hockey, ice",0.0165649317366
books and literature,0.0164717394343
stocks and bonds,0.016005777922700002
police,0.0156330087135
automobile racing,0.01549322026
presidents and presidency (us),0.0154466241088
appointments and executive changes,0.0152369414286
media,0.0150272587484
coaches and managers,0.0147476818415
terrorism,0.0147243837659
illegal aliens,0.014584595312399999
frauds and swindling,0.0144215087834
children and youth,0.014072037649700001
soccer,0.0140254414985
customs (tariff),0.0139788453474
advertising and marketing,0.013442989609100002
banks and banking,0.0126042588882
"awards, decorations and honors",0.0122547877545
theater,0.0119286146964
boxing,0.0119286146964
decisions and verdicts,0.0118587204697
united states armament and defense,0.011555845487200001
tax credits,0.0114160570337
"prices (fares, fees and rates)",0.0113228647314
discrimination,0.0112296724291
tennis,0.010554028237299999
election issues,0.0102977494059
federal taxes (us),0.010227855179200001
drug abuse and traffic,0.0101346628768
lobbying and lobbyists,0.009901682121059999
food,0.00976189366758
homosexuality,0.00943572060948
golf,0.00931923023158
accidents and safety,0.0089697590979
religion and churches,0.008643586039790001
wages and salaries,0.008643586039790001
race,0.00843390335958
insurance,0.00838730720842
"suspensions, dismissals and resignations",0.00836400913285
demonstrations and riots,0.00829411490611
sentences (criminal),0.008270816830530001
presidential elections (us),0.008131028377060001
environment,0.00810773030148
travel and vacations,0.007944643772419999
legislatures and parliaments,0.007781557243369999
oil (petroleum) and gasoline,0.0076417687899
credit,0.007595172638739999
energy and power,0.00726899958063
corporations,0.00726899958063
editorials,0.00724570150506
governors (us),0.00710591305158
draft and recruitment (sports),0.007082614976
diseases and conditions,0.00705931690042
"mergers, acquisitions and divestitures",0.00691952844695
sexual harassment,0.00670984576674
colleges and universities,0.006639951539999999
airlines and airplanes,0.0065933553888400005
health insurance and managed care,0.00647686501095
housing,0.00647686501095
ncaa basketball tournament,0.00647686501095
company reports,0.006313778481899999
weather,0.00617399002842
super bowl,0.00608079772611
apparel,0.006034201574949999
hurricanes and tropical storms,0.005941009272630001
interest rates,0.005754624668000001
firearms,0.00570802851684
public opinion,0.005405153534319999
olympic games,0.00535855738316
computer software,0.00521876892969
child abuse and neglect,0.00475280741811
automobiles,0.00468291319137
police brutality and misconduct,0.00468291319137
christians and christianity,0.0045431247379
atomic weapons,0.00447323051116
sales,0.00431014398211
fires and firefighters,0.00428684590653
abortion,0.004263547830949999
world cup (soccer),0.00424024975537
health insurance,0.004123759377480001
deaths (obituaries),0.00400726899958
retirement,0.00396067284842
steel and iron,0.00393737477284
electric light and power,0.0039140766972600004
retail stores and trade,0.00386748054611
telephones and telecommunications,0.0037975863193699996
roads and traffic,0.0037509901682100002
academy awards (oscars),0.0036577978659000005
light,0.0036344997903200002
violence,0.00358790363916
festivals,0.003541307488
sex,0.00349471133684
animals,0.00349471133684
advertising,0.00347141326126
ratings and rating systems,0.00344811518569
privacy,0.00340151903453
agriculture,0.0033782209589499996
research,0.00335492288337
