label,perc
comedian louis,0.09699999999999999
louis ck,0.083
louis misconduct,0.069
kevin spacey,0.05
harvey weinstein,0.045
misconduct allegations,0.028999999999999998
matt lauer,0.027000000000000003
allegations misconduct,0.027000000000000003
louis daddy,0.024
allegations louis,0.023
spacey louis,0.022000000000000002
roy moore,0.022000000000000002
misconduct louis,0.02
sarah silverman,0.018000000000000002
louis comedian,0.018000000000000002
roseanne barr,0.017
louis masturbated,0.017
jon stewart,0.017
louis roseanne,0.016
louis masturbating,0.016
louis ck's,0.015
fx networks,0.015
norm macdonald,0.013999999999999999
weinstein louis,0.012
dave becky,0.012
weinstein kevin,0.011000000000000001
stephen colbert,0.011000000000000001
pamela adlon,0.011000000000000001
misconduct comedian,0.011000000000000001
louis scandal,0.01
louis fx,0.01
louis allegations,0.01
fx productions,0.01
ties louis,0.009000000000000001
louis performs,0.009000000000000001
lewis kay,0.009000000000000001
charlie louis,0.009000000000000001
brett ratner,0.009000000000000001
rumors louis,0.008
publicist lewis,0.008
louis comeback,0.008
louis canceled,0.008
harassment allegations,0.008
comedians louis,0.008
abby schachner,0.008
woody allen,0.006999999999999999
spacey comedian,0.006999999999999999
networks fx,0.006999999999999999
misconduct scandal,0.006999999999999999
louis stand-up,0.006999999999999999
louis louis,0.006999999999999999
louis kevin,0.006999999999999999
louis accusers,0.006999999999999999
james toback,0.006999999999999999
hbo louis,0.006999999999999999
daddy canceled,0.006999999999999999
admitting misconduct,0.006999999999999999
accuse louis,0.006999999999999999
accusations misconduct,0.006999999999999999
stewart stunned,0.006
schachner louis,0.006
revelations louis,0.006
productions louis,0.006
producer harvey,0.006
premiere louis,0.006
louis roy,0.006
louis responds,0.006
louis publicist,0.006
louis premiere,0.006
louis matt,0.006
louis inappropriate,0.006
louis apology,0.006
longtime louis,0.006
lauer charlie,0.006
franken louis,0.006
dustin hoffman,0.006
donald trump,0.006
comic louis,0.006
comedian sarah,0.006
ck allegations,0.006
canceled louis,0.006
accusations louis,0.006
weinstein scandal,0.005
weinstein comedian,0.005
tig notaro,0.005
stunned louis,0.005
sexually harassed,0.005
senate roy,0.005
roseanne louis,0.005
rebecca corry,0.005
premiere daddy,0.005
mogul harvey,0.005
macdonald louis,0.005
louis pervert,0.005
louis harassment,0.005
