label,perc
politics and government,0.705172413793
crime and criminals,0.5965517241380001
sex crimes,0.58275862069
women,0.45862068965499997
united states politics and government,0.420689655172
ethics,0.27413793103399997
elections,0.255172413793
sexual harassment,0.22413793103399998
biographical information,0.0931034482759
news and news media,0.0862068965517
"suspensions, dismissals and resignations",0.0844827586207
television,0.0689655172414
law and legislation,0.0655172413793
finances,0.0655172413793
media,0.0637931034483
motion pictures,0.051724137931
presidents and presidency (us),0.051724137931
labor,0.048275862068999996
discrimination,0.0431034482759
suits and litigation,0.041379310344800004
computers and the internet,0.0310344827586
books and literature,0.0258620689655
medicine and health,0.0258620689655
"armament, defense and military forces",0.0258620689655
election issues,0.0224137931034
decisions and verdicts,0.020689655172400002
education and schools,0.018965517241400002
presidential elections (us),0.018965517241400002
sex,0.0172413793103
blacks,0.0155172413793
public opinion,0.0155172413793
primaries,0.0155172413793
governors (us),0.0155172413793
editorials,0.0155172413793
united states armament and defense,0.013793103448299999
international relations,0.013793103448299999
appointments and executive changes,0.0120689655172
reviews,0.0120689655172
united states international relations,0.0120689655172
impeachment,0.0120689655172
legislatures and parliaments,0.0120689655172
demonstrations and riots,0.0120689655172
child abuse and neglect,0.0120689655172
taxation,0.010344827586200001
terrorism,0.010344827586200001
advertising and marketing,0.00862068965517
homosexuality,0.00862068965517
colleges and universities,0.00862068965517
prostitution,0.0068965517241400005
radio,0.0068965517241400005
children and youth,0.0068965517241400005
sentences (criminal),0.0068965517241400005
courts,0.0068965517241400005
abortion,0.0051724137931000004
presidential election of 2008,0.0051724137931000004
united states economy,0.0051724137931000004
"mergers, acquisitions and divestitures",0.0051724137931000004
