label,perc
aziz ansari,0.261
comedian aziz,0.040999999999999995
grace ansari,0.02
harvey weinstein,0.017
samantha bee,0.013999999999999999
indications consensual,0.013999999999999999
aziz ansari's,0.012
ashleigh banfield,0.012
harassment assault,0.011000000000000001
ansari misconduct,0.011000000000000001
non-verbal cues,0.009000000000000001
ansari indications,0.009000000000000001
ansari allegations,0.009000000000000001
james franco,0.008
tarana burke,0.006999999999999999
nonverbal cues,0.006999999999999999
bari weiss,0.006999999999999999
babe.net aziz,0.006999999999999999
website babe.net,0.006
website babe,0.006
titled aziz,0.006
time's pin,0.006
los angeles,0.006
grace aziz,0.006
catherine deneuve,0.006
beverly hills,0.006
babe.net ansari,0.006
babe ansari,0.006
ansari responds,0.006
ansari grace,0.006
ansari consensual,0.006
ansari assault,0.006
anonymous woman's,0.006
andrew sullivan,0.006
allegations ansari,0.006
writer katie,0.005
misconduct allegations,0.005
joel mchale,0.005
caitlin flanagan,0.005
ansari's accuser,0.005
ansari woman's,0.005
ansari repeatedly,0.005
writer aziz,0.004
woman's comedian,0.004
woman's ansari,0.004
william macy,0.004
uncomfortable ansari,0.004
timezone_type timezone,0.004
time's campaign,0.004
shitty media,0.004
rape assault,0.004
katie roiphe,0.004
hln anchor,0.004
globes time's,0.004
founder tarana,0.004
daphne merkin,0.004
brigitte bardot,0.004
bee backlash,0.004
bee aziz,0.004
babe detailing,0.004
assault consensual,0.004
ansari romance,0.004
ansari pressured,0.004
ansari nominated,0.004
ansari grace's,0.004
ansari comedian,0.004
workplace harassment,0.003
workplace harasser,0.003
von muffling,0.003
tv aziz,0.003
squad privileged,0.003
sag awards,0.003
responds accusation,0.003
rapist workplace,0.003
rape ruin,0.003
null null,0.003
none's rebuild,0.003
misconduct comedian,0.003
misconduct aziz,0.003
marvelous maisel,0.003
macy shameless,0.003
louis aziz,0.003
lena waithe,0.003
katie babe.net,0.003
hub 3b8569a1,0.003
https cbsnews3.cbsistatic.com,0.003
hln ashleigh,0.003
harvey weinstein's,0.003
harasser aziz,0.003
grace's ansari,0.003
frontal samantha,0.003
feminist website,0.003
ewan mcgregor,0.003
eric klinenberg,0.003
ebbing missouri,0.003
defending ansari,0.003
dating romance,0.003
cues advances,0.003
consent assault,0.003
cbsnews3.cbsistatic.com hub,0.003
c98 a8ee,0.003
billboards ebbing,0.003
babe.net writer,0.003
babe's aziz,0.003
asia argento,0.003
anti feminists,0.003
ansari uncomfortable,0.003
ansari stand-up,0.003
ansari real-life,0.003
ansari none's,0.003
ansari intercourse,0.003
ansari globes,0.003
ansari flashpoint,0.003
ansari feminist,0.003
ansari exposé,0.003
ansari derail,0.003
ansari debacle,0.003
ansari babe.net,0.003
ansari alleged,0.003
ansari accuser,0.003
anonymous grace,0.003
anchor ashleigh,0.003
allegations misconduct,0.003
allegation aziz,0.003
affirmative consent,0.003
actress tv,0.003
accusations assault,0.003
accusation assault,0.003
abuse misconduct,0.003
a8ee c89f3126bbae,0.003
3b8569a1 c98,0.003
women's misgivings,0.002
woman's alleged,0.002
weinstein ansari,0.002
weeding actors,0.002
wealthy celebrity,0.002
waldorf astoria,0.002
violated awkward,0.002
valenti tweeted,0.002
unfolding ansari,0.002
understandable disappointment,0.002
uncomfortable non-verbal,0.002
uncomfortable distressed,0.002
uncomfortable comedian,0.002
u200baziz ansari,0.002
tweets hashtag,0.002
tv fox,0.002
trivializes ___,0.002
timezone datecreated,0.002
timezone 2018-01-,0.002
time's pins,0.002
tab media,0.002
sustained weeding,0.002
supervisors trivializes,0.002
studios actresses,0.002
sterling poses,0.002
statuette william,0.002
stand-up wisconsin,0.002
snl aziz,0.002
slug id,0.002
skit aziz,0.002
sketch snl,0.002
shrine auditorium,0.002
second-wave feminists,0.002
second-wave feminist,0.002
screenplay ceremony,0.002
sam rockwell,0.002
rushing denounce,0.002
romance aziz,0.002
reticence knowingly,0.002
responds misconduct,0.002
renegotiate narratives,0.002
rachel brosnahan,0.002
pseudonymously grace,0.002
promodek null,0.002
producer harvey,0.002
privileged brown-skinned,0.002
poses tv,0.002
poll americans,0.002
pivot diversity,0.002
pin globe,0.002
photographer comedian,0.002
photo aziz,0.002
osita nwanevu,0.002
oscar frontrunner,0.002
oprah dominate,0.002
op-ed ansari,0.002
online babe,0.002
online anonymous,0.002
null duration,0.002
novelist trump,0.002
nominated netflix,0.002
no-show headlines,0.002
night's winners,0.002
netflix aziz,0.002
navigating netflix's,0.002
muffling grace,0.002
molly roberts,0.002
missouri oscar,0.002
misconduct viral,0.002
misconduct allegation,0.002
millennial feminists,0.002
meryl streep,0.002
media time's,0.002
media outlets,0.002
mchale aziz,0.002
mcgregor fargo,0.002
mario batali,0.002
maisel tv,0.002
lumping studios,0.002
lump lousy,0.002
lousy abused,0.002
linger sterling,0.002
liam neeson,0.002
legions countering,0.002
laying misconduct,0.002
lashed banfield,0.002
joshi herrmann,0.002
jia tolentino,0.002
jameela jamil,0.002
imaginary millennial,0.002
ignoring non-verbal,0.002
horrifying accusations,0.002
hollywood's imbalances,0.002
hilton hotel,0.002
headlines violated,0.002
harvard professor,0.002
harassment abuse,0.002
harassed assaulted,0.002
guillermo toro,0.002
guild awards,0.002
grace's reticence,0.002
grace photographer,0.002
grace babe,0.002
grace assault,0.002
globes pivot,0.002
globes carpet,0.002
globes after-party,0.002
globes actress,0.002
globe-winning aziz,0.002
globe awards,0.002
frontrunner globes,0.002
french actress,0.002
franco attends,0.002
franco ansari,0.002
fox globes,0.002
flanagan squad,0.002
feminists pushing,0.002
feminists aziz,0.002
feminist has-been,0.002
factory-floor supervisors,0.002
explosive atlantic,0.002
excesses imaginary,0.002
essay caitlin,0.002
embraced legions,0.002
duration airdate,0.002
diversity linger,0.002
disappointment false,0.002
detailing woman's,0.002
detailing globe-winning,0.002
detailing comedian,0.002
detailing anonymous,0.002
denounce excesses,0.002
deneuve apologized,0.002
debacle proves,0.002
dating gender,0.002
datecreated 2018-01-,0.002
cues uncomfortable,0.002
countering abuse,0.002
constitutes consent,0.002
consent ansari,0.002
comedic persona,0.002
columbia university,0.002
college campuses,0.002
climate online,0.002
clashes anchor,0.002
ceremony hollywood's,0.002
campaign victims,0.002
c89f3126bbae thumbnail,0.002
beverly hilton,0.002
bee ansari's,0.002
banfield criticized,0.002
backlash rape,0.002
backlash feminists,0.002
backlash backlash,0.002
backlash aziz,0.002
backlash ansari,0.002
babe.net woman's,0.002
babe online,0.002
babe arguably,0.002
attends aziz,0.002
atlantic essay,0.002
astoria beverly,0.002
assault inappropriate,0.002
assault collectively,0.002
assault allegation,0.002
asian tv,0.002
ashley judd,0.002
anti backlash,0.002
ansari's dev,0.002
ansari's dating,0.002
ansari's comedic,0.002
