label,perc
comedian aziz ansari,0.032
aziz ansari misconduct,0.01
ansari indications consensual,0.005
woman's comedian aziz,0.004
website babe.net ansari,0.004
titled aziz ansari,0.004
louis aziz ansari,0.004
hln ashleigh banfield,0.004
frontal samantha bee,0.004
babe.net aziz ansari,0.004
aziz ansari responds,0.004
aziz ansari netflix,0.004
writer bari weiss,0.003
women's feminism hominem,0.003
william macy shameless,0.003
weeding actors renegotiate,0.003
tv aziz ansari,0.003
tales abuse wafted,0.003
sustained weeding actors,0.003
righted wrongs smoother,0.003
responds accusation assault,0.003
misconduct comedian aziz,0.003
marvelous maisel tv,0.003
lumping studios actresses,0.003
james franco aziz,0.003
humiliation aziz ansari,0.003
grace's aziz ansari,0.003
grace aziz ansari,0.003
franco aziz ansari,0.003
ewan mcgregor fargo,0.003
aziz ansari pressured,0.003
aziz ansari nominated,0.003
aziz ansari exposé,0.003
aziz ansari debacle,0.003
aziz ansari aggressive,0.003
aziz ansari accuser,0.003
ansari tales abuse,0.003
ansari responds accusation,0.003
ansari james franco,0.003
anonymous woman's comedian,0.003
andrew sullivan excesses,0.003
allegations aziz ansari,0.003
actors renegotiate narratives,0.003
actors guild awards,0.003
accusation assault consensual,0.003
"3,000 revenge porn",0.003
wrongs smoother banfield,0.002
workplace harasser aziz,0.002
women's ansari accuser,0.002
waldorf astoria beverly,0.002
von muffling grace,0.002
viral babe follow-up,0.002
uncomfortable non-verbal cues,0.002
tv sterling actress,0.002
tv rachel brosnahan,0.002
tv elisabeth moss,0.002
trivial mistakes misdeeds,0.002
timezone_type timezone datecreated,0.002
timezone_type timezone 2018-01-,0.002
timezone datecreated 2018-01-,0.002
time's pin globe,0.002
time's campaign victims,0.002
texted ansari uncomfortable,0.002
takeaway aziz ansari,0.002
studios actresses supervisors,0.002
studios actresses factory-floor,0.002
sterling actress tv,0.002
statuette william macy,0.002
squad privileged brown-skinned,0.002
sociologist eric klinenberg,0.002
snl sketch couples,0.002
slams backlash rape,0.002
skarsgard actress laura,0.002
scare realizing partners,0.002
samantha bee slams,0.002
samantha bee backlash,0.002
sacks commentator men's,0.002
realizing partners experiencing,0.002
rapist workplace harasser,0.002
rape ruin frontal,0.002
rachel brosnahan marvelous,0.002
promodek null null,0.002
producer harvey weinstein,0.002
photographer grace ansari,0.002
personalities criticize babe.net,0.002
partners mirrored anonymous,0.002
opinion writer bari,0.002
null null duration,0.002
null duration airdate,0.002
non-verbal cues advances,0.002
nominated netflix no-show,0.002
no-show headlines violated,0.002
nicole kidman alexander,0.002
netflix no-show headlines,0.002
moss handmaid's marvelous,0.002
mistakes misdeeds genuinely,0.002
misdeeds genuinely awful,0.002
misconduct aziz ansari,0.002
mirrored anonymous woman's,0.002
men's ansari buttresses,0.002
media time's campaign,0.002
mcgregor fargo actress,0.002
maisel tv aziz,0.002
lumping trivial mistakes,0.002
lukas independent women's,0.002
kidman alexander skarsgard,0.002
james franco attends,0.002
independent women's ansari,0.002
id d59a0e34 5db7,0.002
id ac032b55 e8d3,0.002
id 83688c05 7d8a,0.002
hurt humiliate ansari,0.002
https cbsnews3.cbsistatic.com hub,0.002
hln's ashleigh banfield,0.002
hln anchor ashleigh,0.002
headlines violated awkward,0.002
harasser aziz ansari,0.002
handmaid's tv sterling,0.002
handmaid's marvelous maisel,0.002
grace's nonverbal cues,0.002
grace's apologized uncomfortable,0.002
grace ansari uber,0.002
glenn sacks commentator,0.002
getty aziz ansari,0.002
genuinely awful handful,0.002
french catherine deneuve,0.002
french actress catherine,0.002
frederic agence france-presse,0.002
franco attends aziz,0.002
follow-up featuring partners,0.002
flanagan squad privileged,0.002
fervent scare realizing,0.002
feminism hominem highlights,0.002
featuring partners mirrored,0.002
fashions dating guru,0.002
factory-floor supervisors trivializes,0.002
explosive atlantic essay,0.002
essay caitlin flanagan,0.002
elisabeth moss handmaid's,0.002
e8d3 46b6 b53f,0.002
duration airdate 2018-01-,0.002
distressing grace's aziz,0.002
deneuve apologized victims,0.002
d59a0e34 5db7 3f9a824bddfc,0.002
conservative analyst carrie,0.002
commentator men's ansari,0.002
comedians louis aziz,0.002
cbs slug cbs,0.002
catherine deneuve apologized,0.002
carrie lukas independent,0.002
caitlin flanagan squad,0.002
buttresses lumping trivial,0.002
brosnahan marvelous maisel,0.002
bee slams backlash,0.002
banfield women's feminism,0.002
backlash rape ruin,0.002
backlash aziz ansari,0.002
babe follow-up featuring,0.002
b53f 0950f9ee97c7 slug,0.002
aziz ansari sociologist,0.002
aziz ansari skips,0.002
aziz ansari real-life,0.002
aziz ansari paradox,0.002
aziz ansari james,0.002
aziz ansari grace,0.002
aziz ansari globes,0.002
aziz ansari dismiss,0.002
aziz ansari clashes,0.002
aziz ansari bari,0.002
aziz ansari babe.net,0.002
aziz ansari assault,0.002
aziz ansari actress,0.002
attends aziz ansari,0.002
atlantic essay caitlin,0.002
astoria beverly hills,0.002
assault aziz ansari,0.002
ashleigh banfield tv,0.002
apologized victims assault,0.002
ansari's dating romance,0.002
ansari's accuser grace,0.002
ansari viral babe,0.002
ansari uncomfortable non-verbal,0.002
ansari statuette william,0.002
ansari sociologist eric,0.002
ansari nominated netflix,0.002
ansari grace's apologized,0.002
ansari debacle proves,0.002
ansari commit crime,0.002
ansari clashes anchor,0.002
ansari buttresses lumping,0.002
ansari bari weiss,0.002
ansari aggressive selfish,0.002
ansari actress tv,0.002
ansari accuser consensual,0.002
anonymous woman's ansari,0.002
anchor ashleigh banfield,0.002
analyst carrie lukas,0.002
amy schumer misconduct,0.002
allegations weinstein ansari,0.002
alexander skarsgard actress,0.002
aggressive selfish obnoxious,0.002
agence france-presse getty,0.002
actresses media time's,0.002
actresses factory-floor supervisors,0.002
actress tv rachel,0.002
actress tv elisabeth,0.002
actress laura dern,0.002
actress catherine deneuve,0.002
actors james franco,0.002
accuser consensual welcomed,0.002
accusation misconduct comedian,0.002
ac032b55 e8d3 46b6,0.002
90c1 5a16e8430f7e slug,0.002
83688c05 7d8a 4cac,0.002
7d8a 4cac 90c1,0.002
5db7 3f9a824bddfc cbs,0.002
5a16e8430f7e slug id,0.002
4cac 90c1 5a16e8430f7e,0.002
46b6 b53f 0950f9ee97c7,0.002
3f9a824bddfc cbs slug,0.002
0950f9ee97c7 slug id,0.002
zuma rex shutterstock,0.001
zooming women's psyches,0.001
zoomed oppressed economic,0.001
youâ ve aziz,0.001
youth naivety anonymous,0.001
yorker's viral something's,0.001
yorker's blockbuster christine,0.001
yorker's aziz ansari,0.001
yorker reporting harvey,0.001
yorker ovid olympics,0.001
yorker bad-sex controversial,0.001
year-old's comedian aziz,0.001
year's pushback then-nascent,0.001
year's kicked earnest,0.001
yang explore pursuit,0.001
writer molly roberts,0.001
writer millennial sensation,0.001
writer katie roiphe,0.001
writer jessica valenti,0.001
writer hln's ashleigh,0.001
writer frontal samantha,0.001
writer david klion,0.001
writer babe.net bodily,0.001
writer aziz ansari,0.001
"writer 3,000 revenge",0.001
workplaces partners families,0.001
workplace survivors rally,0.001
workplace promoting gender,0.001
workplace harassment westminster,0.001
workplace harassment serial,0.001
workplace harassment celebrities,0.001
workplace harassment blatant,0.001
workplace harassment assault,0.001
workplace boss's penis,0.001
work-in-progress uk outing,0.001
woody-allen https cbsnews3.cbsistatic.com,0.001
woody allen slug,0.001
woody allen id,0.001
women's website babe.net,0.001
women's typically rooted,0.001
women's sexuality tamping,0.001
women's psyches housework,0.001
women's propagated online,0.001
women's pent-up rage,0.001
women's nationwide vox,0.001
women's metoo rethink,0.001
women's floods washington,0.001
women's drives trump,0.001
women's complexity distinguish,0.001
women's ansari's skeptics,0.001
women's ansari feminists,0.001
women's accuser sparking,0.001
woman's uncomfortable comedian,0.001
woman's texts ansari,0.001
woman's ongoing consent,0.001
woman's night's privately,0.001
woman's navigate withstand,0.001
woman's indications consensual,0.001
woman's discomfort ansari's,0.001
woman's controversial allegation,0.001
woman's chiseled movement's,0.001
woman's aziz ansari,0.001
woman's ansari constituted,0.001
woman's alleged misconduct,0.001
woman's allegation award-winning,0.001
wokest woke baes,0.001
wokeness gig misconduct,0.001
woke tv dating,0.001
woke progressive ansari,0.001
woke courtship banished,0.001
woke baes respectful,0.001
woke bae dating,0.001
wnyc vox prelude,0.001
witnessing apologies disappear,0.001
withstand misogyny encounters,0.001
witch liam neeson,0.001
witch harvey weinstein's,0.001
witch cautioned victim,0.001
wireimage romance comedian,0.001
wireimage brenda gutierrez,0.001
wins documentary pic.twitter.com/mtwj4l9zas,0.001
winners weathered moments,0.001
winners globes james,0.001
winners alexander skarsgård,0.001
winner aziz ansari,0.001
winfrey accepts cecil,0.001
williams reshoots scrub,0.001
williams nom tarana,0.001
william macy ansari,0.001
widens america updated,0.001
who've legislatively unenforceable,0.001
whisper roiphe's refers,0.001
well-wishes co-stars night's,0.001
well-syndicated disclosure valentine's,0.001
welcomes heightened dialogue,0.001
weiss supporters acknowledge,0.001
weiss staffers consent,0.001
weiss right-wing grace,0.001
weiss penned opinion,0.001
weiss lambasting retelling,0.001
weiss grace disturbing,0.001
weiss flanagan's grace,0.001
weiss emphasised youth,0.001
weiss detailing anonymous,0.001
weiss contended aziz,0.001
weiss caitlin flanagan,0.001
weiss aziz ansari,0.001
weiss admonishes trivializes,0.001
weinstein's predations odious,0.001
weinstein's monster aziz,0.001
weinstein subsequent tidal,0.001
weinstein sexually assaulted,0.001
weinstein serial rapist,0.001
weinstein scandal campaign,0.001
weinstein noticeable uptick,0.001
weinstein movimento né,0.001
weinstein matt lauer,0.001
weinstein mainstream media,0.001
weinstein kevin spacey,0.001
weinstein ignite acknowledged,0.001
weinstein escorted courtroom,0.001
weinstein donald trump,0.001
weinstein deposed left-leaning,0.001
weinstein countless behaved,0.001
weinstein cbs tv,0.001
weinstein cataclysm rocked,0.001
weighed aziz ansari,0.001
week's episode frontal,0.001
website titled aziz,0.001
website pseudonymously grace,0.001
website dallas ansari's,0.001
website babe.net comedian,0.001
website babe.net anonymous,0.001
website babe.net allegations,0.001
website babe titled,0.001
website babe grappling,0.001
website babe accusing,0.001
website accuses comedian,0.001
weathered moments targets,0.001
weathered hypocrisy scandal,0.001
wealthy celebrity netflix,0.001
way's recounting ansari's,0.001
washington sonny bunch,0.001
washington pussy hats,0.001
washington post's millennial,0.001
washington getty media,0.001
washington ford testified,0.001
warriors illustrate unwanted,0.001
warnings ovid's metamorphoses,0.001
warnings nuance shitty,0.001
waithe aziz ansari,0.001
waith emmy ansari,0.001
wahlberg earned reshoots,0.001
wahlberg donating 1.5,0.001
vox steve exum,0.001
vox prelude ethnic,0.001
vox polling perryundem,0.001
vox media consult,0.001
vox consult poll,0.001
voicing opinion condoleezza,0.001
vocal supporter praised,0.001
vocal assertive ansari's,0.001
viral website babe.net,0.001
viral something's confusing,0.001
viral aggressive acquaintance,0.001
violence harassment ai-jen,0.001
violations sisters rage,0.001
violating ansari repeatedly,0.001
violated non-verbal cues,0.001
